GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,S5EE001,S5EE002,S5EE003,S5EE004,S5EE005,S5EE006,S5EE007,S5EE008,S5EE009,S5EE010,S5EE011,S5EE012,S5EE013,S5EE014,S5EE015,S5EE016,S5EE017,S5EE018,S5EE019,S5EE020,S5EE021,S5EE022,S5EE023,S5EE024,NAME_M,S5EM001,S5EM002,S5EM003,S5EM004,S5EM005,S5EM006,S5EM007,S5EM008,S5EM009,S5EM010,S5EM011,S5EM012,S5EM013,S5EM014,S5EM015,S5EM016,S5EM017,S5EM018,S5EM019,S5EM020,S5EM021,S5EM022,S5EM023,S5EM024
"G01007000","2013","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",47806,45310,2695,1937,1373,2079,1498,2256,2824,2557,3894,4415,3072,3513,3146,1883,2277,1354,1234,1661,958,189,495,2496,"Birmingham city, Alabama",2599,2661,889,640,601,695,606,734,836,798,1081,1180,905,993,1038,709,1012,653,533,629,464,149,499,766
"G01021184","2013","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",10933,10105,120,411,224,301,420,523,966,784,947,797,1101,1055,761,312,566,328,130,209,44,95,11,828,"Dothan city, Alabama",642,642,103,141,113,149,211,189,298,266,281,237,236,286,186,142,242,130,85,90,56,91,17,223
"G01035896","2013","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",11401,11051,0,0,0,129,81,48,0,0,150,342,560,440,908,1029,1831,1137,1424,1487,291,559,635,350,"Hoover city, Alabama",1698,1680,192,192,192,161,95,77,192,192,179,344,397,328,600,533,840,539,611,672,346,394,552,339
"G01037000","2013","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",34664,32726,547,504,346,807,859,1407,2002,2520,1902,3905,2634,3389,2770,1993,1252,1868,1412,1538,235,116,720,1938,"Huntsville city, Alabama",2453,2487,363,360,302,458,356,713,838,783,596,1290,682,980,783,803,579,801,752,751,217,191,507,847
"G01050000","2013","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",32832,31162,1089,532,867,1073,705,1206,1136,1747,2115,2918,3258,3283,2167,2245,2086,1685,1088,957,362,202,441,1670,"Mobile city, Alabama",2622,2544,588,341,417,482,367,434,504,742,641,852,1082,1060,696,783,880,712,591,575,363,328,307,474
"G01051000","2013","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",34166,32691,834,278,1011,683,901,934,892,1847,2638,2668,3839,2410,2911,1638,1554,3325,1417,1913,266,474,258,1475,"Montgomery city, Alabama",2562,2482,453,169,626,343,350,539,498,792,894,789,1055,722,997,902,823,1034,730,851,196,307,408,671
"G01077256","2013","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",17008,16031,571,193,245,372,237,1070,400,591,1914,1652,1692,1458,1303,1135,800,468,453,732,254,263,228,977,"Tuscaloosa city, Alabama",1632,1565,366,197,195,262,209,518,313,345,718,749,908,702,781,522,445,343,456,414,263,230,278,563
"G02003000","2013","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",42072,40728,43,89,59,100,63,752,431,653,407,405,464,654,736,1345,1519,4206,4514,10434,4331,6685,2838,1344,"Anchorage municipality, Alaska",2414,2376,72,146,70,120,100,586,382,497,417,338,393,423,395,491,645,1187,1127,1719,1100,1379,768,658
"G04004720","2013","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",10671,10284,41,0,134,207,0,75,89,104,228,187,424,414,425,924,760,1650,1841,2363,372,46,0,387,"Avondale city, Arizona",1286,1215,70,203,220,204,203,123,145,140,263,110,346,349,269,433,420,524,637,762,293,77,203,290
"G04010670","2013","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"16000US0410670","Casas Adobes CDP, Arizona",10517,10100,0,0,141,119,0,77,0,0,73,0,410,877,462,948,1206,1198,1544,1933,263,411,438,417,"Casas Adobes CDP, Arizona",1377,1360,203,203,229,157,203,131,203,203,119,203,344,504,284,485,528,664,611,780,282,342,192,274
