GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AA3AE001,AA3AE002,AA3AE003,AA3AE004,AA3AE005,AA3AE006,AA3AE007,AA3AE008,AA3AE009,AA3AE010,AA3AE011,AA3AE012,AA3AE013,AA3AE014,AA3AE015,AA3AE016,AA3AE017,AA3AE018,AA3AE019,AA3AE020,AA3AE021,AA3AE022,AA3AE023,AA3AE024,NAME_M,AA3AM001,AA3AM002,AA3AM003,AA3AM004,AA3AM005,AA3AM006,AA3AM007,AA3AM008,AA3AM009,AA3AM010,AA3AM011,AA3AM012,AA3AM013,AA3AM014,AA3AM015,AA3AM016,AA3AM017,AA3AM018,AA3AM019,AA3AM020,AA3AM021,AA3AM022,AA3AM023,AA3AM024
"G01007000","2014","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",49060,46233,1773,1103,1185,1973,2234,2437,3667,3320,2694,4478,3726,2804,3564,3102,1555,1008,2271,2259,887,193,0,2827,"Birmingham city, Alabama",2647,2589,632,503,580,593,715,827,998,950,748,1157,922,759,1080,1037,570,554,782,822,481,179,189,856
"G01021184","2014","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",10611,9928,341,247,256,300,864,468,923,730,847,656,550,839,534,586,357,740,202,324,39,73,52,683,"Dothan city, Alabama",889,890,149,116,128,107,375,160,263,241,188,196,165,266,171,325,142,215,112,186,32,61,54,230
"G01035896","2014","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,"Hoover city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,
"G01037000","2014","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",33195,31737,693,771,370,698,488,800,1716,3232,3411,3151,3025,1299,1842,1391,2120,2522,1806,1045,779,237,341,1458,"Huntsville city, Alabama",2148,2319,428,597,321,437,323,476,661,1112,1086,940,1053,543,786,623,843,923,900,477,440,223,279,536
"G01050000","2014","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",34264,31792,1017,730,653,1591,643,586,902,1226,2517,3108,2808,2622,2727,2944,1802,2780,1484,1067,257,251,77,2472,"Mobile city, Alabama",2729,2777,677,368,327,672,341,328,451,460,1076,920,996,794,937,837,706,783,674,516,203,161,90,659
"G01051000","2014","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",35714,34131,790,580,247,703,702,831,905,2465,1918,2637,3712,3930,2782,2309,2173,2701,1578,1600,552,886,130,1583,"Montgomery city, Alabama",2556,2499,493,423,210,339,425,469,463,823,793,967,881,1297,880,766,788,931,752,773,349,443,160,555
"G01077256","2014","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",16912,15666,324,274,22,374,511,417,625,1001,1257,723,1051,2371,1689,858,804,1096,801,777,66,156,469,1246,"Tuscaloosa city, Alabama",2057,2106,249,280,37,274,464,345,433,612,641,447,515,750,772,472,531,578,507,450,114,153,318,443
"G02003000","2014","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",43531,41965,134,229,0,132,69,283,410,218,277,305,83,174,293,525,1531,4195,5481,10703,5481,5967,5475,1566,"Anchorage municipality, Alaska",2743,2737,211,255,145,215,114,217,330,236,222,263,107,153,177,397,820,1074,1165,1874,1339,1543,1391,566
"G04004720","2014","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",11761,11383,0,123,0,45,131,114,96,359,386,363,181,793,488,670,818,2076,1576,2714,287,137,26,378,"Avondale city, Arizona",1062,1119,200,120,200,73,172,137,123,330,334,295,217,510,313,351,423,641,552,657,260,169,43,229
"G04010670","2014","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"16000US0410670","Casas Adobes CDP, Arizona",10963,10182,0,0,0,0,0,0,47,40,55,398,612,709,840,1676,391,1080,1650,1774,230,161,519,781,"Casas Adobes CDP, Arizona",1629,1479,200,200,200,200,200,200,78,66,91,354,303,507,441,763,263,466,665,790,222,158,219,439
