GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ADC4E001,ADC4E002,ADC4E003,ADC4E004,ADC4E005,ADC4E006,ADC4E007,ADC4E008,ADC4E009,ADC4E010,ADC4E011,ADC4E012,ADC4E013,ADC4E014,ADC4E015,ADC4E016,ADC4E017,ADC4E018,ADC4E019,ADC4E020,ADC4E021,ADC4E022,ADC4E023,ADC4E024,ADC4E025,ADC4E026,ADC4E027,NAME_M,ADC4M001,ADC4M002,ADC4M003,ADC4M004,ADC4M005,ADC4M006,ADC4M007,ADC4M008,ADC4M009,ADC4M010,ADC4M011,ADC4M012,ADC4M013,ADC4M014,ADC4M015,ADC4M016,ADC4M017,ADC4M018,ADC4M019,ADC4M020,ADC4M021,ADC4M022,ADC4M023,ADC4M024,ADC4M025,ADC4M026,ADC4M027
"G01007000","2015","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",52376,49698,1882,1719,2361,2708,1929,2012,2694,2928,2572,4252,3776,2766,3397,2365,2028,3799,2472,1672,1117,924,64,0,261,0,2678,"Birmingham city, Alabama",2924,2954,638,728,772,856,711,672,870,862,925,990,943,892,1009,910,702,917,816,730,637,512,104,192,407,192,820
"G01021184","2015","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",10795,10261,354,379,121,233,432,550,812,884,942,737,935,774,654,495,349,798,497,224,43,8,9,0,11,20,534,"Dothan city, Alabama",644,639,179,148,83,110,175,160,231,224,234,217,256,240,243,204,146,354,335,138,58,13,15,192,17,25,201
"G01035896","2015","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hoover city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G01037000","2015","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",35107,33213,819,611,527,822,961,417,1719,2943,2080,3187,2869,3015,2197,2925,2008,1604,2281,1627,70,166,108,29,67,161,1894,"Huntsville city, Alabama",2358,2402,429,404,481,442,518,308,706,1138,844,1108,995,1113,874,1004,743,634,912,803,114,221,93,49,113,152,660
"G01050000","2015","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",34982,33543,992,779,852,962,1025,979,1279,1233,2428,2525,3289,3082,3339,2568,2039,2467,1511,1428,181,354,108,46,0,77,1439,"Mobile city, Alabama",2382,2427,463,391,422,457,430,500,528,556,985,893,924,1099,876,851,759,823,576,534,158,304,178,37,192,89,441
"G01051000","2015","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",36632,34513,629,305,460,956,184,536,1336,1411,2945,2527,3806,2715,3932,2436,2128,2928,1835,1252,524,648,435,295,76,214,2119,"Montgomery city, Alabama",2671,2625,394,263,324,528,132,324,681,625,1117,904,1127,1096,1311,1103,787,1037,725,477,268,393,339,473,92,241,788
"G01077256","2015","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",17388,16705,303,256,117,666,41,546,700,812,1415,1587,1161,882,2010,1976,321,1910,803,260,309,323,123,38,0,146,683,"Tuscaloosa city, Alabama",1741,1697,217,206,123,462,69,313,370,360,621,663,525,379,888,610,204,820,646,243,252,222,100,49,192,203,424
"G02003000","2015","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",40535,38742,193,69,0,410,238,321,259,149,119,454,397,768,441,1045,1374,3304,4126,9129,6363,5883,3135,354,211,0,1793,"Anchorage municipality, Alaska",2447,2371,169,120,149,535,229,359,192,150,144,323,358,530,399,647,734,1049,968,1759,1242,1176,946,230,176,149,589
"G04004720","2015","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Avondale city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04010670","2015","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"16000US0410670","Casas Adobes CDP, Arizona",10601,10246,0,41,0,107,114,42,84,0,47,122,373,984,891,514,1025,1108,1067,2218,914,157,221,122,0,95,355,"Casas Adobes CDP, Arizona",1281,1267,201,68,201,148,187,69,134,201,77,116,281,546,391,303,549,502,420,654,553,121,235,97,201,114,231
"G04012000","2015","AZ",,,"Arizona","04",,,"Chandler city","12000",,,,,,,,,,,,,,,,"16000US0412000","Chandler city, Arizona",34829,33795,250,0,40,0,209,102,70,298,191,806,435,913,1220,1879,1558,4433,5201,8901,4234,1848,812,220,111,64,1034,"Chandler city, Arizona",2339,2261,298,201,67,201,205,170,115,342,224,470,348,497,508,825,633,979,1104,1527,1241,559,539,239,84,76,412
"G04023620","2015","AZ",,,"Arizona","04",,,"Flagstaff city","23620",,,,,,,,,,,,,,,,"16000US0423620","Flagstaff city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Flagstaff city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04027400","2015","AZ",,,"Arizona","04",,,"Gilbert town","27400",,,,,,,,,,,,,,,,"16000US0427400","Gilbert town, Arizona",21364,20909,0,0,0,0,0,0,0,110,0,129,220,340,646,797,816,1371,2230,6909,4618,1805,660,43,77,138,455,"Gilbert town, Arizona",2209,2204,201,201,201,201,201,201,201,181,201,122,200,270,325,411,347,486,884,1528,988,691,504,70,126,112,272
"G04027820","2015","AZ",,,"Arizona","04",,,"Glendale city","27820",,,,,,,,,,,,,,,,"16000US0427820","Glendale city, Arizona",38445,37457,53,559,150,585,138,315,247,1051,2120,3288,3015,2557,2260,2996,2434,4860,2938,4718,2078,829,266,0,0,0,988,"Glendale city, Arizona",2413,2336,89,477,198,380,189,276,172,412,681,873,856,831,788,754,757,1114,920,967,657,370,377,201,201,201,451
"G04028380","2015","AZ",,,"Arizona","04",,,"Goodyear city","28380",,,,,,,,,,,,,,,,"16000US0428380","Goodyear city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Goodyear city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04046000","2015","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"16000US0446000","Mesa city, Arizona",72725,70446,132,192,259,270,193,426,313,1066,1594,3722,6206,6655,7221,6513,5003,10697,5771,8639,2511,1573,1062,270,158,0,2279,"Mesa city, Arizona",3368,3327,165,215,194,296,259,352,272,713,694,819,1388,1295,1530,1412,1312,1665,1178,1650,677,564,408,268,203,201,749
