GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AFUEE001,AFUEE002,AFUEE003,AFUEE004,AFUEE005,AFUEE006,AFUEE007,AFUEE008,AFUEE009,AFUEE010,AFUEE011,AFUEE012,AFUEE013,AFUEE014,AFUEE015,AFUEE016,AFUEE017,AFUEE018,AFUEE019,AFUEE020,AFUEE021,AFUEE022,AFUEE023,AFUEE024,AFUEE025,AFUEE026,AFUEE027,NAME_M,AFUEM001,AFUEM002,AFUEM003,AFUEM004,AFUEM005,AFUEM006,AFUEM007,AFUEM008,AFUEM009,AFUEM010,AFUEM011,AFUEM012,AFUEM013,AFUEM014,AFUEM015,AFUEM016,AFUEM017,AFUEM018,AFUEM019,AFUEM020,AFUEM021,AFUEM022,AFUEM023,AFUEM024,AFUEM025,AFUEM026,AFUEM027
"G01007000","2016","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",48713,45367,1704,888,893,1625,2316,1815,1891,2907,2739,3087,3191,4572,2983,2062,3015,2381,2143,2714,1715,534,192,0,0,0,3346,"Birmingham city, Alabama",2536,2501,618,361,442,633,666,669,680,869,912,755,963,1327,976,768,987,736,732,1017,666,311,258,195,195,195,903
"G01021184","2016","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",10990,10651,424,259,332,158,445,525,826,979,727,873,876,870,743,553,848,439,328,219,89,112,0,0,11,15,339,"Dothan city, Alabama",774,777,149,134,171,77,198,189,266,246,214,260,239,242,195,188,354,142,131,112,70,95,195,195,18,24,147
"G01035896","2016","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hoover city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G01037000","2016","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",34835,32733,542,682,122,704,313,397,1938,2563,2567,2350,2163,2906,2921,2740,1525,4246,2240,1100,244,407,39,0,24,0,2102,"Huntsville city, Alabama",2336,2464,385,364,153,430,224,258,567,799,947,673,802,1119,881,1019,583,1338,988,471,161,375,66,195,39,195,727
"G01050000","2016","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",36685,34579,1042,836,657,760,920,1236,1046,2036,1519,3186,3409,3398,2429,2367,1224,3508,2085,2122,301,498,0,0,0,0,2106,"Mobile city, Alabama",2498,2219,542,420,302,531,522,687,468,713,681,1004,916,1029,830,795,548,1079,639,780,276,266,195,195,195,195,831
"G01051000","2016","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",35821,34766,877,339,285,611,356,1454,587,1948,1501,3140,3623,4067,3343,2309,2534,3072,1788,2155,247,429,0,0,101,0,1055,"Montgomery city, Alabama",2772,2704,663,277,236,277,292,588,344,879,704,1127,1012,1399,1547,879,1080,1073,636,781,178,329,195,195,94,195,422
"G01077256","2016","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",19857,18173,407,335,166,215,331,501,428,1173,582,1467,933,2624,1677,986,1018,1110,946,1651,639,295,604,0,42,43,1684,"Tuscaloosa city, Alabama",1839,1831,303,306,263,290,310,325,293,765,401,650,381,1044,632,686,566,616,463,673,481,258,409,195,50,51,977
"G02003000","2016","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",40929,39946,162,88,127,53,189,481,143,364,575,552,280,213,163,808,1007,3464,4714,8485,6407,7500,3352,515,260,44,983,"Anchorage municipality, Alaska",3066,3143,175,129,195,93,191,487,140,256,371,393,263,182,212,503,591,1109,1078,1547,1467,1446,990,293,182,72,456
"G04004720","2016","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Avondale city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04010670","2016","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"16000US0410670","Casas Adobes CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casas Adobes CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04012000","2016","AZ",,,"Arizona","04",,,"Chandler city","12000",,,,,,,,,,,,,,,,"16000US0412000","Chandler city, Arizona",35608,35093,86,80,0,85,44,443,132,219,102,500,996,405,70,860,1682,4357,4558,10584,6092,2441,820,409,86,42,515,"Chandler city, Arizona",2516,2475,104,132,204,99,72,479,162,243,122,365,690,333,81,525,821,1038,1205,1729,1383,741,553,270,144,68,272
"G04023620","2016","AZ",,,"Arizona","04",,,"Flagstaff city","23620",,,,,,,,,,,,,,,,"16000US0423620","Flagstaff city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Flagstaff city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04027400","2016","AZ",,,"Arizona","04",,,"Gilbert town","27400",,,,,,,,,,,,,,,,"16000US0427400","Gilbert town, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gilbert town, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04027820","2016","AZ",,,"Arizona","04",,,"Glendale city","27820",,,,,,,,,,,,,,,,"16000US0427820","Glendale city, Arizona",39269,38112,221,341,207,310,144,286,263,643,1510,2266,3122,3741,2113,2685,3041,5168,3350,5037,2165,964,438,0,0,97,1157,"Glendale city, Arizona",2005,2108,176,377,243,195,140,290,220,470,653,949,937,1051,760,758,878,1215,841,1171,700,436,658,204,204,113,502
"G04028380","2016","AZ",,,"Arizona","04",,,"Goodyear city","28380",,,,,,,,,,,,,,,,"16000US0428380","Goodyear city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Goodyear city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04046000","2016","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"16000US0446000","Mesa city, Arizona",70693,68511,232,0,118,444,259,308,283,1309,336,2564,4329,4877,3711,6819,4856,11609,8973,10252,3400,2848,454,306,224,0,2182,"Mesa city, Arizona",3305,3225,250,204,191,232,244,229,282,500,256,749,1187,1042,1064,1445,1109,1698,1576,1717,819,892,293,183,246,204,650
"G04054050","2016","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"16000US0454050","Peoria city, Arizona",16974,16062,0,0,0,93,48,124,0,223,449,437,48,458,350,863,847,1913,2430,3456,1526,2161,283,41,175,137,912,"Peoria city, Arizona",1739,1789,204,204,204,161,83,121,204,260,398,336,84,357,212,415,329,723,924,1008,547,843,202,68,192,164,331
"G04055000","2016","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"16000US0455000","Phoenix city, Arizona",261044,252583,1580,1081,1144,2615,1514,2273,1930,5342,8196,15698,12840,18161,17663,18775,16024,33783,26841,40888,15134,6836,2400,1003,506,356,8461,"Phoenix city, Arizona",6714,6538,728,648,453,773,653,873,776,1051,1363,1901,1779,2130,2138,2157,2324,3436,2692,3219,2321,1141,705,569,309,403,1465
