GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AHPKE001,AHPKE002,AHPKE003,AHPKE004,AHPKE005,AHPKE006,AHPKE007,AHPKE008,AHPKE009,AHPKE010,AHPKE011,AHPKE012,AHPKE013,AHPKE014,AHPKE015,AHPKE016,AHPKE017,AHPKE018,AHPKE019,AHPKE020,AHPKE021,AHPKE022,AHPKE023,AHPKE024,AHPKE025,AHPKE026,AHPKE027,NAME_M,AHPKM001,AHPKM002,AHPKM003,AHPKM004,AHPKM005,AHPKM006,AHPKM007,AHPKM008,AHPKM009,AHPKM010,AHPKM011,AHPKM012,AHPKM013,AHPKM014,AHPKM015,AHPKM016,AHPKM017,AHPKM018,AHPKM019,AHPKM020,AHPKM021,AHPKM022,AHPKM023,AHPKM024,AHPKM025,AHPKM026,AHPKM027
"G01007000","2017","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",49891,47754,1412,2167,1532,1561,2000,2423,2262,1961,2462,3398,3560,3761,3207,2283,2718,2817,1656,4131,1503,832,108,0,0,0,2137,"Birmingham city, Alabama",3372,3375,649,835,619,584,719,829,924,765,813,986,1357,885,914,909,996,937,821,1297,540,446,129,200,200,200,641
"G01021184","2017","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",10257,9661,268,231,259,227,289,590,881,757,680,700,1275,826,704,494,385,402,220,384,0,27,0,8,35,19,596,"Dothan city, Alabama",722,696,142,165,124,107,127,211,212,215,227,207,282,191,194,174,144,152,122,201,200,25,200,15,24,16,188
"G01035896","2017","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hoover city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G01037000","2017","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",38073,36451,87,197,547,591,270,789,1513,2141,3597,2920,3632,2889,2489,1491,2793,3779,2667,2769,892,330,0,0,68,0,1622,"Huntsville city, Alabama",2680,2585,107,268,412,380,202,469,727,778,1059,931,1059,1071,872,558,971,1335,1128,1018,460,333,200,200,112,200,852
"G01050000","2017","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",36848,33485,1157,1290,778,931,856,690,1270,1405,944,2205,3346,2739,3182,1827,3138,3225,2086,1642,479,241,54,0,0,0,3363,"Mobile city, Alabama",2325,2257,692,495,485,433,512,357,560,583,446,766,1040,827,1015,619,1014,953,799,658,348,170,63,200,200,200,860
"G01051000","2017","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",35451,34146,93,873,1009,767,410,1052,619,1249,1925,3344,3298,3999,2885,2049,2084,2295,1736,2123,1255,424,150,0,507,0,1305,"Montgomery city, Alabama",2473,2464,150,504,507,556,377,714,371,613,968,1135,1142,1123,910,874,804,791,750,782,733,215,135,200,503,200,455
"G01077256","2017","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",19006,17939,304,336,455,489,151,113,472,415,1774,620,1944,2347,1018,1112,1445,1836,1419,817,348,436,39,0,24,25,1067,"Tuscaloosa city, Alabama",1783,1834,323,331,402,416,257,192,362,240,760,361,974,1098,469,575,668,677,645,581,358,353,66,200,40,42,558
"G02003000","2017","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",44547,43289,56,0,0,197,133,397,738,725,319,839,382,63,279,1395,1306,4267,4395,9371,5807,8372,3298,743,130,77,1258,"Anchorage municipality, Alaska",2490,2504,97,153,153,285,157,292,624,486,322,616,288,93,203,640,875,1049,1275,2040,1385,1790,908,420,122,128,651
"G04004720","2017","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Avondale city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04007940","2017","AZ",,,"Arizona","04",,,"Buckeye city","07940",,,,,,,,,,,,,,,,"16000US0407940","Buckeye city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buckeye city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04010670","2017","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"16000US0410670","Casas Adobes CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casas Adobes CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
