GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AJM5E001,AJM5E002,AJM5E003,AJM5E004,AJM5E005,AJM5E006,AJM5E007,AJM5E008,AJM5E009,AJM5E010,AJM5E011,AJM5E012,AJM5E013,AJM5E014,AJM5E015,AJM5E016,AJM5E017,AJM5E018,AJM5E019,AJM5E020,AJM5E021,AJM5E022,AJM5E023,AJM5E024,AJM5E025,AJM5E026,AJM5E027,NAME_M,AJM5M001,AJM5M002,AJM5M003,AJM5M004,AJM5M005,AJM5M006,AJM5M007,AJM5M008,AJM5M009,AJM5M010,AJM5M011,AJM5M012,AJM5M013,AJM5M014,AJM5M015,AJM5M016,AJM5M017,AJM5M018,AJM5M019,AJM5M020,AJM5M021,AJM5M022,AJM5M023,AJM5M024,AJM5M025,AJM5M026,AJM5M027
"G01003076","2018","AL",,,"Alabama","01",,,"Auburn city","03076",,,,,,,,,,,,,,,,"16000US0103076","Auburn city, Alabama",11989,11846,0,0,0,43,0,124,827,786,718,480,782,776,1884,373,393,1131,813,2057,160,385,0,48,66,0,143,"Auburn city, Alabama",1787,1763,201,201,201,79,201,171,586,500,547,428,429,510,991,320,279,580,535,949,171,275,201,83,111,201,168
"G01007000","2018","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",46748,44584,1233,1530,383,991,1591,2055,1470,3164,2461,2827,3651,2485,3737,1910,2903,3341,1535,3932,1665,1398,147,74,0,101,2164,"Birmingham city, Alabama",2768,2797,649,678,230,505,775,697,587,982,874,851,1285,939,1301,837,1045,1000,635,999,705,822,116,121,201,168,765
"G01021184","2018","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",9789,9109,103,275,96,239,255,409,558,908,659,604,1117,838,919,395,547,614,220,220,35,43,13,9,33,0,680,"Dothan city, Alabama",739,760,74,134,78,141,154,178,171,233,207,197,299,225,294,179,172,225,111,156,32,58,23,15,33,201,202
"G01035896","2018","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hoover city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G01037000","2018","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",37967,35940,848,751,493,420,370,980,1289,1589,1947,1773,3244,2023,1441,4130,2340,3913,2625,3878,1070,555,0,0,0,261,2027,"Huntsville city, Alabama",2344,2197,398,508,451,252,201,710,612,791,710,678,1346,801,647,1472,787,1038,1067,1126,504,386,201,201,201,200,776
"G01050000","2018","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",40711,37381,881,797,959,924,1043,775,887,1477,1364,2679,2826,4741,3662,3790,2136,3194,2019,2324,299,212,0,183,0,209,3330,"Mobile city, Alabama",2463,2216,435,418,389,481,562,451,493,590,533,761,926,1265,1205,1047,702,1138,807,821,300,176,201,166,201,271,915
"G01051000","2018","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",36623,34578,524,217,658,336,760,532,596,1489,1754,3664,3230,3029,3067,2705,872,3905,2989,2679,948,578,10,36,0,0,2045,"Montgomery city, Alabama",2669,2759,460,226,327,253,494,354,408,657,777,1233,1090,869,1132,1093,591,1131,1028,929,381,264,16,60,201,201,869
"G01077256","2018","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",19464,18805,256,674,387,225,725,111,392,595,1167,1710,838,2681,1047,1462,1344,1815,894,1148,224,472,618,0,0,20,659,"Tuscaloosa city, Alabama",2308,2354,269,505,349,315,653,134,444,421,661,730,496,1000,597,588,810,998,468,522,232,286,352,201,201,33,401
"G02003000","2018","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",37648,36156,175,244,49,30,0,195,676,370,236,388,119,690,161,885,993,4207,3958,8505,5285,5950,2433,419,143,45,1492,"Anchorage municipality, Alaska",2650,2599,176,218,87,50,157,184,654,432,219,309,137,548,160,591,432,1154,1285,1854,1211,1340,1000,289,147,78,656
"G04004720","2018","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Avondale city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
