GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ALKVE001,ALKVE002,ALKVE003,ALKVE004,ALKVE005,ALKVE006,ALKVE007,ALKVE008,ALKVE009,ALKVE010,ALKVE011,ALKVE012,ALKVE013,ALKVE014,ALKVE015,ALKVE016,ALKVE017,ALKVE018,ALKVE019,ALKVE020,ALKVE021,ALKVE022,ALKVE023,ALKVE024,ALKVE025,ALKVE026,ALKVE027,NAME_M,ALKVM001,ALKVM002,ALKVM003,ALKVM004,ALKVM005,ALKVM006,ALKVM007,ALKVM008,ALKVM009,ALKVM010,ALKVM011,ALKVM012,ALKVM013,ALKVM014,ALKVM015,ALKVM016,ALKVM017,ALKVM018,ALKVM019,ALKVM020,ALKVM021,ALKVM022,ALKVM023,ALKVM024,ALKVM025,ALKVM026,ALKVM027
"G01003076","2019","AL",,,"Alabama","01",,,"Auburn city","03076",,,,,,,,,,,,,,,,"16000US0103076","Auburn city, Alabama",13061,12805,346,95,0,51,0,0,890,918,1349,788,343,860,1128,1322,1043,1307,663,688,622,211,0,100,0,81,256,"Auburn city, Alabama",2108,2065,586,176,206,100,206,206,738,679,858,732,377,841,883,801,722,789,488,599,516,212,206,161,206,138,248
"G01007000","2019","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",55512,52572,932,2113,834,1495,1053,2115,2981,3534,1945,3364,4927,3772,2259,3250,4425,3532,2142,4783,1500,1089,503,24,0,0,2940,"Birmingham city, Alabama",2788,2910,677,1036,605,689,561,1147,1235,1356,878,975,1293,1157,867,945,1427,1102,954,1286,745,507,397,39,206,206,920
"G01021184","2019","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",11212,10594,154,381,187,360,332,329,731,1171,839,740,1005,871,1203,441,284,461,564,171,90,242,11,0,27,0,618,"Dothan city, Alabama",817,818,123,210,101,195,187,180,262,389,271,274,292,306,297,202,183,190,180,106,119,320,17,206,28,206,263
"G01035896","2019","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hoover city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G01037000","2019","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",40202,38560,110,948,83,818,256,541,598,1225,3190,2365,3692,2329,3777,2926,1152,5634,1863,3733,1787,880,571,0,0,82,1642,"Huntsville city, Alabama",2550,2660,171,730,140,425,196,331,595,633,1050,872,1104,1011,1205,1239,537,1703,678,1181,757,793,539,206,206,129,766
"G01050000","2019","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",37175,32819,503,784,1054,761,549,1258,931,1604,1060,1267,2841,3179,2984,3198,2478,3584,2423,1778,283,300,0,0,0,0,4356,"Mobile city, Alabama",2968,2821,388,387,628,454,378,695,550,836,485,585,1113,965,929,1099,936,928,996,731,225,247,206,206,206,206,1124
"G01051000","2019","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",35851,33582,328,566,201,740,498,567,489,1033,1281,1955,3938,2647,4065,3119,1886,3257,1725,3728,686,791,0,0,82,0,2269,"Montgomery city, Alabama",2739,2743,257,456,292,423,353,532,362,594,620,817,1201,1161,1356,1312,845,1066,675,1208,388,306,206,206,95,206,940
"G01077256","2019","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",19672,19157,347,424,521,470,460,204,476,644,678,422,2222,1324,2113,810,1915,2458,1143,877,607,375,266,0,53,348,515,"Tuscaloosa city, Alabama",1973,2099,338,316,393,383,547,168,370,473,424,388,1143,826,875,502,1025,856,1146,532,448,283,262,206,91,350,550
"G02003000","2019","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",40980,39873,439,23,336,146,273,343,423,652,440,0,627,166,456,1393,1229,4812,3090,8169,6173,6415,3237,981,50,0,1107,"Anchorage municipality, Alaska",2911,2952,427,40,313,232,289,333,494,457,389,163,574,166,342,710,985,1270,1057,1600,1536,1445,913,514,85,163,728
"G04004720","2019","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Avondale city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
