GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,AN8FE001,AN8FE002,AN8FE003,AN8FE004,AN8FE005,AN8FE006,AN8FE007,AN8FE008,AN8FE009,AN8FE010,AN8FE011,AN8FE012,AN8FE013,AN8FE014,AN8FE015,AN8FE016,AN8FE017,AN8FE018,AN8FE019,AN8FE020,AN8FE021,AN8FE022,AN8FE023,AN8FE024,AN8FE025,AN8FE026,AN8FE027,NAME_M,AN8FM001,AN8FM002,AN8FM003,AN8FM004,AN8FM005,AN8FM006,AN8FM007,AN8FM008,AN8FM009,AN8FM010,AN8FM011,AN8FM012,AN8FM013,AN8FM014,AN8FM015,AN8FM016,AN8FM017,AN8FM018,AN8FM019,AN8FM020,AN8FM021,AN8FM022,AN8FM023,AN8FM024,AN8FM025,AN8FM026,AN8FM027
"G01003076","2021","AL",,,"Alabama","01",,,"Auburn city","03076",,,,,,,,,,,,,,,,"1600000US0103076","0103076","Auburn city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Auburn city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G01007000","2021","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"1600000US0107000","0107000","Birmingham city, Alabama",46905,43690,1570,981,509,2162,894,825,1489,1450,1785,3104,2744,2109,2214,3587,2747,5010,1917,3889,2769,1606,165,120,44,0,3215,"Birmingham city, Alabama",3301,3110,805,559,359,738,673,584,992,783,802,967,928,792,944,1137,932,1466,865,1303,960,779,223,187,73,216,1137
"G01021184","2021","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"1600000US0121184","0121184","Dothan city, Alabama",13583,12799,109,139,189,321,381,359,374,857,711,1019,938,1335,1060,558,1516,1498,442,644,126,152,47,9,15,0,784,"Dothan city, Alabama",904,883,104,119,159,183,215,211,225,289,243,373,266,437,373,244,521,525,179,228,109,107,81,16,26,216,345
"G01035896","2021","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"1600000US0135896","0135896","Hoover city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hoover city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G01037000","2021","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"1600000US0137000","0137000","Huntsville city, Alabama",37536,35547,243,285,839,291,528,35,705,601,819,2157,1191,2799,2988,1896,980,5341,2969,6093,1704,2642,219,76,0,146,1989,"Huntsville city, Alabama",2967,3166,305,326,661,339,457,60,565,567,562,1007,806,1368,1309,892,611,1916,1612,1646,962,1330,249,131,216,176,1058
"G01050000","2021","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"1600000US0150000","0150000","Mobile city, Alabama",36548,34150,1025,787,1013,756,792,975,101,783,618,1454,1448,2082,4687,3171,3419,3830,1677,3703,1112,396,67,134,120,0,2398,"Mobile city, Alabama",2797,2554,473,477,527,345,428,554,104,470,344,687,673,673,1378,981,968,1034,620,1063,662,305,82,224,196,216,749
"G01051000","2021","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"1600000US0151000","0151000","Montgomery city, Alabama",35560,34657,572,340,737,624,159,609,503,1231,1184,2226,2751,3496,2112,3667,2237,3536,3086,3122,1143,1029,234,59,0,0,903,"Montgomery city, Alabama",2503,2450,586,375,517,508,181,343,465,571,639,943,1177,1248,1030,1452,967,1201,1406,1146,687,663,272,106,216,216,513
"G01077256","2021","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"1600000US0177256","0177256","Tuscaloosa city, Alabama",22889,21441,121,361,312,352,160,730,338,58,891,1076,863,2825,1376,1165,1796,3641,1202,1510,1442,705,151,50,89,227,1448,"Tuscaloosa city, Alabama",2553,2538,192,394,349,282,185,788,324,74,599,743,410,1119,784,622,752,1547,607,878,874,446,117,89,123,233,669
"G02003000","2021","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"1600000US0203000","0203000","Anchorage municipality, Alaska",39885,38784,311,0,78,158,84,997,46,569,380,495,159,395,878,681,820,3299,3136,9125,4988,8148,3565,253,219,0,1101,"Anchorage municipality, Alaska",3085,3057,236,184,134,211,146,782,78,413,415,469,164,379,616,443,453,1096,964,1851,1475,1680,1125,222,353,184,559
"G04004720","2021","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"1600000US0404720","0404720","Avondale city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Avondale city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04007940","2021","AZ",,,"Arizona","04",,,"Buckeye city","07940",,,,,,,,,,,,,,,,"1600000US0407940","0407940","Buckeye city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buckeye city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04010670","2021","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"1600000US0410670","0410670","Casas Adobes CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casas Adobes CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04012000","2021","AZ",,,"Arizona","04",,,"Chandler city","12000",,,,,,,,,,,,,,,,"1600000US0412000","0412000","Chandler city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chandler city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04023620","2021","AZ",,,"Arizona","04",,,"Flagstaff city","23620",,,,,,,,,,,,,,,,"1600000US0423620","0423620","Flagstaff city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Flagstaff city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04027400","2021","AZ",,,"Arizona","04",,,"Gilbert town","27400",,,,,,,,,,,,,,,,"1600000US0427400","0427400","Gilbert town, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gilbert town, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
