GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,AQDCE001,AQDCE002,AQDCE003,AQDCE004,AQDCE005,AQDCE006,AQDCE007,AQDCE008,AQDCE009,AQDCE010,AQDCE011,AQDCE012,AQDCE013,AQDCE014,AQDCE015,AQDCE016,AQDCE017,AQDCE018,AQDCE019,AQDCE020,AQDCE021,AQDCE022,AQDCE023,AQDCE024,AQDCE025,AQDCE026,AQDCE027,NAME_M,AQDCM001,AQDCM002,AQDCM003,AQDCM004,AQDCM005,AQDCM006,AQDCM007,AQDCM008,AQDCM009,AQDCM010,AQDCM011,AQDCM012,AQDCM013,AQDCM014,AQDCM015,AQDCM016,AQDCM017,AQDCM018,AQDCM019,AQDCM020,AQDCM021,AQDCM022,AQDCM023,AQDCM024,AQDCM025,AQDCM026,AQDCM027
"G01003076","2022","AL",,,"Alabama","01",,,"Auburn city","03076",,,,,,,,,,,,,,,,"1600000US0103076","0103076","Auburn city, Alabama",15444,14966,78,0,103,154,142,229,22,563,979,935,820,976,724,590,399,1384,2444,1321,1477,1446,104,0,76,0,478,"Auburn city, Alabama",1562,1576,131,208,175,147,231,234,36,468,526,648,602,575,488,424,397,517,832,595,1004,781,182,208,128,208,343
"G01007000","2022","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"1600000US0107000","0107000","Birmingham city, Alabama",50629,47998,1002,1697,1424,1437,814,1832,622,1748,1819,2967,2929,2149,1659,1681,3623,4565,3187,4116,3812,3873,942,100,0,0,2631,"Birmingham city, Alabama",3017,3001,659,830,1094,870,389,721,402,1238,838,1230,1233,994,703,946,1292,1216,896,1270,1486,1209,791,117,208,208,877
"G01021184","2022","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"1600000US0121184","0121184","Dothan city, Alabama",11547,10801,124,294,106,198,546,525,363,368,596,733,643,1003,1009,801,994,736,546,715,189,64,235,0,0,13,746,"Dothan city, Alabama",1143,1096,129,155,95,156,249,215,216,154,274,306,283,349,341,286,355,221,233,285,123,49,221,208,208,23,244
"G01035896","2022","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"1600000US0135896","0135896","Hoover city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hoover city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G01037000","2022","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"1600000US0137000","0137000","Huntsville city, Alabama",40501,38980,0,122,414,59,371,126,1110,349,804,2292,1940,1197,1710,1933,1977,5996,3086,6388,5140,3525,44,126,174,97,1521,"Huntsville city, Alabama",2746,2657,208,198,524,99,272,145,809,505,540,1383,1129,711,871,866,921,1538,1076,1750,1469,1106,57,147,174,147,724
"G01050000","2022","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"1600000US0150000","0150000","Mobile city, Alabama",35737,32834,696,1130,809,450,575,489,750,617,1177,819,1886,1414,1980,2556,4061,5423,2774,3538,758,517,86,0,0,329,2903,"Mobile city, Alabama",2836,2837,511,604,525,262,380,428,573,402,646,367,893,674,1005,1070,1341,1511,1176,1162,440,314,106,208,208,271,1081
"G01051000","2022","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"1600000US0151000","0151000","Montgomery city, Alabama",33233,30270,50,409,95,228,328,43,662,383,378,2377,1104,4502,2279,2718,2111,4328,2154,4088,1040,841,20,65,0,67,2963,"Montgomery city, Alabama",2781,2572,81,289,92,270,322,71,431,352,370,1198,773,1347,912,1240,1078,1586,936,1162,694,534,31,115,208,112,1242
"G01077256","2022","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"1600000US0177256","0177256","Tuscaloosa city, Alabama",22970,21628,258,0,1057,189,100,87,262,531,623,558,808,427,1658,2833,3303,2973,1335,2804,975,411,190,246,0,0,1342,"Tuscaloosa city, Alabama",2345,2252,319,208,688,226,170,148,355,473,494,517,441,405,806,1251,1495,1075,655,932,624,380,203,321,208,208,626
"G02003000","2022","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"1600000US0203000","0203000","Anchorage municipality, Alaska",38499,37608,175,0,0,23,0,75,108,237,138,181,251,115,155,664,601,3935,4390,7058,7403,7196,3518,623,519,243,891,"Anchorage municipality, Alaska",3201,3184,286,170,170,43,170,90,104,212,201,211,280,197,159,438,401,1290,1335,1441,1708,1748,1312,622,343,384,521
"G04004720","2022","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"1600000US0404720","0404720","Avondale city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Avondale city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04007940","2022","AZ",,,"Arizona","04",,,"Buckeye city","07940",,,,,,,,,,,,,,,,"1600000US0407940","0407940","Buckeye city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buckeye city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04010670","2022","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"1600000US0410670","0410670","Casas Adobes CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casas Adobes CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04012000","2022","AZ",,,"Arizona","04",,,"Chandler city","12000",,,,,,,,,,,,,,,,"1600000US0412000","0412000","Chandler city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chandler city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04023620","2022","AZ",,,"Arizona","04",,,"Flagstaff city","23620",,,,,,,,,,,,,,,,"1600000US0423620","0423620","Flagstaff city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Flagstaff city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04027400","2022","AZ",,,"Arizona","04",,,"Gilbert town","27400",,,,,,,,,,,,,,,,"1600000US0427400","0427400","Gilbert town, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gilbert town, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
