GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,MDGE001,MDGE002,MDGE003,NAME_M,MDGM001,MDGM002,MDGM003
"G01007000","2011","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",110930,86653,24277,"Birmingham city, Alabama",3393,3073,2508
"G01021184","2011","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",29539,25778,3761,"Dothan city, Alabama",789,874,631
"G01035896","2011","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",34379,31005,3374,"Hoover city, Alabama",2268,2196,1273
"G01037000","2011","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",85828,76252,9576,"Huntsville city, Alabama",2540,2879,1834
"G01050000","2011","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",91692,77682,14010,"Mobile city, Alabama",2372,2431,1802
"G01051000","2011","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",93534,79580,13954,"Montgomery city, Alabama",1601,3097,2745
"G01077256","2011","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",42231,30100,12131,"Tuscaloosa city, Alabama",1988,2026,1817
"G02003000","2011","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",113461,106651,6810,"Anchorage municipality, Alaska",432,1720,1676
"G04004720","2011","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",25627,21810,3817,"Avondale city, Arizona",3218,2480,1653
"G04010670","2011","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"16000US0410670","Casas Adobes CDP, Arizona",31880,27808,4072,"Casas Adobes CDP, Arizona",2126,1841,1232
"G04012000","2011","AZ",,,"Arizona","04",,,"Chandler city","12000",,,,,,,,,,,,,,,,"16000US0412000","Chandler city, Arizona",96834,85727,11107,"Chandler city, Arizona",4198,3140,2311
"G04023620","2011","AZ",,,"Arizona","04",,,"Flagstaff city","23620",,,,,,,,,,,,,,,,"16000US0423620","Flagstaff city, Arizona",26225,21534,4691,"Flagstaff city, Arizona",1395,1585,1133
"G04027400","2011","AZ",,,"Arizona","04",,,"Gilbert town","27400",,,,,,,,,,,,,,,,"16000US0427400","Gilbert town, Arizona",72279,68676,3603,"Gilbert town, Arizona",3536,3402,1142
"G04027820","2011","AZ",,,"Arizona","04",,,"Glendale city","27820",,,,,,,,,,,,,,,,"16000US0427820","Glendale city, Arizona",92889,79199,13690,"Glendale city, Arizona",3771,3152,2459
"G04028380","2011","AZ",,,"Arizona","04",,,"Goodyear city","28380",,,,,,,,,,,,,,,,"16000US0428380","Goodyear city, Arizona",29089,24695,4394,"Goodyear city, Arizona",2765,1965,1935
"G04046000","2011","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"16000US0446000","Mesa city, Arizona",194822,163743,31079,"Mesa city, Arizona",4949,4106,3589
"G04054050","2011","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"16000US0454050","Peoria city, Arizona",65607,57921,7686,"Peoria city, Arizona",3429,2927,2063
"G04055000","2011","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"16000US0455000","Phoenix city, Arizona",604835,519369,85466,"Phoenix city, Arizona",7210,6873,6308
"G04064210","2011","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"16000US0464210","San Tan Valley CDP, Arizona",31011,23754,7257,"San Tan Valley CDP, Arizona",3299,2853,3382
"G04065000","2011","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"16000US0465000","Scottsdale city, Arizona",125329,102238,23091,"Scottsdale city, Arizona",4732,3528,3083
"G04071510","2011","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"16000US0471510","Surprise city, Arizona",51910,41858,10052,"Surprise city, Arizona",4076,2513,3076
"G04073000","2011","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"16000US0473000","Tempe city, Arizona",69135,61449,7686,"Tempe city, Arizona",3690,3322,1999
"G04077000","2011","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"16000US0477000","Tucson city, Arizona",232099,201841,30258,"Tucson city, Arizona",3842,4418,3117
"G04085540","2011","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"16000US0485540","Yuma city, Arizona",39893,34241,5652,"Yuma city, Arizona",2273,2124,1346
"G05023290","2011","AR",,,"Arkansas","05",,,"Fayetteville city","23290",,,,,,,,,,,,,,,,"16000US0523290","Fayetteville city, Arkansas",38281,33661,4620,"Fayetteville city, Arkansas",1865,1676,1423
"G05024550","2011","AR",,,"Arkansas","05",,,"Fort Smith city","24550",,,,,,,,,,,,,,,,"16000US0524550","Fort Smith city, Arkansas",38652,32993,5659,"Fort Smith city, Arkansas",1285,1734,1526
"G05035710","2011","AR",,,"Arkansas","05",,,"Jonesboro city","35710",,,,,,,,,,,,,,,,"16000US0535710","Jonesboro city, Arkansas",28423,26347,2076,"Jonesboro city, Arkansas",1162,1271,773
"G05041000","2011","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"16000US0541000","Little Rock city, Arkansas",94814,81700,13114,"Little Rock city, Arkansas",3037,2813,2095
"G05066080","2011","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"16000US0566080","Springdale city, Arkansas",26880,25088,1792,"Springdale city, Arkansas",2081,1968,934
"G06000562","2011","CA",,,"California","06",,,"Alameda city","00562",,,,,,,,,,,,,,,,"16000US0600562","Alameda city, California",32227,30335,1892,"Alameda city, California",1590,1437,828
"G06000884","2011","CA",,,"California","06",,,"Alhambra city","00884",,,,,,,,,,,,,,,,"16000US0600884","Alhambra city, California",31349,28816,2533,"Alhambra city, California",1950,1724,934
"G06002000","2011","CA",,,"California","06",,,"Anaheim city","02000",,,,,,,,,,,,,,,,"16000US0602000","Anaheim city, California",104356,98586,5770,"Anaheim city, California",3260,3089,1351
"G06002252","2011","CA",,,"California","06",,,"Antioch city","02252",,,,,,,,,,,,,,,,"16000US0602252","Antioch city, California",35592,32200,3392,"Antioch city, California",2251,1853,1439
"G06002364","2011","CA",,,"California","06",,,"Apple Valley town","02364",,,,,,,,,,,,,,,,"16000US0602364","Apple Valley town, California",27088,23599,3489,"Apple Valley town, California",2037,1717,1386
"G06002553","2011","CA",,,"California","06",,,"Arden-Arcade CDP","02553",,,,,,,,,,,,,,,,"16000US0602553","Arden-Arcade CDP, California",44985,40255,4730,"Arden-Arcade CDP, California",2876,2699,1499
"G06003526","2011","CA",,,"California","06",,,"Bakersfield city","03526",,,,,,,,,,,,,,,,"16000US0603526","Bakersfield city, California",117640,108123,9517,"Bakersfield city, California",3040,3091,1858
"G06003666","2011","CA",,,"California","06",,,"Baldwin Park city","03666",,,,,,,,,,,,,,,,"16000US0603666","Baldwin Park city, California",17125,16680,445,"Baldwin Park city, California",1052,962,293
"G06004982","2011","CA",,,"California","06",,,"Bellflower city","04982",,,,,,,,,,,,,,,,"16000US0604982","Bellflower city, California",23932,22358,1574,"Bellflower city, California",1287,1098,605
"G06006000","2011","CA",,,"California","06",,,"Berkeley city","06000",,,,,,,,,,,,,,,,"16000US0606000","Berkeley city, California",48853,45338,3515,"Berkeley city, California",2256,2099,1046
"G06008786","2011","CA",,,"California","06",,,"Buena Park city","08786",,,,,,,,,,,,,,,,"16000US0608786","Buena Park city, California",23637,22487,1150,"Buena Park city, California",1271,1183,670
"G06008954","2011","CA",,,"California","06",,,"Burbank city","08954",,,,,,,,,,,,,,,,"16000US0608954","Burbank city, California",41278,39445,1833,"Burbank city, California",2085,2019,784
"G06010046","2011","CA",,,"California","06",,,"Camarillo city","10046",,,,,,,,,,,,,,,,"16000US0610046","Camarillo city, California",23264,22101,1163,"Camarillo city, California",1577,1382,740
"G06011194","2011","CA",,,"California","06",,,"Carlsbad city","11194",,,,,,,,,,,,,,,,"16000US0611194","Carlsbad city, California",44785,41226,3559,"Carlsbad city, California",2305,2030,1020
"G06011530","2011","CA",,,"California","06",,,"Carson city","11530",,,,,,,,,,,,,,,,"16000US0611530","Carson city, California",26346,24849,1497,"Carson city, California",1653,1455,723
"G06013014","2011","CA",,,"California","06",,,"Chico city","13014",,,,,,,,,,,,,,,,"16000US0613014","Chico city, California",39386,34688,4698,"Chico city, California",1907,1669,1402
"G06013210","2011","CA",,,"California","06",,,"Chino city","13210",,,,,,,,,,,,,,,,"16000US0613210","Chino city, California",24244,22161,2083,"Chino city, California",2319,2133,1159
"G06013214","2011","CA",,,"California","06",,,"Chino Hills city","13214",,,,,,,,,,,,,,,,"16000US0613214","Chino Hills city, California",23241,22178,1063,"Chino Hills city, California",1838,1639,668
"G06013392","2011","CA",,,"California","06",,,"Chula Vista city","13392",,,,,,,,,,,,,,,,"16000US0613392","Chula Vista city, California",85250,76231,9019,"Chula Vista city, California",3608,2801,2223
"G06013588","2011","CA",,,"California","06",,,"Citrus Heights city","13588",,,,,,,,,,,,,,,,"16000US0613588","Citrus Heights city, California",32127,31170,957,"Citrus Heights city, California",2015,1974,597
"G06014218","2011","CA",,,"California","06",,,"Clovis city","14218",,,,,,,,,,,,,,,,"16000US0614218","Clovis city, California",36245,33627,2618,"Clovis city, California",2194,1955,1054
"G06015044","2011","CA",,,"California","06",,,"Compton city","15044",,,,,,,,,,,,,,,,"16000US0615044","Compton city, California",24201,22578,1623,"Compton city, California",1223,1095,582
"G06016000","2011","CA",,,"California","06",,,"Concord city","16000",,,,,,,,,,,,,,,,"16000US0616000","Concord city, California",47649,44610,3039,"Concord city, California",1928,1676,1051
"G06016350","2011","CA",,,"California","06",,,"Corona city","16350",,,,,,,,,,,,,,,,"16000US0616350","Corona city, California",46940,44239,2701,"Corona city, California",1639,1692,958
"G06016532","2011","CA",,,"California","06",,,"Costa Mesa city","16532",,,,,,,,,,,,,,,,"16000US0616532","Costa Mesa city, California",45607,42866,2741,"Costa Mesa city, California",2392,2271,1055
"G06017918","2011","CA",,,"California","06",,,"Daly City city","17918",,,,,,,,,,,,,,,,"16000US0617918","Daly City city, California",32160,30184,1976,"Daly City city, California",1760,1558,832
"G06018100","2011","CA",,,"California","06",,,"Davis city","18100",,,,,,,,,,,,,,,,"16000US0618100","Davis city, California",24572,23483,1089,"Davis city, California",1395,1238,670
"G06019766","2011","CA",,,"California","06",,,"Downey city","19766",,,,,,,,,,,,,,,,"16000US0619766","Downey city, California",34529,33642,887,"Downey city, California",1773,1793,584
"G06020802","2011","CA",,,"California","06",,,"East Los Angeles CDP","20802",,,,,,,,,,,,,,,,"16000US0620802","East Los Angeles CDP, California",33503,31264,2239,"East Los Angeles CDP, California",2017,2007,890
"G06021712","2011","CA",,,"California","06",,,"El Cajon city","21712",,,,,,,,,,,,,,,,"16000US0621712","El Cajon city, California",35669,32696,2973,"El Cajon city, California",2210,2020,1039
"G06022020","2011","CA",,,"California","06",,,"Elk Grove city","22020",,,,,,,,,,,,,,,,"16000US0622020","Elk Grove city, California",51784,47641,4143,"Elk Grove city, California",3513,2758,1727
"G06022230","2011","CA",,,"California","06",,,"El Monte city","22230",,,,,,,,,,,,,,,,"16000US0622230","El Monte city, California",32259,29772,2487,"El Monte city, California",1663,1466,849
"G06022804","2011","CA",,,"California","06",,,"Escondido city","22804",,,,,,,,,,,,,,,,"16000US0622804","Escondido city, California",46414,44095,2319,"Escondido city, California",2135,1987,750
"G06023182","2011","CA",,,"California","06",,,"Fairfield city","23182",,,,,,,,,,,,,,,,"16000US0623182","Fairfield city, California",34689,32678,2011,"Fairfield city, California",1587,1597,822
"G06024477","2011","CA",,,"California","06",,,"Florence-Graham CDP","24477",,,,,,,,,,,,,,,,"16000US0624477","Florence-Graham CDP, California",15738,15066,672,"Florence-Graham CDP, California",1293,1285,383
"G06024638","2011","CA",,,"California","06",,,"Folsom city","24638",,,,,,,,,,,,,,,,"16000US0624638","Folsom city, California",27086,25294,1792,"Folsom city, California",2068,1795,1161
"G06024680","2011","CA",,,"California","06",,,"Fontana city","24680",,,,,,,,,,,,,,,,"16000US0624680","Fontana city, California",50625,48601,2024,"Fontana city, California",2586,2602,898
"G06026000","2011","CA",,,"California","06",,,"Fremont city","26000",,,,,,,,,,,,,,,,"16000US0626000","Fremont city, California",73192,70649,2543,"Fremont city, California",2706,2524,1186
"G06027000","2011","CA",,,"California","06",,,"Fresno city","27000",,,,,,,,,,,,,,,,"16000US0627000","Fresno city, California",169302,154747,14555,"Fresno city, California",3645,3341,2393
"G06028000","2011","CA",,,"California","06",,,"Fullerton city","28000",,,,,,,,,,,,,,,,"16000US0628000","Fullerton city, California",46560,44570,1990,"Fullerton city, California",2297,2215,752
"G06029000","2011","CA",,,"California","06",,,"Garden Grove city","29000",,,,,,,,,,,,,,,,"16000US0629000","Garden Grove city, California",47913,45615,2298,"Garden Grove city, California",2146,1930,810
"G06030000","2011","CA",,,"California","06",,,"Glendale city","30000",,,,,,,,,,,,,,,,"16000US0630000","Glendale city, California",77259,72301,4958,"Glendale city, California",2950,2661,1321
"G06032548","2011","CA",,,"California","06",,,"Hawthorne city","32548",,,,,,,,,,,,,,,,"16000US0632548","Hawthorne city, California",30342,28562,1780,"Hawthorne city, California",1968,1747,749
"G06033000","2011","CA",,,"California","06",,,"Hayward city","33000",,,,,,,,,,,,,,,,"16000US0633000","Hayward city, California",49594,46863,2731,"Hayward city, California",2475,2194,1043
"G06033182","2011","CA",,,"California","06",,,"Hemet city","33182",,,,,,,,,,,,,,,,"16000US0633182","Hemet city, California",37587,32314,5273,"Hemet city, California",2426,2137,1487
"G06033434","2011","CA",,,"California","06",,,"Hesperia city","33434",,,,,,,,,,,,,,,,"16000US0633434","Hesperia city, California",29690,26666,3024,"Hesperia city, California",1993,1678,1157
"G06036000","2011","CA",,,"California","06",,,"Huntington Beach city","36000",,,,,,,,,,,,,,,,"16000US0636000","Huntington Beach city, California",79461,75686,3775,"Huntington Beach city, California",2338,2139,1226
"G06036448","2011","CA",,,"California","06",,,"Indio city","36448",,,,,,,,,,,,,,,,"16000US0636448","Indio city, California",28885,23812,5073,"Indio city, California",2558,2029,1670
"G06036546","2011","CA",,,"California","06",,,"Inglewood city","36546",,,,,,,,,,,,,,,,"16000US0636546","Inglewood city, California",40589,37379,3210,"Inglewood city, California",1986,1885,736
"G06036770","2011","CA",,,"California","06",,,"Irvine city","36770",,,,,,,,,,,,,,,,"16000US0636770","Irvine city, California",79374,75284,4090,"Irvine city, California",2969,2652,1502
"G06039496","2011","CA",,,"California","06",,,"Lake Forest city","39496",,,,,,,,,,,,,,,,"16000US0639496","Lake Forest city, California",27765,26178,1587,"Lake Forest city, California",1619,1424,780
"G06039892","2011","CA",,,"California","06",,,"Lakewood city","39892",,,,,,,,,,,,,,,,"16000US0639892","Lakewood city, California",27799,26623,1176,"Lakewood city, California",1570,1472,664
"G06040130","2011","CA",,,"California","06",,,"Lancaster city","40130",,,,,,,,,,,,,,,,"16000US0640130","Lancaster city, California",52005,47278,4727,"Lancaster city, California",2754,2559,1267
"G06041992","2011","CA",,,"California","06",,,"Livermore city","41992",,,,,,,,,,,,,,,,"16000US0641992","Livermore city, California",30313,28674,1639,"Livermore city, California",1627,1347,1032
"G06043000","2011","CA",,,"California","06",,,"Long Beach city","43000",,,,,,,,,,,,,,,,"16000US0643000","Long Beach city, California",174366,160059,14307,"Long Beach city, California",4681,3803,2040
"G06044000","2011","CA",,,"California","06",,,"Los Angeles city","44000",,,,,,,,,,,,,,,,"16000US0644000","Los Angeles city, California",1419777,1304145,115632,"Los Angeles city, California",8526,9308,6042
"G06044574","2011","CA",,,"California","06",,,"Lynwood city","44574",,,,,,,,,,,,,,,,"16000US0644574","Lynwood city, California",15095,14238,857,"Lynwood city, California",1288,1199,468
"G06045484","2011","CA",,,"California","06",,,"Manteca city","45484",,,,,,,,,,,,,,,,"16000US0645484","Manteca city, California",22650,21111,1539,"Manteca city, California",1581,1442,779
"G06046842","2011","CA",,,"California","06",,,"Menifee city","46842",,,,,,,,,,,,,,,,"16000US0646842","Menifee city, California",27011,25603,1408,"Menifee city, California",2266,2128,851
"G06046898","2011","CA",,,"California","06",,,"Merced city","46898",,,,,,,,,,,,,,,,"16000US0646898","Merced city, California",26943,24220,2723,"Merced city, California",1531,1387,909
"G06047766","2011","CA",,,"California","06",,,"Milpitas city","47766",,,,,,,,,,,,,,,,"16000US0647766","Milpitas city, California",20422,19392,1030,"Milpitas city, California",1181,1060,512
"G06048256","2011","CA",,,"California","06",,,"Mission Viejo city","48256",,,,,,,,,,,,,,,,"16000US0648256","Mission Viejo city, California",32745,32012,733,"Mission Viejo city, California",1874,1795,437
"G06048354","2011","CA",,,"California","06",,,"Modesto city","48354",,,,,,,,,,,,,,,,"16000US0648354","Modesto city, California",72471,67243,5228,"Modesto city, California",2338,2275,1503
"G06049270","2011","CA",,,"California","06",,,"Moreno Valley city","49270",,,,,,,,,,,,,,,,"16000US0649270","Moreno Valley city, California",53911,50633,3278,"Moreno Valley city, California",2535,2294,1042
"G06049670","2011","CA",,,"California","06",,,"Mountain View city","49670",,,,,,,,,,,,,,,,"16000US0649670","Mountain View city, California",33327,31943,1384,"Mountain View city, California",1552,1554,757
"G06050076","2011","CA",,,"California","06",,,"Murrieta city","50076",,,,,,,,,,,,,,,,"16000US0650076","Murrieta city, California",36419,32182,4237,"Murrieta city, California",3741,3141,2047
"G06050258","2011","CA",,,"California","06",,,"Napa city","50258",,,,,,,,,,,,,,,,"16000US0650258","Napa city, California",30361,28905,1456,"Napa city, California",1520,1464,706
"G06051182","2011","CA",,,"California","06",,,"Newport Beach city","51182",,,,,,,,,,,,,,,,"16000US0651182","Newport Beach city, California",43750,39415,4335,"Newport Beach city, California",2261,1780,1342
"G06052526","2011","CA",,,"California","06",,,"Norwalk city","52526",,,,,,,,,,,,,,,,"16000US0652526","Norwalk city, California",28492,27266,1226,"Norwalk city, California",1595,1517,563
"G06053000","2011","CA",,,"California","06",,,"Oakland city","53000",,,,,,,,,,,,,,,,"16000US0653000","Oakland city, California",175054,157374,17680,"Oakland city, California",3510,3582,1980
"G06053322","2011","CA",,,"California","06",,,"Oceanside city","53322",,,,,,,,,,,,,,,,"16000US0653322","Oceanside city, California",62277,56762,5515,"Oceanside city, California",2969,2756,1328
"G06053896","2011","CA",,,"California","06",,,"Ontario city","53896",,,,,,,,,,,,,,,,"16000US0653896","Ontario city, California",48891,46571,2320,"Ontario city, California",2626,2156,1221
"G06053980","2011","CA",,,"California","06",,,"Orange city","53980",,,,,,,,,,,,,,,,"16000US0653980","Orange city, California",44917,43462,1455,"Orange city, California",2157,2064,823
"G06054652","2011","CA",,,"California","06",,,"Oxnard city","54652",,,,,,,,,,,,,,,,"16000US0654652","Oxnard city, California",54000,49415,4585,"Oxnard city, California",1917,1926,1297
"G06055156","2011","CA",,,"California","06",,,"Palmdale city","55156",,,,,,,,,,,,,,,,"16000US0655156","Palmdale city, California",44587,40783,3804,"Palmdale city, California",2391,1965,1106
"G06055282","2011","CA",,,"California","06",,,"Palo Alto city","55282",,,,,,,,,,,,,,,,"16000US0655282","Palo Alto city, California",28375,26849,1526,"Palo Alto city, California",1562,1553,789
"G06056000","2011","CA",,,"California","06",,,"Pasadena city","56000",,,,,,,,,,,,,,,,"16000US0656000","Pasadena city, California",58892,55045,3847,"Pasadena city, California",3241,3070,1180
"G06056700","2011","CA",,,"California","06",,,"Perris city","56700",,,,,,,,,,,,,,,,"16000US0656700","Perris city, California",18347,16781,1566,"Perris city, California",1867,1552,1089
"G06057456","2011","CA",,,"California","06",,,"Pittsburg city","57456",,,,,,,,,,,,,,,,"16000US0657456","Pittsburg city, California",20000,18953,1047,"Pittsburg city, California",1491,1396,645
