GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,PDHE001,PDHE002,PDHE003,NAME_M,PDHM001,PDHM002,PDHM003
"G01007000","2012","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",111647,88192,23455,"Birmingham city, Alabama",3540,3684,2550
"G01021184","2012","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",29154,25231,3923,"Dothan city, Alabama",1111,1080,460
"G01035896","2012","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",33311,31087,2224,"Hoover city, Alabama",1957,1775,890
"G01037000","2012","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",86179,75912,10267,"Huntsville city, Alabama",2214,2226,1689
"G01050000","2012","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",89806,76617,13189,"Mobile city, Alabama",2613,2724,1777
"G01051000","2012","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",92918,81379,11539,"Montgomery city, Alabama",937,1837,1686
"G01077256","2012","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",44943,31769,13174,"Tuscaloosa city, Alabama",1919,2007,1545
"G02003000","2012","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",113639,105569,8070,"Anchorage municipality, Alaska",430,1780,1673
"G04004720","2012","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",26538,22706,3832,"Avondale city, Arizona",1413,1116,861
"G04010670","2012","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"16000US0410670","Casas Adobes CDP, Arizona",31065,28130,2935,"Casas Adobes CDP, Arizona",1780,1455,1064
"G04012000","2012","AZ",,,"Arizona","04",,,"Chandler city","12000",,,,,,,,,,,,,,,,"16000US0412000","Chandler city, Arizona",93480,86891,6589,"Chandler city, Arizona",3606,2951,1739
"G04023620","2012","AZ",,,"Arizona","04",,,"Flagstaff city","23620",,,,,,,,,,,,,,,,"16000US0423620","Flagstaff city, Arizona",25283,22879,2404,"Flagstaff city, Arizona",1512,1550,743
"G04027400","2012","AZ",,,"Arizona","04",,,"Gilbert town","27400",,,,,,,,,,,,,,,,"16000US0427400","Gilbert town, Arizona",78803,72621,6182,"Gilbert town, Arizona",2575,2262,1633
"G04027820","2012","AZ",,,"Arizona","04",,,"Glendale city","27820",,,,,,,,,,,,,,,,"16000US0427820","Glendale city, Arizona",92027,80385,11642,"Glendale city, Arizona",3080,2595,1710
"G04028380","2012","AZ",,,"Arizona","04",,,"Goodyear city","28380",,,,,,,,,,,,,,,,"16000US0428380","Goodyear city, Arizona",26695,23400,3295,"Goodyear city, Arizona",2055,1677,1403
"G04046000","2012","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"16000US0446000","Mesa city, Arizona",200820,167435,33385,"Mesa city, Arizona",4416,3848,2904
"G04054050","2012","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"16000US0454050","Peoria city, Arizona",65261,56870,8391,"Peoria city, Arizona",2753,2143,1541
"G04055000","2012","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"16000US0455000","Phoenix city, Arizona",596762,521555,75207,"Phoenix city, Arizona",6808,6541,4318
"G04064210","2012","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"16000US0464210","San Tan Valley CDP, Arizona",29495,24066,5429,"San Tan Valley CDP, Arizona",2479,2188,1808
"G04065000","2012","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"16000US0465000","Scottsdale city, Arizona",125076,100862,24214,"Scottsdale city, Arizona",3870,2901,2625
"G04071510","2012","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"16000US0471510","Surprise city, Arizona",53269,41846,11423,"Surprise city, Arizona",3475,2327,2158
"G04073000","2012","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"16000US0473000","Tempe city, Arizona",72744,64406,8338,"Tempe city, Arizona",3701,3052,1956
"G04077000","2012","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"16000US0477000","Tucson city, Arizona",230975,203252,27723,"Tucson city, Arizona",4107,4322,2823
"G04085540","2012","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"16000US0485540","Yuma city, Arizona",40260,33532,6728,"Yuma city, Arizona",1704,1685,1357
"G05023290","2012","AR",,,"Arkansas","05",,,"Fayetteville city","23290",,,,,,,,,,,,,,,,"16000US0523290","Fayetteville city, Arkansas",36633,33667,2966,"Fayetteville city, Arkansas",1876,2125,1218
"G05024550","2012","AR",,,"Arkansas","05",,,"Fort Smith city","24550",,,,,,,,,,,,,,,,"16000US0524550","Fort Smith city, Arkansas",38366,34964,3402,"Fort Smith city, Arkansas",1140,1377,1146
"G05035710","2012","AR",,,"Arkansas","05",,,"Jonesboro city","35710",,,,,,,,,,,,,,,,"16000US0535710","Jonesboro city, Arkansas",30073,27626,2447,"Jonesboro city, Arkansas",1002,1093,986
"G05041000","2012","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"16000US0541000","Little Rock city, Arkansas",92738,78823,13915,"Little Rock city, Arkansas",2728,2891,1979
"G05066080","2012","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"16000US0566080","Springdale city, Arkansas",26571,24308,2263,"Springdale city, Arkansas",1587,1461,894
"G06000562","2012","CA",,,"California","06",,,"Alameda city","00562",,,,,,,,,,,,,,,,"16000US0600562","Alameda city, California",32058,30582,1476,"Alameda city, California",1717,1547,752
