GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ADAVE001,ADAVE002,ADAVE003,NAME_M,ADAVM001,ADAVM002,ADAVM003
"G01007000","2015","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",115553,93467,22086,"Birmingham city, Alabama",3048,2898,2557
"G01021184","2015","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",30361,25709,4652,"Dothan city, Alabama",736,771,603
"G01035896","2015","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",34995,32767,2228,"Hoover city, Alabama",2258,2053,814
"G01037000","2015","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",94394,83144,11250,"Huntsville city, Alabama",2133,2373,1818
"G01050000","2015","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",93816,77701,16115,"Mobile city, Alabama",2885,2772,2117
"G01051000","2015","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",92816,80655,12161,"Montgomery city, Alabama",1278,2307,2144
"G01077256","2015","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",45951,33270,12681,"Tuscaloosa city, Alabama",1594,1647,1726
"G02003000","2015","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",114911,104936,9975,"Anchorage municipality, Alaska",380,1982,1961
"G04004720","2015","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",26877,25329,1548,"Avondale city, Arizona",1534,1223,641
"G04010670","2015","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"16000US0410670","Casas Adobes CDP, Arizona",30748,28703,2045,"Casas Adobes CDP, Arizona",1668,1624,793
"G04012000","2015","AZ",,,"Arizona","04",,,"Chandler city","12000",,,,,,,,,,,,,,,,"16000US0412000","Chandler city, Arizona",100735,93639,7096,"Chandler city, Arizona",3043,2644,1645
"G04023620","2015","AZ",,,"Arizona","04",,,"Flagstaff city","23620",,,,,,,,,,,,,,,,"16000US0423620","Flagstaff city, Arizona",26448,22707,3741,"Flagstaff city, Arizona",1819,1775,1072
"G04027400","2015","AZ",,,"Arizona","04",,,"Gilbert town","27400",,,,,,,,,,,,,,,,"16000US0427400","Gilbert town, Arizona",83986,77123,6863,"Gilbert town, Arizona",2969,2361,1899
"G04027820","2015","AZ",,,"Arizona","04",,,"Glendale city","27820",,,,,,,,,,,,,,,,"16000US0427820","Glendale city, Arizona",92059,81948,10111,"Glendale city, Arizona",3087,2750,1680
"G04028380","2015","AZ",,,"Arizona","04",,,"Goodyear city","28380",,,,,,,,,,,,,,,,"16000US0428380","Goodyear city, Arizona",28295,25541,2754,"Goodyear city, Arizona",1942,1469,1032
"G04046000","2015","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"16000US0446000","Mesa city, Arizona",206232,174853,31379,"Mesa city, Arizona",4142,3338,2743
"G04054050","2015","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"16000US0454050","Peoria city, Arizona",63701,57095,6606,"Peoria city, Arizona",2612,2155,1604
"G04055000","2015","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"16000US0455000","Phoenix city, Arizona",599164,534199,64965,"Phoenix city, Arizona",7131,7078,4162
"G04064210","2015","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"16000US0464210","San Tan Valley CDP, Arizona",32274,24085,8189,"San Tan Valley CDP, Arizona",2411,2109,2033
"G04065000","2015","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"16000US0465000","Scottsdale city, Arizona",134516,108501,26015,"Scottsdale city, Arizona",4293,3855,2611
"G04071510","2015","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"16000US0471510","Surprise city, Arizona",52808,44180,8628,"Surprise city, Arizona",2188,1897,1478
"G04073000","2015","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"16000US0473000","Tempe city, Arizona",76450,67325,9125,"Tempe city, Arizona",3233,2699,1646
"G04077000","2015","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"16000US0477000","Tucson city, Arizona",234491,206448,28043,"Tucson city, Arizona",3618,4291,2865
"G04085540","2015","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"16000US0485540","Yuma city, Arizona",41676,34467,7209,"Yuma city, Arizona",1741,1889,1266
"G05023290","2015","AR",,,"Arkansas","05",,,"Fayetteville city","23290",,,,,,,,,,,,,,,,"16000US0523290","Fayetteville city, Arkansas",36339,33227,3112,"Fayetteville city, Arkansas",2100,1944,934
"G05024550","2015","AR",,,"Arkansas","05",,,"Fort Smith city","24550",,,,,,,,,,,,,,,,"16000US0524550","Fort Smith city, Arkansas",40073,35543,4530,"Fort Smith city, Arkansas",1166,1394,1245
"G05035710","2015","AR",,,"Arkansas","05",,,"Jonesboro city","35710",,,,,,,,,,,,,,,,"16000US0535710","Jonesboro city, Arkansas",31436,28816,2620,"Jonesboro city, Arkansas",907,1178,1050
"G05041000","2015","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"16000US0541000","Little Rock city, Arkansas",95850,82603,13247,"Little Rock city, Arkansas",2570,2719,2036
"G05050450","2015","AR",,,"Arkansas","05",,,"North Little Rock city","50450",,,,,,,,,,,,,,,,"16000US0550450","North Little Rock city, Arkansas",29334,25116,4218,"North Little Rock city, Arkansas",2279,1715,1705
"G05066080","2015","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"16000US0566080","Springdale city, Arkansas",27595,26151,1444,"Springdale city, Arkansas",1380,1345,851
"G06000562","2015","CA",,,"California","06",,,"Alameda city","00562",,,,,,,,,,,,,,,,"16000US0600562","Alameda city, California",32042,30710,1332,"Alameda city, California",1595,1511,589
"G06000884","2015","CA",,,"California","06",,,"Alhambra city","00884",,,,,,,,,,,,,,,,"16000US0600884","Alhambra city, California",31741,29362,2379,"Alhambra city, California",1683,1552,763
"G06002000","2015","CA",,,"California","06",,,"Anaheim city","02000",,,,,,,,,,,,,,,,"16000US0602000","Anaheim city, California",104533,99991,4542,"Anaheim city, California",3363,3100,1370
"G06002252","2015","CA",,,"California","06",,,"Antioch city","02252",,,,,,,,,,,,,,,,"16000US0602252","Antioch city, California",34895,33214,1681,"Antioch city, California",1994,1930,738
"G06002364","2015","CA",,,"California","06",,,"Apple Valley town","02364",,,,,,,,,,,,,,,,"16000US0602364","Apple Valley town, California",26799,23644,3155,"Apple Valley town, California",1892,1526,1096
"G06002553","2015","CA",,,"California","06",,,"Arden-Arcade CDP","02553",,,,,,,,,,,,,,,,"16000US0602553","Arden-Arcade CDP, California",47321,43562,3759,"Arden-Arcade CDP, California",2620,2136,1442
"G06003526","2015","CA",,,"California","06",,,"Bakersfield city","03526",,,,,,,,,,,,,,,,"16000US0603526","Bakersfield city, California",123614,114383,9231,"Bakersfield city, California",3835,3559,1931
"G06003666","2015","CA",,,"California","06",,,"Baldwin Park city","03666",,,,,,,,,,,,,,,,"16000US0603666","Baldwin Park city, California",20076,18541,1535,"Baldwin Park city, California",1367,1178,601
"G06004982","2015","CA",,,"California","06",,,"Bellflower city","04982",,,,,,,,,,,,,,,,"16000US0604982","Bellflower city, California",23270,21729,1541,"Bellflower city, California",1307,1217,598
"G06006000","2015","CA",,,"California","06",,,"Berkeley city","06000",,,,,,,,,,,,,,,,"16000US0606000","Berkeley city, California",49622,46277,3345,"Berkeley city, California",2305,2237,994
"G06008786","2015","CA",,,"California","06",,,"Buena Park city","08786",,,,,,,,,,,,,,,,"16000US0608786","Buena Park city, California",23711,23264,447,"Buena Park city, California",1218,1221,281
"G06008954","2015","CA",,,"California","06",,,"Burbank city","08954",,,,,,,,,,,,,,,,"16000US0608954","Burbank city, California",43297,41633,1664,"Burbank city, California",2162,1987,823
"G06010046","2015","CA",,,"California","06",,,"Camarillo city","10046",,,,,,,,,,,,,,,,"16000US0610046","Camarillo city, California",25175,24247,928,"Camarillo city, California",1450,1367,559
"G06011194","2015","CA",,,"California","06",,,"Carlsbad city","11194",,,,,,,,,,,,,,,,"16000US0611194","Carlsbad city, California",46426,42216,4210,"Carlsbad city, California",2479,1884,1192
"G06011390","2015","CA",,,"California","06",,,"Carmichael CDP","11390",,,,,,,,,,,,,,,,"16000US0611390","Carmichael CDP, California",27389,25951,1438,"Carmichael CDP, California",2024,1788,874
"G06011530","2015","CA",,,"California","06",,,"Carson city","11530",,,,,,,,,,,,,,,,"16000US0611530","Carson city, California",25382,24956,426,"Carson city, California",1590,1512,408
"G06013014","2015","CA",,,"California","06",,,"Chico city","13014",,,,,,,,,,,,,,,,"16000US0613014","Chico city, California",39844,34919,4925,"Chico city, California",1663,1414,1129
"G06013210","2015","CA",,,"California","06",,,"Chino city","13210",,,,,,,,,,,,,,,,"16000US0613210","Chino city, California",18635,17610,1025,"Chino city, California",1773,1670,559
"G06013214","2015","CA",,,"California","06",,,"Chino Hills city","13214",,,,,,,,,,,,,,,,"16000US0613214","Chino Hills city, California",26197,25659,538,"Chino Hills city, California",1487,1412,563
"G06013392","2015","CA",,,"California","06",,,"Chula Vista city","13392",,,,,,,,,,,,,,,,"16000US0613392","Chula Vista city, California",85572,79461,6111,"Chula Vista city, California",2830,2705,1511
"G06013588","2015","CA",,,"California","06",,,"Citrus Heights city","13588",,,,,,,,,,,,,,,,"16000US0613588","Citrus Heights city, California",35197,34610,587,"Citrus Heights city, California",1942,1936,399
"G06014218","2015","CA",,,"California","06",,,"Clovis city","14218",,,,,,,,,,,,,,,,"16000US0614218","Clovis city, California",39134,37621,1513,"Clovis city, California",2080,1777,862
"G06015044","2015","CA",,,"California","06",,,"Compton city","15044",,,,,,,,,,,,,,,,"16000US0615044","Compton city, California",24966,23978,988,"Compton city, California",1314,1181,537
"G06016000","2015","CA",,,"California","06",,,"Concord city","16000",,,,,,,,,,,,,,,,"16000US0616000","Concord city, California",48293,46885,1408,"Concord city, California",2164,2098,749
"G06016350","2015","CA",,,"California","06",,,"Corona city","16350",,,,,,,,,,,,,,,,"16000US0616350","Corona city, California",56565,55011,1554,"Corona city, California",2547,2529,634
"G06016532","2015","CA",,,"California","06",,,"Costa Mesa city","16532",,,,,,,,,,,,,,,,"16000US0616532","Costa Mesa city, California",45111,42871,2240,"Costa Mesa city, California",2085,2103,658
"G06017918","2015","CA",,,"California","06",,,"Daly City city","17918",,,,,,,,,,,,,,,,"16000US0617918","Daly City city, California",33119,32434,685,"Daly City city, California",1579,1556,440
"G06018100","2015","CA",,,"California","06",,,"Davis city","18100",,,,,,,,,,,,,,,,"16000US0618100","Davis city, California",25357,24426,931,"Davis city, California",1308,1212,540
