GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AFR5E001,AFR5E002,AFR5E003,NAME_M,AFR5M001,AFR5M002,AFR5M003
"G01007000","2016","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",114371,90117,24254,"Birmingham city, Alabama",3494,3280,2526
"G01021184","2016","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",30960,26119,4841,"Dothan city, Alabama",1046,1073,636
"G01035896","2016","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",34976,32110,2866,"Hoover city, Alabama",2215,1725,1038
"G01037000","2016","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",89849,80540,9309,"Huntsville city, Alabama",2864,2701,1861
"G01050000","2016","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",94169,79188,14981,"Mobile city, Alabama",2067,2424,1884
"G01051000","2016","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",93476,80899,12577,"Montgomery city, Alabama",1195,1817,1708
"G01077256","2016","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",47324,36313,11011,"Tuscaloosa city, Alabama",1852,1884,1532
"G02003000","2016","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",115539,105249,10290,"Anchorage municipality, Alaska",387,1864,1842
"G04004720","2016","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",27824,25849,1975,"Avondale city, Arizona",1369,1421,722
"G04010670","2016","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"16000US0410670","Casas Adobes CDP, Arizona",31370,29473,1897,"Casas Adobes CDP, Arizona",1904,1765,773
"G04012000","2016","AZ",,,"Arizona","04",,,"Chandler city","12000",,,,,,,,,,,,,,,,"16000US0412000","Chandler city, Arizona",97246,90570,6676,"Chandler city, Arizona",3165,2729,1551
"G04023620","2016","AZ",,,"Arizona","04",,,"Flagstaff city","23620",,,,,,,,,,,,,,,,"16000US0423620","Flagstaff city, Arizona",26827,22839,3988,"Flagstaff city, Arizona",1629,1602,1218
