GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AHNBE001,AHNBE002,AHNBE003,NAME_M,AHNBM001,AHNBM002,AHNBM003
"G01007000","2017","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",114102,90186,23916,"Birmingham city, Alabama",3183,3374,2496
"G01021184","2017","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",30274,25192,5082,"Dothan city, Alabama",959,875,692
"G01035896","2017","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",37695,34058,3637,"Hoover city, Alabama",1749,1330,1153
"G01037000","2017","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",92769,84750,8019,"Huntsville city, Alabama",2475,2687,1720
"G01050000","2017","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",93985,78145,15840,"Mobile city, Alabama",2585,2673,1769
"G01051000","2017","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",92631,78217,14414,"Montgomery city, Alabama",1217,2248,2023
"G01077256","2017","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",48587,36209,12378,"Tuscaloosa city, Alabama",1825,1769,1813
"G02003000","2017","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",117298,107373,9925,"Anchorage municipality, Alaska",446,1962,1984
"G04004720","2017","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",28072,26223,1849,"Avondale city, Arizona",1919,1632,1061
"G04007940","2017","AZ",,,"Arizona","04",,,"Buckeye city","07940",,,,,,,,,,,,,,,,"16000US0407940","Buckeye city, Arizona",20815,18135,2680,"Buckeye city, Arizona",1687,1433,1004
