GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AJKWE001,AJKWE002,AJKWE003,NAME_M,AJKWM001,AJKWM002,AJKWM003
"G01003076","2018","AL",,,"Alabama","01",,,"Auburn city","03076",,,,,,,,,,,,,,,,"16000US0103076","Auburn city, Alabama",29936,23305,6631,"Auburn city, Alabama",1796,1912,1118
"G01007000","2018","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",116157,87831,28326,"Birmingham city, Alabama",3407,3181,2575
"G01021184","2018","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",32058,26031,6027,"Dothan city, Alabama",907,933,720
"G01035896","2018","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",34261,31770,2491,"Hoover city, Alabama",1743,1447,990
"G01037000","2018","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",93084,84848,8236,"Huntsville city, Alabama",2599,2592,1687
"G01050000","2018","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",93286,79748,13538,"Mobile city, Alabama",2650,2762,1566
"G01051000","2018","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",92595,77024,15571,"Montgomery city, Alabama",1391,2423,2137
"G01077256","2018","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",51811,36759,15052,"Tuscaloosa city, Alabama",2219,2281,1779
"G02003000","2018","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",118233,105285,12948,"Anchorage municipality, Alaska",522,2132,2179
"G04004720","2018","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",29274,27840,1434,"Avondale city, Arizona",1746,1624,655
"G04007940","2018","AZ",,,"Arizona","04",,,"Buckeye city","07940",,,,,,,,,,,,,,,,"16000US0407940","Buckeye city, Arizona",24329,21069,3260,"Buckeye city, Arizona",1910,1522,1199
"G04010670","2018","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"16000US0410670","Casas Adobes CDP, Arizona",31979,29825,2154,"Casas Adobes CDP, Arizona",1984,1996,779
"G04012000","2018","AZ",,,"Arizona","04",,,"Chandler city","12000",,,,,,,,,,,,,,,,"16000US0412000","Chandler city, Arizona",97701,91969,5732,"Chandler city, Arizona",2904,2478,1436
"G04023620","2018","AZ",,,"Arizona","04",,,"Flagstaff city","23620",,,,,,,,,,,,,,,,"16000US0423620","Flagstaff city, Arizona",29541,24569,4972,"Flagstaff city, Arizona",1876,1717,1395
"G04027400","2018","AZ",,,"Arizona","04",,,"Gilbert town","27400",,,,,,,,,,,,,,,,"16000US0427400","Gilbert town, Arizona",82912,78555,4357,"Gilbert town, Arizona",2646,2252,1314
"G04027820","2018","AZ",,,"Arizona","04",,,"Glendale city","27820",,,,,,,,,,,,,,,,"16000US0427820","Glendale city, Arizona",90048,83873,6175,"Glendale city, Arizona",3166,3014,1455
"G04028380","2018","AZ",,,"Arizona","04",,,"Goodyear city","28380",,,,,,,,,,,,,,,,"16000US0428380","Goodyear city, Arizona",30238,26405,3833,"Goodyear city, Arizona",2176,2005,1160
"G04046000","2018","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"16000US0446000","Mesa city, Arizona",217400,185509,31891,"Mesa city, Arizona",4343,3765,3250
"G04054050","2018","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"16000US0454050","Peoria city, Arizona",68716,63218,5498,"Peoria city, Arizona",2511,2358,1287
"G04055000","2018","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"16000US0455000","Phoenix city, Arizona",627844,574645,53199,"Phoenix city, Arizona",7620,7444,4436
"G04064210","2018","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"16000US0464210","San Tan Valley CDP, Arizona",35678,32608,3070,"San Tan Valley CDP, Arizona",2510,2569,1174
"G04065000","2018","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"16000US0465000","Scottsdale city, Arizona",141329,117024,24305,"Scottsdale city, Arizona",4527,3167,2595
"G04071510","2018","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"16000US0471510","Surprise city, Arizona",56633,49936,6697,"Surprise city, Arizona",2764,2283,1514
"G04073000","2018","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"16000US0473000","Tempe city, Arizona",80754,74266,6488,"Tempe city, Arizona",3360,2923,1648
"G04077000","2018","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"16000US0477000","Tucson city, Arizona",239420,209383,30037,"Tucson city, Arizona",4299,4500,2869
"G04085540","2018","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"16000US0485540","Yuma city, Arizona",43071,35548,7523,"Yuma city, Arizona",1889,2020,1449
"G05015190","2018","AR",,,"Arkansas","05",,,"Conway city","15190",,,,,,,,,,,,,,,,"16000US0515190","Conway city, Arkansas",26828,23009,3819,"Conway city, Arkansas",1468,1505,1335
"G05023290","2018","AR",,,"Arkansas","05",,,"Fayetteville city","23290",,,,,,,,,,,,,,,,"16000US0523290","Fayetteville city, Arkansas",39407,36882,2525,"Fayetteville city, Arkansas",1761,1866,1031
"G05024550","2018","AR",,,"Arkansas","05",,,"Fort Smith city","24550",,,,,,,,,,,,,,,,"16000US0524550","Fort Smith city, Arkansas",39380,35442,3938,"Fort Smith city, Arkansas",1305,1569,1382
"G05035710","2018","AR",,,"Arkansas","05",,,"Jonesboro city","35710",,,,,,,,,,,,,,,,"16000US0535710","Jonesboro city, Arkansas",31736,29492,2244,"Jonesboro city, Arkansas",1090,1333,963
"G05041000","2018","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"16000US0541000","Little Rock city, Arkansas",98026,81517,16509,"Little Rock city, Arkansas",2753,2985,2653
"G05050450","2018","AR",,,"Arkansas","05",,,"North Little Rock city","50450",,,,,,,,,,,,,,,,"16000US0550450","North Little Rock city, Arkansas",33904,28402,5502,"North Little Rock city, Arkansas",1909,1617,1081
"G05060410","2018","AR",,,"Arkansas","05",,,"Rogers city","60410",,,,,,,,,,,,,,,,"16000US0560410","Rogers city, Arkansas",25486,24440,1046,"Rogers city, Arkansas",1459,1408,612
"G05066080","2018","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"16000US0566080","Springdale city, Arkansas",28508,27283,1225,"Springdale city, Arkansas",1808,1693,688
"G06000562","2018","CA",,,"California","06",,,"Alameda city","00562",,,,,,,,,,,,,,,,"16000US0600562","Alameda city, California",32496,30724,1772,"Alameda city, California",1656,1435,925
"G06000884","2018","CA",,,"California","06",,,"Alhambra city","00884",,,,,,,,,,,,,,,,"16000US0600884","Alhambra city, California",32791,30556,2235,"Alhambra city, California",1631,1401,863
"G06002000","2018","CA",,,"California","06",,,"Anaheim city","02000",,,,,,,,,,,,,,,,"16000US0602000","Anaheim city, California",108802,101547,7255,"Anaheim city, California",3202,2857,1477
"G06002252","2018","CA",,,"California","06",,,"Antioch city","02252",,,,,,,,,,,,,,,,"16000US0602252","Antioch city, California",36364,34518,1846,"Antioch city, California",1818,1712,790
"G06002364","2018","CA",,,"California","06",,,"Apple Valley town","02364",,,,,,,,,,,,,,,,"16000US0602364","Apple Valley town, California",25963,24302,1661,"Apple Valley town, California",2038,1765,893
"G06002553","2018","CA",,,"California","06",,,"Arden-Arcade CDP","02553",,,,,,,,,,,,,,,,"16000US0602553","Arden-Arcade CDP, California",46564,44426,2138,"Arden-Arcade CDP, California",2717,2534,1012
"G06003526","2018","CA",,,"California","06",,,"Bakersfield city","03526",,,,,,,,,,,,,,,,"16000US0603526","Bakersfield city, California",130103,121615,8488,"Bakersfield city, California",3369,3390,1584
"G06003666","2018","CA",,,"California","06",,,"Baldwin Park city","03666",,,,,,,,,,,,,,,,"16000US0603666","Baldwin Park city, California",19135,18224,911,"Baldwin Park city, California",1014,924,455
"G06004982","2018","CA",,,"California","06",,,"Bellflower city","04982",,,,,,,,,,,,,,,,"16000US0604982","Bellflower city, California",25806,24333,1473,"Bellflower city, California",1581,1414,670
"G06006000","2018","CA",,,"California","06",,,"Berkeley city","06000",,,,,,,,,,,,,,,,"16000US0606000","Berkeley city, California",47359,43806,3553,"Berkeley city, California",2489,2151,1103
"G06008786","2018","CA",,,"California","06",,,"Buena Park city","08786",,,,,,,,,,,,,,,,"16000US0608786","Buena Park city, California",23801,23171,630,"Buena Park city, California",1407,1383,487
"G06008954","2018","CA",,,"California","06",,,"Burbank city","08954",,,,,,,,,,,,,,,,"16000US0608954","Burbank city, California",46530,43060,3470,"Burbank city, California",2300,2077,1240
"G06010046","2018","CA",,,"California","06",,,"Camarillo city","10046",,,,,,,,,,,,,,,,"16000US0610046","Camarillo city, California",25727,25137,590,"Camarillo city, California",1373,1259,416
"G06011194","2018","CA",,,"California","06",,,"Carlsbad city","11194",,,,,,,,,,,,,,,,"16000US0611194","Carlsbad city, California",49086,44950,4136,"Carlsbad city, California",2684,2464,1431
"G06011390","2018","CA",,,"California","06",,,"Carmichael CDP","11390",,,,,,,,,,,,,,,,"16000US0611390","Carmichael CDP, California",28241,26271,1970,"Carmichael CDP, California",1834,1766,832
"G06011530","2018","CA",,,"California","06",,,"Carson city","11530",,,,,,,,,,,,,,,,"16000US0611530","Carson city, California",24083,23896,187,"Carson city, California",1496,1477,223
"G06011964","2018","CA",,,"California","06",,,"Castro Valley CDP","11964",,,,,,,,,,,,,,,,"16000US0611964","Castro Valley CDP, California",21823,20371,1452,"Castro Valley CDP, California",1504,1379,807
"G06013014","2018","CA",,,"California","06",,,"Chico city","13014",,,,,,,,,,,,,,,,"16000US0613014","Chico city, California",41847,37100,4747,"Chico city, California",1770,1662,1279
"G06013210","2018","CA",,,"California","06",,,"Chino city","13210",,,,,,,,,,,,,,,,"16000US0613210","Chino city, California",27870,25509,2361,"Chino city, California",1443,1242,840
"G06013214","2018","CA",,,"California","06",,,"Chino Hills city","13214",,,,,,,,,,,,,,,,"16000US0613214","Chino Hills city, California",25151,24015,1136,"Chino Hills city, California",1534,1408,753
"G06013392","2018","CA",,,"California","06",,,"Chula Vista city","13392",,,,,,,,,,,,,,,,"16000US0613392","Chula Vista city, California",85108,78112,6996,"Chula Vista city, California",3112,2477,1751
"G06013588","2018","CA",,,"California","06",,,"Citrus Heights city","13588",,,,,,,,,,,,,,,,"16000US0613588","Citrus Heights city, California",35173,33390,1783,"Citrus Heights city, California",2063,1954,707
"G06014218","2018","CA",,,"California","06",,,"Clovis city","14218",,,,,,,,,,,,,,,,"16000US0614218","Clovis city, California",38847,38223,624,"Clovis city, California",2045,1979,411
"G06015044","2018","CA",,,"California","06",,,"Compton city","15044",,,,,,,,,,,,,,,,"16000US0615044","Compton city, California",25249,24489,760,"Compton city, California",1379,1362,431
"G06016000","2018","CA",,,"California","06",,,"Concord city","16000",,,,,,,,,,,,,,,,"16000US0616000","Concord city, California",50857,49444,1413,"Concord city, California",2461,2411,816
"G06016350","2018","CA",,,"California","06",,,"Corona city","16350",,,,,,,,,,,,,,,,"16000US0616350","Corona city, California",46097,43987,2110,"Corona city, California",2155,1986,988
"G06016532","2018","CA",,,"California","06",,,"Costa Mesa city","16532",,,,,,,,,,,,,,,,"16000US0616532","Costa Mesa city, California",42780,40295,2485,"Costa Mesa city, California",2171,1976,908
"G06017918","2018","CA",,,"California","06",,,"Daly City city","17918",,,,,,,,,,,,,,,,"16000US0617918","Daly City city, California",34551,32792,1759,"Daly City city, California",2314,2297,830
"G06018100","2018","CA",,,"California","06",,,"Davis city","18100",,,,,,,,,,,,,,,,"16000US0618100","Davis city, California",26158,24796,1362,"Davis city, California",1427,1309,657
