GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ALIME001,ALIME002,ALIME003,NAME_M,ALIMM001,ALIMM002,ALIMM003
"G01003076","2019","AL",,,"Alabama","01",,,"Auburn city","03076",,,,,,,,,,,,,,,,"16000US0103076","Auburn city, Alabama",28630,26156,2474,"Auburn city, Alabama",2814,2687,1052
"G01007000","2019","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",113421,93300,20121,"Birmingham city, Alabama",3693,3618,2211
"G01021184","2019","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",32728,27103,5625,"Dothan city, Alabama",1030,1044,662
"G01035896","2019","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",35345,32461,2884,"Hoover city, Alabama",1997,1606,1146
"G01037000","2019","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",95947,88930,7017,"Huntsville city, Alabama",2739,2823,1599
"G01050000","2019","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",92545,77628,14917,"Mobile city, Alabama",2562,2367,1830
"G01051000","2019","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",93166,78225,14941,"Montgomery city, Alabama",1410,2045,2077
"G01077256","2019","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",50870,36779,14091,"Tuscaloosa city, Alabama",2440,2172,2100
"G02003000","2019","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",119272,105198,14074,"Anchorage municipality, Alaska",490,2489,2481
"G04004720","2019","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",27957,25339,2618,"Avondale city, Arizona",1932,1647,941
"G04007940","2019","AZ",,,"Arizona","04",,,"Buckeye city","07940",,,,,,,,,,,,,,,,"16000US0407940","Buckeye city, Arizona",23952,21691,2261,"Buckeye city, Arizona",2036,1691,1106
"G04010670","2019","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"16000US0410670","Casas Adobes CDP, Arizona",32645,29337,3308,"Casas Adobes CDP, Arizona",2262,2194,1112
"G04012000","2019","AZ",,,"Arizona","04",,,"Chandler city","12000",,,,,,,,,,,,,,,,"16000US0412000","Chandler city, Arizona",101859,94035,7824,"Chandler city, Arizona",3705,2971,2012
"G04023620","2019","AZ",,,"Arizona","04",,,"Flagstaff city","23620",,,,,,,,,,,,,,,,"16000US0423620","Flagstaff city, Arizona",29713,25609,4104,"Flagstaff city, Arizona",1705,1576,1212
"G04027400","2019","AZ",,,"Arizona","04",,,"Gilbert town","27400",,,,,,,,,,,,,,,,"16000US0427400","Gilbert town, Arizona",84390,81235,3155,"Gilbert town, Arizona",2686,2554,952
"G04027820","2019","AZ",,,"Arizona","04",,,"Glendale city","27820",,,,,,,,,,,,,,,,"16000US0427820","Glendale city, Arizona",87188,81065,6123,"Glendale city, Arizona",3699,3085,2040
"G04028380","2019","AZ",,,"Arizona","04",,,"Goodyear city","28380",,,,,,,,,,,,,,,,"16000US0428380","Goodyear city, Arizona",29434,26158,3276,"Goodyear city, Arizona",1846,1654,1060
"G04046000","2019","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"16000US0446000","Mesa city, Arizona",215150,187111,28039,"Mesa city, Arizona",5036,4486,3180
