GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,AQALE001,AQALE002,AQALE003,NAME_M,AQALM001,AQALM002,AQALM003
"G01003076","2022","AL",,,"Alabama","01",,,"Auburn city","03076",,,,,,,,,,,,,,,,"1600000US0103076","0103076","Auburn city, Alabama",35738,31076,4662,"Auburn city, Alabama",1469,1683,1347
"G01007000","2022","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"1600000US0107000","0107000","Birmingham city, Alabama",109533,88889,20644,"Birmingham city, Alabama",3553,3067,2372
"G01021184","2022","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"1600000US0121184","0121184","Dothan city, Alabama",33349,28281,5068,"Dothan city, Alabama",1082,1133,923
"G01035896","2022","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"1600000US0135896","0135896","Hoover city, Alabama",38893,37442,1451,"Hoover city, Alabama",2165,1977,761
"G01037000","2022","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"1600000US0137000","0137000","Huntsville city, Alabama",104492,95683,8809,"Huntsville city, Alabama",2479,2781,1840
"G01050000","2022","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"1600000US0150000","0150000","Mobile city, Alabama",89855,77479,12376,"Mobile city, Alabama",3142,2920,1864
"G01051000","2022","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"1600000US0151000","0151000","Montgomery city, Alabama",95367,80462,14905,"Montgomery city, Alabama",903,2339,2276
"G01077256","2022","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"1600000US0177256","0177256","Tuscaloosa city, Alabama",53652,41602,12050,"Tuscaloosa city, Alabama",2033,2064,1947
"G02003000","2022","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"1600000US0203000","0203000","Anchorage municipality, Alaska",120871,109856,11015,"Anchorage municipality, Alaska",219,2351,2353
"G04004720","2022","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"1600000US0404720","0404720","Avondale city, Arizona",33151,31844,1307,"Avondale city, Arizona",2328,2233,677
"G04007940","2022","AZ",,,"Arizona","04",,,"Buckeye city","07940",,,,,,,,,,,,,,,,"1600000US0407940","0407940","Buckeye city, Arizona",37286,34913,2373,"Buckeye city, Arizona",2475,2402,1231
"G04010670","2022","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"1600000US0410670","0410670","Casas Adobes CDP, Arizona",34266,32801,1465,"Casas Adobes CDP, Arizona",2020,2133,721
"G04012000","2022","AZ",,,"Arizona","04",,,"Chandler city","12000",,,,,,,,,,,,,,,,"1600000US0412000","0412000","Chandler city, Arizona",113092,106712,6380,"Chandler city, Arizona",3281,3254,1559
"G04023620","2022","AZ",,,"Arizona","04",,,"Flagstaff city","23620",,,,,,,,,,,,,,,,"1600000US0423620","0423620","Flagstaff city, Arizona",32374,28424,3950,"Flagstaff city, Arizona",1452,1404,1047
