GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,LIIE001,LIIE002,LIIE003,LIIE004,LIIE005,LIIE006,LIIE007,LIIE008,LIIE009,LIIE010,LIIE011,LIIE012,LIIE013,LIIE014,LIIE015,LIIE016,LIIE017,LIIE018,LIIE019,LIIE020,LIIE021,LIIE022,LIIE023,LIIE024,LIIE025,LIIE026,LIIE027,LIIE028,LIIE029,LIIE030,LIIE031,LIIE032,LIIE033,LIIE034,LIIE035,LIIE036,LIIE037,LIIE038,LIIE039,LIIE040,LIIE041,LIIE042,LIIE043,LIIE044,LIIE045,LIIE046,LIIE047,LIIE048,LIIE049,NAME_M,LIIM001,LIIM002,LIIM003,LIIM004,LIIM005,LIIM006,LIIM007,LIIM008,LIIM009,LIIM010,LIIM011,LIIM012,LIIM013,LIIM014,LIIM015,LIIM016,LIIM017,LIIM018,LIIM019,LIIM020,LIIM021,LIIM022,LIIM023,LIIM024,LIIM025,LIIM026,LIIM027,LIIM028,LIIM029,LIIM030,LIIM031,LIIM032,LIIM033,LIIM034,LIIM035,LIIM036,LIIM037,LIIM038,LIIM039,LIIM040,LIIM041,LIIM042,LIIM043,LIIM044,LIIM045,LIIM046,LIIM047,LIIM048,LIIM049
"G0100030","2011","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",186717,90102,5104,6555,5174,3704,2712,767,700,3111,6683,4585,3584,7907,6084,6902,5617,2994,3565,1955,3804,2825,2700,1837,1233,96615,5527,6342,6700,3172,1434,376,1365,2760,6365,5769,4551,7600,6595,7276,6292,2525,4692,2027,3681,4074,2766,2271,2455,"Baldwin County, Alabama",0,2071,901,1122,1353,263,697,522,446,643,1921,262,1032,1320,528,777,1223,1198,1273,660,885,795,710,719,603,2071,539,1789,1688,231,897,352,1075,933,760,865,1403,1682,670,616,1245,902,1210,728,1128,881,851,863,823
"G0100150","2011","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",117797,56600,3968,3750,3845,2393,1718,1465,855,2347,3528,3219,3070,3812,4104,4183,3214,1574,2510,895,1768,1668,998,1270,446,61197,3201,3882,3882,2004,1798,1061,700,2781,3777,3643,2595,4952,3944,4551,4304,1759,1983,1105,1454,2663,2631,1267,1260,"Calhoun County, Alabama",0,311,249,800,829,247,351,583,369,776,478,411,772,765,546,171,676,591,663,348,426,378,306,307,254,311,96,958,946,242,376,450,479,648,228,128,914,899,128,133,706,616,588,326,461,518,706,532,435
"G0100430","2011","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",80536,40082,2284,3449,2211,1581,1246,735,795,1106,2388,2369,1946,2951,3302,2864,2557,1024,1532,533,1834,1044,1016,928,387,40454,2103,2706,2738,1515,825,694,296,1262,2114,2441,2462,2590,2997,2792,2276,1263,1845,951,1701,1595,1419,947,922,"Cullman County, Alabama",0,467,220,781,655,79,394,498,375,406,285,276,607,561,361,24,549,399,453,285,420,369,345,357,196,467,152,645,530,110,99,365,192,352,30,306,765,655,349,26,512,674,580,480,444,403,432,484,372
"G0100490","2011","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",71375,35045,2287,1777,2625,2096,520,480,646,922,1592,2067,2521,2978,2955,3051,2587,641,1114,1001,1243,364,676,709,193,36330,1732,2360,2154,2247,1309,592,178,1286,2210,2256,1974,2491,2956,2636,2035,874,1555,617,638,1751,1149,726,604,"DeKalb County, Alabama",0,1098,787,345,565,654,274,258,476,357,130,433,1227,1010,682,899,356,277,328,460,430,214,220,243,133,1098,336,815,590,950,764,405,115,563,597,378,738,631,462,398,496,332,438,318,331,428,319,235,377
"G0100510","2011","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",80162,38798,2166,3159,2230,1606,766,494,499,1820,2954,2773,2122,3124,3348,2582,3040,1113,899,582,1303,683,786,389,360,41364,2629,2403,2806,1473,1797,749,212,1452,2117,2440,3096,3275,3276,3166,2738,650,1634,979,1079,1205,768,947,473,"Elmore County, Alabama",0,506,363,582,582,314,557,416,262,602,298,410,554,526,392,167,674,525,448,301,462,373,249,254,192,506,363,694,694,314,684,499,200,515,269,493,847,946,392,604,551,298,512,472,434,453,302,351,292
"G0100550","2011","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",104303,50831,3196,3473,3684,2572,1379,1042,578,1373,2870,3037,3458,3010,3407,3825,3141,1495,2334,593,1501,2192,1227,715,729,53472,2639,2716,3653,1770,1297,396,1031,1582,3001,3422,4149,3387,3400,3735,3359,2033,2100,1033,1617,2527,1891,1599,1135,"Etowah County, Alabama",0,783,286,665,847,351,322,475,391,501,380,415,738,640,311,446,615,593,561,316,453,454,442,289,416,783,390,560,521,219,435,261,497,582,558,457,959,891,293,323,620,567,577,471,454,519,431,550,387
"G0100690","2011","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",102369,48804,3297,3661,3650,1990,1186,657,408,1887,3206,2825,3405,2963,3455,3698,3134,1287,1583,897,1240,1827,1204,809,535,53565,3377,3531,3393,1964,1127,535,780,1821,3308,3588,4168,2854,3701,3770,3450,1596,1825,1245,1432,2015,1879,1198,1008,"Houston County, Alabama",0,149,122,378,367,45,73,196,141,262,156,31,401,381,91,96,366,321,288,227,222,268,193,183,185,149,84,398,402,24,31,201,267,285,78,149,372,354,70,73,344,413,347,242,281,242,253,213,229
"G0100730","2011","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",658931,310328,21751,20896,21814,13393,8555,4070,4403,13537,23255,22103,19405,19845,21024,22494,23357,7063,8690,4970,7265,7601,5613,5174,4050,348603,22674,18581,23343,12193,8539,2883,5945,15426,25362,24599,21750,20580,23553,25243,25589,7936,12204,5480,8925,10912,9857,8277,8752,"Jefferson County, Alabama",0,1118,660,1832,1855,294,307,1071,1123,1422,273,395,2325,2231,536,544,1615,1247,1211,824,1051,972,836,971,817,1118,660,1939,1894,172,327,1033,1223,1729,660,714,2023,2023,574,285,1761,1291,1527,1008,1174,1176,1313,1175,938
"G0100770","2011","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",92781,44603,2883,2170,3277,2007,1562,896,1086,1474,2507,2488,2387,3312,2866,3022,2563,1690,1484,1040,1689,1444,1170,409,1177,48178,2381,1883,3393,1953,1307,1347,352,2346,2726,2220,2725,3381,3143,3431,3075,1697,1718,984,1493,2303,1308,1558,1454,"Lauderdale County, Alabama",0,364,672,658,779,306,362,431,436,448,249,278,755,700,146,144,572,584,602,460,508,523,437,223,435,364,280,756,812,314,567,855,224,850,463,99,747,737,225,252,670,528,604,450,470,550,499,567,573
"G0100810","2011","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",143468,71561,5021,4912,4064,2451,4183,3281,2361,6875,5105,4051,4386,4257,4079,3916,3938,1021,1747,739,1512,1541,1044,457,620,71907,3828,4272,4030,2708,4294,2176,2603,5947,5465,4543,4355,4533,4120,4230,3729,1385,2233,1174,1545,1448,1773,648,868,"Lee County, Alabama",0,801,654,955,928,302,375,1529,1026,1559,553,170,1091,1154,108,2,604,437,611,342,583,474,534,426,439,801,597,863,839,337,370,657,986,1132,424,273,1163,1118,4,108,774,611,662,429,544,512,527,390,445
"G0100830","2011","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"05000US01083","Limestone County, Alabama",85369,43547,2447,3687,2475,1787,584,967,258,1609,3243,2498,2838,3781,4046,3291,2935,706,1732,945,1081,1098,603,424,512,41822,2458,2500,2920,1762,1049,1082,220,1105,2532,2818,1978,3692,3193,3299,2988,1091,1464,1181,759,1281,1060,637,753,"Limestone County, Alabama",0,689,186,911,786,269,327,550,272,918,523,440,676,1004,489,592,758,398,590,440,395,396,291,297,280,689,534,596,650,486,693,743,273,611,450,506,605,517,358,414,636,445,540,382,404,379,396,334,318
"G0100890","2011","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",340111,166229,10551,10456,11890,7201,5246,2909,2116,7470,12138,10776,9378,11625,13366,13523,10036,3590,5970,2777,3130,4562,3784,1895,1840,173882,10267,10452,11581,7002,4969,2719,2623,6557,11661,10717,9771,12689,14391,13764,9639,4595,6093,2363,4816,5920,4874,2866,3553,"Madison County, Alabama",0,321,228,1315,1329,227,264,928,659,904,330,605,1285,1207,354,356,1230,1229,875,699,687,693,581,517,505,321,256,1370,1335,244,425,851,928,1133,475,428,1247,1148,507,545,1321,958,997,621,863,886,768,557,650
"G0100950","2011","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"05000US01095","Marshall County, Alabama",94166,46510,3235,3270,3015,1849,2121,336,416,2199,2864,2980,2797,3228,3258,3205,3044,1165,1508,951,694,2079,1353,565,378,47656,3185,3414,3133,1819,954,522,193,2054,2854,2772,2314,3555,3350,3251,3270,956,1860,579,1533,2275,1457,1265,1091,"Marshall County, Alabama",0,528,129,754,762,140,689,236,263,549,607,185,608,606,198,261,553,367,568,389,293,403,325,287,206,528,138,594,587,218,119,304,149,440,334,98,610,648,210,152,557,324,510,292,388,467,342,285,394
"G0100970","2011","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"05000US01097","Mobile County, Alabama",412577,198221,14263,15873,13101,9157,5821,1831,2865,9692,13202,12544,12656,11798,13618,14415,12608,5118,7104,3220,5181,5406,3637,2597,2514,214356,13412,12808,14768,8868,5364,2883,3642,8920,14187,13670,12464,13668,14845,15991,13070,5242,8381,4873,6534,5850,6455,3713,4748,"Mobile County, Alabama",0,714,318,1514,1494,322,423,628,674,820,404,533,1662,1586,486,409,1137,961,1061,642,738,882,652,537,604,714,372,1695,1516,369,242,1009,1009,1216,552,504,1475,1379,543,537,1227,994,1182,815,1093,929,815,662,667
"G0101010","2011","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",232032,110056,8187,6877,8813,5223,4264,2561,1608,5106,8497,7751,7014,6460,6839,7414,5482,3002,3599,1989,2630,2120,1994,1821,805,121976,7649,8625,6737,5423,3894,2614,1539,5710,9009,8164,8552,6557,7897,8197,6572,3488,4439,2748,2054,3879,3601,2280,2348,"Montgomery County, Alabama",0,678,229,1009,1057,139,429,639,632,893,399,358,1211,1258,233,381,816,743,791,536,582,518,425,467,312,678,423,1339,1241,422,192,810,693,923,393,512,1259,1295,232,195,822,768,954,769,591,652,661,651,594
"G0101030","2011","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",119953,58707,3889,3897,3782,2476,1440,580,831,2852,3674,3419,3236,4806,4739,4017,4305,1002,1981,898,1758,2275,1313,1269,268,61246,2920,5259,3413,3105,1763,626,1069,1287,3169,3428,3889,3823,4374,5080,4289,1118,2610,1882,1386,1864,2224,1136,1532,"Morgan County, Alabama",0,1326,613,807,837,521,705,504,710,930,684,536,710,662,502,241,701,437,569,340,668,499,371,362,191,1326,539,757,799,368,401,414,537,481,470,643,749,799,408,540,629,486,614,511,453,446,528,440,562
