GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,OILE001,OILE002,OILE003,OILE004,OILE005,OILE006,OILE007,OILE008,OILE009,OILE010,OILE011,OILE012,OILE013,OILE014,OILE015,OILE016,OILE017,OILE018,OILE019,OILE020,OILE021,OILE022,OILE023,OILE024,OILE025,OILE026,OILE027,OILE028,OILE029,OILE030,OILE031,OILE032,OILE033,OILE034,OILE035,OILE036,OILE037,OILE038,OILE039,OILE040,OILE041,OILE042,OILE043,OILE044,OILE045,OILE046,OILE047,OILE048,OILE049,NAME_M,OILM001,OILM002,OILM003,OILM004,OILM005,OILM006,OILM007,OILM008,OILM009,OILM010,OILM011,OILM012,OILM013,OILM014,OILM015,OILM016,OILM017,OILM018,OILM019,OILM020,OILM021,OILM022,OILM023,OILM024,OILM025,OILM026,OILM027,OILM028,OILM029,OILM030,OILM031,OILM032,OILM033,OILM034,OILM035,OILM036,OILM037,OILM038,OILM039,OILM040,OILM041,OILM042,OILM043,OILM044,OILM045,OILM046,OILM047,OILM048,OILM049
"G0100030","2012","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",190790,93581,5221,5803,6797,3983,1660,1202,1025,3279,6552,5079,6193,5137,6558,7023,6224,2097,3799,2723,3498,3706,2842,2050,1130,97209,5550,6385,5017,3759,2172,1167,1625,2712,5089,5919,5008,6209,7631,7166,7130,2087,4697,2985,4017,3381,3151,2100,2252,"Baldwin County, Alabama",0,1045,730,1035,1462,515,55,655,514,658,860,538,1065,1011,523,671,884,764,891,710,819,794,638,630,506,1045,761,1130,1115,763,527,603,813,614,466,675,1054,1145,923,243,1065,654,965,701,840,763,663,627,686
"G0100150","2012","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",117296,56142,3663,4449,3103,2382,1900,1161,1189,2189,3358,3162,2683,4594,3647,3901,4061,1094,2255,984,1340,2228,1193,904,702,61154,3463,3727,3453,2075,1522,1282,803,2951,3792,3805,3607,3972,3337,4716,4942,1655,1867,1193,1532,2674,2149,1072,1565,"Calhoun County, Alabama",0,832,571,807,712,275,355,569,492,668,471,391,716,822,61,92,627,414,629,354,313,425,300,249,247,832,385,631,622,255,347,574,403,593,334,432,593,647,281,431,637,568,504,394,473,456,466,349,507
"G0100430","2012","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",80440,40185,2553,2361,2971,1587,1075,780,342,1323,2693,2141,2595,2218,3319,2832,2643,958,1635,879,1573,1454,976,626,651,40255,2158,2596,2317,1420,789,466,282,1762,2132,2366,2111,2930,2802,2920,2046,931,2568,1224,1145,1862,1353,790,1285,"Cullman County, Alabama",0,412,295,784,720,149,248,519,308,561,497,51,524,503,455,72,416,392,416,280,492,415,383,310,358,412,135,535,568,34,71,356,258,600,108,225,627,733,166,135,506,377,609,406,370,462,394,388,441
"G0100490","2012","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",71080,34955,2110,1978,3461,1538,878,731,1298,1401,856,1390,1558,4091,2296,2446,1293,1118,1877,1039,715,1170,780,662,269,36125,1377,3142,2958,1469,778,516,1175,473,2035,2300,1355,3314,2374,2434,2208,1004,1325,375,598,2262,653,1307,693,"DeKalb County, Alabama",0,1200,815,818,1408,0,0,511,830,821,445,710,590,837,0,0,450,540,545,561,317,454,298,325,212,1200,628,1117,994,0,0,530,595,309,0,0,549,549,0,0,507,462,508,205,285,386,269,408,331
"G0100510","2012","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",80629,38982,2672,2659,2848,1192,1270,142,1036,1749,2162,2725,2209,3585,2566,2791,2914,584,1210,769,1354,947,855,217,526,41647,2345,2400,2714,1753,617,369,285,1925,3348,3005,2530,3663,2822,3119,2810,894,1349,1153,750,1668,1062,405,661,"Elmore County, Alabama",0,462,506,550,551,73,361,179,653,679,204,432,681,790,324,184,450,284,390,368,423,369,310,172,263,462,442,692,641,492,321,289,269,656,678,483,858,843,359,92,430,360,392,392,350,469,342,270,331
"G0100550","2012","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",104392,50016,3066,3947,2788,2278,1146,897,905,1633,2818,3219,3362,3382,3048,3558,3887,1293,1626,1171,1598,1664,1148,569,1013,54376,2919,2413,4156,1851,1493,466,555,2154,2999,3343,2853,4281,3506,3510,3909,1408,2131,1142,1631,3263,1643,1098,1652,"Etowah County, Alabama",0,777,320,925,824,224,202,408,558,671,382,321,786,705,193,356,601,458,448,426,469,447,419,274,488,777,408,701,693,178,341,348,403,488,430,533,841,789,322,247,556,405,461,390,472,597,471,390,473
"G0100690","2012","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",103402,49292,3655,3572,3382,2036,1081,365,658,2010,3229,3091,2629,3665,3417,3493,3413,1133,1562,1213,1175,1748,1304,800,661,54110,3387,3543,3453,2029,1137,542,599,1974,3686,3318,3601,3295,3644,3863,3945,1290,1747,1244,1428,2217,1799,1347,1022,"Houston County, Alabama",0,300,195,370,398,77,184,153,224,219,122,131,488,473,122,39,354,262,267,230,229,259,258,245,309,300,116,566,467,117,74,223,227,272,163,135,502,514,112,109,401,238,315,231,227,266,249,204,183
"G0100730","2012","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",660009,311696,23383,21105,21599,12278,8314,5122,4775,12634,22812,21658,18815,21750,19656,22217,22315,7265,9949,6736,5913,8457,6039,4623,4281,348313,22142,21461,20706,12168,8440,4371,6198,12660,25154,24540,20902,22231,22163,25851,23441,10375,12207,6776,8694,10922,9264,8415,9232,"Jefferson County, Alabama",0,534,199,1841,1839,293,313,1294,914,1322,222,277,1850,1807,351,447,1435,1029,1199,1025,973,1032,829,711,761,534,188,1808,1740,455,354,1102,1136,1269,366,427,2072,1994,324,594,1636,1153,1284,967,1179,1156,929,999,1161
"G0100770","2012","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",92542,44191,2681,3254,2421,1677,1141,294,482,2588,2395,2764,3012,2195,3057,3182,2890,1631,1697,979,1328,1849,1607,647,420,48351,2709,2014,3121,2013,1149,896,996,2179,2639,2439,2593,3138,3104,3432,3751,1051,1925,1025,1231,2726,2036,909,1275,"Lauderdale County, Alabama",0,536,381,704,615,199,282,334,302,599,76,498,680,481,323,380,556,644,482,349,393,441,369,269,249,536,546,618,565,374,227,457,594,604,346,299,627,728,296,2,537,377,516,422,414,554,452,400,482
"G0100810","2012","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",147257,72191,4342,4922,4590,2547,3581,2636,3544,6252,5010,4430,3983,4908,3981,4020,2752,2261,2361,1083,1219,1693,1084,530,462,75066,4453,6015,2834,2426,4277,2618,2383,5774,5914,4696,4375,5076,4262,4471,3112,2351,2176,1195,1196,2149,1524,903,886,"Lee County, Alabama",0,694,668,790,714,159,462,1236,1053,1265,562,651,973,998,184,17,525,738,664,404,406,532,478,296,286,694,425,717,774,184,762,993,874,1177,452,610,977,926,198,221,752,587,477,427,410,550,459,405,366
