GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,SASE001,SASE002,SASE003,SASE004,SASE005,SASE006,SASE007,SASE008,SASE009,SASE010,SASE011,SASE012,SASE013,SASE014,SASE015,SASE016,SASE017,SASE018,SASE019,SASE020,SASE021,SASE022,SASE023,SASE024,SASE025,SASE026,SASE027,SASE028,SASE029,SASE030,SASE031,SASE032,SASE033,SASE034,SASE035,SASE036,SASE037,SASE038,SASE039,SASE040,SASE041,SASE042,SASE043,SASE044,SASE045,SASE046,SASE047,SASE048,SASE049,NAME_M,SASM001,SASM002,SASM003,SASM004,SASM005,SASM006,SASM007,SASM008,SASM009,SASM010,SASM011,SASM012,SASM013,SASM014,SASM015,SASM016,SASM017,SASM018,SASM019,SASM020,SASM021,SASM022,SASM023,SASM024,SASM025,SASM026,SASM027,SASM028,SASM029,SASM030,SASM031,SASM032,SASM033,SASM034,SASM035,SASM036,SASM037,SASM038,SASM039,SASM040,SASM041,SASM042,SASM043,SASM044,SASM045,SASM046,SASM047,SASM048,SASM049
"G0100030","2013","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",195540,94905,5539,5936,6917,4267,2132,529,1647,3592,5430,6351,5109,6022,5938,6185,6908,2490,3788,2853,3134,3841,3241,1444,1612,100635,5081,6616,5873,4076,1758,985,1721,3855,5075,6210,5761,7223,6081,7196,5993,2650,5503,3102,3894,4168,2352,2830,2632,"Baldwin County, Alabama",0,1965,993,1208,1805,741,565,421,928,1292,921,1144,1140,1436,485,301,1246,689,945,948,719,866,664,545,659,1965,847,1404,1345,873,920,536,1122,1769,646,1017,1549,1586,437,636,1288,786,1434,811,886,873,761,917,809
"G0100150","2013","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",116736,56601,3769,4759,2984,1922,2010,1237,779,2318,3735,3499,3997,2993,3732,3988,3643,1458,2202,1151,1263,2469,1371,822,500,60135,2972,3853,3162,2538,2019,762,793,2494,4136,3499,4867,3258,3703,3716,3934,1304,2770,1590,1624,2451,2262,1233,1195,"Calhoun County, Alabama",0,798,519,798,794,265,586,563,378,741,548,188,902,673,550,452,726,573,706,514,413,576,366,330,276,798,489,757,710,396,539,381,417,554,426,75,813,837,474,335,645,553,747,550,515,602,611,419,426
"G0100430","2013","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",80811,40215,2889,3009,2207,1521,522,479,1101,1369,2712,2411,2729,2348,2760,2924,2526,936,1841,1193,1459,1070,1234,621,354,40596,2423,1845,2754,1412,738,65,299,2590,2211,2312,2617,2709,2539,2823,3240,967,1359,1203,1130,2034,1231,1199,896,"Cullman County, Alabama",0,431,277,740,577,71,384,283,503,524,429,194,560,553,216,106,457,348,449,410,486,401,294,227,260,431,290,531,479,192,192,86,236,494,98,176,592,705,65,58,574,422,474,445,403,497,379,400,395
"G0100490","2013","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",71013,34982,1105,2729,2650,1301,745,734,424,2576,1975,1884,3132,1669,2851,2202,1579,780,1798,865,1025,1263,794,481,420,36031,2469,2042,2553,1533,669,370,106,1680,1705,1827,2718,2461,2300,2288,1731,1214,1809,660,733,1976,1114,1573,500,"DeKalb County, Alabama",0,1583,576,1165,556,156,107,610,346,1945,584,176,942,609,551,134,588,377,627,326,406,388,290,205,272,1583,915,780,958,641,137,329,150,642,332,203,871,851,202,69,596,621,626,305,328,387,556,830,262
"G0100510","2013","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",80902,39928,2116,3130,2956,1362,1163,402,898,1530,1780,3287,3002,2528,3071,2821,2435,597,1763,745,969,1577,826,713,257,40974,1961,3164,2374,1452,736,592,563,1657,2811,2851,2768,3386,2781,2896,2775,827,1537,926,1646,939,1016,784,532,"Elmore County, Alabama",0,553,379,772,733,303,644,257,564,538,138,665,664,754,615,398,638,357,582,355,353,417,332,414,261,553,309,774,805,206,458,422,372,823,650,559,766,791,400,503,552,411,570,413,445,367,406,358,299
"G0100550","2013","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",103931,50344,3267,2699,3836,2435,1370,388,916,1810,2585,3201,2900,3419,3655,3712,3044,1466,2203,1323,1303,2047,1548,775,442,53587,2715,3228,2459,2281,1291,1547,244,1697,2662,2967,4500,3310,3447,3816,3978,1501,2027,1140,2000,2319,1527,1358,1573,"Etowah County, Alabama",0,768,440,822,677,489,614,329,495,670,463,610,690,664,443,422,583,414,525,408,457,481,371,332,291,768,384,729,707,511,384,513,215,667,282,332,792,770,463,167,615,476,461,454,517,537,410,450,431
"G0100690","2013","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",103668,49901,3379,3224,4255,2136,1115,606,915,1648,3171,3171,2911,3402,3394,3540,3046,1763,1352,1311,1360,1516,1212,994,480,53767,3080,2789,3894,2115,1104,475,872,1969,3469,3411,2779,4079,3435,3966,3480,1336,2085,1296,1808,2009,1856,1098,1362,"Houston County, Alabama",0,201,210,558,621,111,64,206,262,224,136,193,428,456,152,119,356,381,274,273,240,195,200,183,171,201,95,449,438,127,97,179,297,328,160,95,422,421,120,157,339,273,346,264,281,246,282,233,257
"G0100730","2013","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",659479,311972,22152,22510,20641,12236,8155,6160,3272,12548,22983,22436,20017,20379,18992,22039,20939,8787,10605,6184,7053,9067,6479,4805,3533,347507,20976,20620,21340,12037,8917,3375,4099,15285,24711,24180,22048,22139,21920,24566,24546,8444,13790,8072,8655,10845,10628,8371,7943,"Jefferson County, Alabama",0,730,334,2083,2111,314,327,1262,829,1473,171,545,1780,1756,273,576,1554,1131,1324,1080,1151,1035,901,950,738,730,229,1917,1928,562,411,1054,1045,1422,490,521,1711,1476,542,543,1636,1133,1502,1318,1179,1262,1397,1108,1343
"G0100770","2013","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",92797,44888,2389,2702,2877,1771,748,928,1131,3107,3026,2548,1866,2996,2752,3016,3663,947,1373,1182,1442,1659,1474,621,670,47909,1920,2554,2589,1850,1844,1412,615,1915,2458,2516,2043,3268,3322,3310,4592,817,1291,998,1386,2564,2091,1035,1519,"Lauderdale County, Alabama",0,790,289,662,693,364,612,380,500,1191,381,322,549,579,240,273,530,362,393,502,518,464,424,329,443,790,155,626,622,334,543,618,404,641,284,188,643,787,306,281,586,353,490,480,497,588,535,405,531
"G0100810","2013","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",150933,74475,4859,4152,5023,2767,4179,4312,2829,4707,5338,5237,4311,4718,4071,4290,3619,1485,1919,1175,1104,2287,963,566,564,76458,4140,4755,4110,3175,3726,3210,2474,5432,5450,4737,4367,5232,4588,5071,3728,1310,2715,1567,1538,1947,1536,966,684,"Lee County, Alabama",0,671,767,784,792,550,571,991,819,1126,584,726,914,1093,89,149,799,538,712,549,440,596,322,329,323,671,611,879,957,381,411,1091,1055,1269,146,681,1019,1036,327,435,719,540,789,566,555,567,570,468,322
