GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AAACE001,AAACE002,AAACE003,AAACE004,AAACE005,AAACE006,AAACE007,AAACE008,AAACE009,AAACE010,AAACE011,AAACE012,AAACE013,AAACE014,AAACE015,AAACE016,AAACE017,AAACE018,AAACE019,AAACE020,AAACE021,AAACE022,AAACE023,AAACE024,AAACE025,AAACE026,AAACE027,AAACE028,AAACE029,AAACE030,AAACE031,AAACE032,AAACE033,AAACE034,AAACE035,AAACE036,AAACE037,AAACE038,AAACE039,AAACE040,AAACE041,AAACE042,AAACE043,AAACE044,AAACE045,AAACE046,AAACE047,AAACE048,AAACE049,NAME_M,AAACM001,AAACM002,AAACM003,AAACM004,AAACM005,AAACM006,AAACM007,AAACM008,AAACM009,AAACM010,AAACM011,AAACM012,AAACM013,AAACM014,AAACM015,AAACM016,AAACM017,AAACM018,AAACM019,AAACM020,AAACM021,AAACM022,AAACM023,AAACM024,AAACM025,AAACM026,AAACM027,AAACM028,AAACM029,AAACM030,AAACM031,AAACM032,AAACM033,AAACM034,AAACM035,AAACM036,AAACM037,AAACM038,AAACM039,AAACM040,AAACM041,AAACM042,AAACM043,AAACM044,AAACM045,AAACM046,AAACM047,AAACM048,AAACM049
"G0100030","2014","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",200111,98284,5690,6273,7265,3295,2960,924,831,3450,5392,6518,5693,6868,5786,6529,6469,3085,3481,2774,3131,4684,3271,2503,1412,101827,5269,5115,7404,4311,2133,894,715,2994,5722,5832,5268,6827,6392,8252,7233,2453,5006,2827,3033,5946,2907,2898,2396,"Baldwin County, Alabama",0,1735,1125,1509,1673,257,1106,569,691,992,776,1160,1486,1483,268,540,1059,829,1012,870,761,905,867,799,631,1735,1225,1276,1301,1168,475,551,664,850,650,789,1302,1155,543,951,1246,672,1296,694,861,1084,699,804,702
"G0100150","2014","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",115916,55449,3317,2882,4359,2466,1867,912,1233,1506,3487,3344,4080,3488,3415,3993,2873,2303,2116,723,2252,2078,1175,1027,553,60467,3372,3135,3926,2262,1544,595,453,3085,4007,3870,3783,3399,3673,4209,4191,2486,1742,1440,2029,2392,1740,2032,1102,"Calhoun County, Alabama",0,395,279,804,783,290,492,563,428,587,603,474,1095,947,189,190,691,622,579,397,525,507,360,345,262,395,262,723,728,370,361,404,393,646,200,330,796,779,189,126,685,674,537,597,546,621,519,501,388
"G0100430","2014","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",81289,40112,2538,2080,3268,1512,1055,402,466,1686,2427,2682,1698,3059,2599,2927,3295,1117,1072,834,847,2161,1375,855,157,41177,2314,2362,2695,1539,688,780,649,1414,2330,2229,2687,2243,2976,2787,3358,511,1578,1321,1111,2109,1292,1051,1153,"Cullman County, Alabama",0,636,463,781,748,50,273,372,338,500,194,378,695,666,113,149,605,417,448,401,389,547,412,388,159,636,211,616,683,144,425,458,500,439,159,121,640,605,263,93,525,288,516,513,398,530,479,424,486
"G0100490","2014","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",71065,36028,2381,2906,2283,2147,571,264,647,1504,2144,2010,2413,2778,2164,2196,2794,498,1222,640,999,1802,1066,513,86,35037,2080,1443,3113,1484,843,532,332,1410,1954,2082,1723,2280,2280,2237,3035,315,1937,450,1485,1420,1326,404,872,"DeKalb County, Alabama",0,1239,299,809,660,784,448,210,519,556,271,369,951,886,159,80,700,362,561,294,453,530,254,239,100,1239,283,476,793,251,578,381,353,680,365,335,549,568,291,50,680,207,585,274,421,359,413,293,279
"G0100510","2014","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",80977,39865,3515,3007,1656,1767,1240,607,598,2274,1971,2563,2461,2540,2976,2577,2587,1108,960,915,1444,1078,1008,470,543,41112,1761,3491,2056,1347,1033,252,1054,1703,2233,3211,3096,2957,2648,2906,3101,1288,1219,804,1204,1346,888,665,849,"Elmore County, Alabama",0,666,623,718,563,565,606,459,545,882,815,387,639,558,441,236,644,537,454,351,447,373,381,288,317,666,313,846,545,209,677,306,657,870,273,659,728,750,421,636,554,615,416,310,379,402,406,341,359
"G0100550","2014","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",103531,50191,3071,2975,3569,2140,1255,922,618,1784,2784,2843,4035,3008,3191,3627,3555,1203,1894,1271,1226,2364,1070,1012,774,53340,2923,2683,3230,2066,1147,1017,1020,1632,2877,3077,3574,3096,3574,3627,3832,979,2626,1461,2240,1989,1854,1296,1520,"Etowah County, Alabama",0,549,404,739,693,299,236,500,341,561,322,360,726,770,274,394,564,446,501,374,365,386,353,304,286,549,372,621,547,309,293,415,519,644,353,149,761,750,197,104,579,414,523,383,541,442,468,426,404
"G0100690","2014","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",104193,49815,3377,3815,3540,2160,1107,594,657,1918,3103,3390,2827,3352,3071,3461,3065,1394,1824,1131,1661,1635,1227,731,775,54378,3120,3316,3343,2064,1167,535,748,2183,3381,3613,3498,3501,3356,3815,3992,1397,1832,1104,1712,2393,2057,1045,1206,"Houston County, Alabama",0,155,94,388,397,84,56,210,243,278,95,187,396,388,59,50,364,284,335,273,338,277,219,159,211,155,72,428,419,80,158,193,263,310,70,159,455,423,85,60,370,297,334,186,277,302,279,287,284
"G0100730","2014","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",660793,312139,21652,23226,19704,12962,8176,4693,5662,11620,22573,22195,20131,20531,18807,21368,22059,8198,9628,6323,6936,10504,6922,4556,3713,348654,21678,20853,21131,11656,8803,5522,3934,12258,25999,24363,21012,23542,21176,24028,25096,9408,12646,8230,9341,11219,9841,7861,9057,"Jefferson County, Alabama",0,794,137,1645,1654,300,332,1043,1283,1546,326,376,1671,1533,520,364,1658,1176,1412,1281,994,1200,903,817,670,794,138,1973,1975,179,380,1284,956,1395,292,430,1839,1877,416,467,1467,1397,1495,1224,1075,1349,1152,996,1080
"G0100770","2014","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",93096,44124,2698,3278,2037,1497,837,1307,503,2550,2499,2631,2890,2443,2787,3024,2953,1264,1571,736,1132,2657,1254,893,683,48972,2327,3518,2462,1523,913,1056,1642,1768,2936,2570,2747,2894,2825,3434,3399,1579,1649,977,1693,2585,1948,1175,1352,"Lauderdale County, Alabama",0,463,369,593,555,81,501,741,471,975,352,363,798,606,133,152,549,456,406,338,479,567,318,292,355,463,312,769,725,89,466,452,631,558,437,206,723,648,216,329,589,439,498,439,470,500,540,500,588
"G0100810","2014","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",154255,75977,4626,4480,5126,3102,3662,2546,2123,7570,5684,5113,3855,5652,3978,4406,3727,1076,2305,1221,1520,1808,1153,989,255,78278,4361,3984,4888,2695,4089,1625,3601,5193,6042,5863,5105,4958,4394,4662,3073,2151,2665,1585,1528,2303,1859,852,802,"Lee County, Alabama",0,966,582,853,747,483,546,1090,1192,1236,404,962,1017,1262,594,705,728,537,761,433,501,460,321,367,207,966,325,1100,934,436,767,670,1267,1341,735,843,1079,1193,654,185,617,670,655,598,435,441,492,360,372
