GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AE1IE001,AE1IE002,AE1IE003,AE1IE004,AE1IE005,AE1IE006,AE1IE007,AE1IE008,AE1IE009,AE1IE010,AE1IE011,AE1IE012,AE1IE013,AE1IE014,AE1IE015,AE1IE016,AE1IE017,AE1IE018,AE1IE019,AE1IE020,AE1IE021,AE1IE022,AE1IE023,AE1IE024,AE1IE025,AE1IE026,AE1IE027,AE1IE028,AE1IE029,AE1IE030,AE1IE031,AE1IE032,AE1IE033,AE1IE034,AE1IE035,AE1IE036,AE1IE037,AE1IE038,AE1IE039,AE1IE040,AE1IE041,AE1IE042,AE1IE043,AE1IE044,AE1IE045,AE1IE046,AE1IE047,AE1IE048,AE1IE049,NAME_M,AE1IM001,AE1IM002,AE1IM003,AE1IM004,AE1IM005,AE1IM006,AE1IM007,AE1IM008,AE1IM009,AE1IM010,AE1IM011,AE1IM012,AE1IM013,AE1IM014,AE1IM015,AE1IM016,AE1IM017,AE1IM018,AE1IM019,AE1IM020,AE1IM021,AE1IM022,AE1IM023,AE1IM024,AE1IM025,AE1IM026,AE1IM027,AE1IM028,AE1IM029,AE1IM030,AE1IM031,AE1IM032,AE1IM033,AE1IM034,AE1IM035,AE1IM036,AE1IM037,AE1IM038,AE1IM039,AE1IM040,AE1IM041,AE1IM042,AE1IM043,AE1IM044,AE1IM045,AE1IM046,AE1IM047,AE1IM048,AE1IM049
"G0100030","2016","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",208563,100902,5586,6896,6500,4300,2592,1225,956,3054,5582,5931,5565,6194,6188,7922,6816,2464,4376,2060,4705,4545,3427,2463,1555,107661,5352,6620,6690,4011,2575,2000,657,2562,6867,6283,6282,5343,6666,7913,8075,3111,4788,2964,4305,5523,3827,2892,2355,"Baldwin County, Alabama",0,1243,697,1485,1650,602,743,808,612,928,877,728,1346,1266,419,977,930,826,1210,1065,946,1035,793,791,624,1243,856,1156,1135,557,826,978,542,979,1115,660,1017,1118,515,666,1323,819,1219,1170,882,1025,1013,730,725
"G0100150","2016","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",114611,55491,3006,3792,3585,2595,1558,1228,922,1935,4270,3330,4037,2490,3826,3564,3333,1544,2474,864,2037,2162,1708,598,633,59120,3067,3505,3311,2092,1877,600,838,2482,3757,3266,4259,3297,3844,3756,4124,1078,3007,1398,2360,2408,1988,1276,1530,"Calhoun County, Alabama",0,685,346,672,542,385,331,659,431,476,561,477,796,663,243,288,700,492,574,344,490,496,425,307,349,685,398,652,691,300,451,383,348,752,485,492,816,863,457,195,649,465,639,469,623,570,495,407,422
"G0100430","2016","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",82471,40699,2384,2376,2561,1750,816,677,358,1519,2763,2426,3020,2322,2582,3105,2333,1460,1581,1101,1174,1984,1088,915,404,41772,2472,2274,2645,1538,965,655,55,1957,2939,2223,2185,2529,2521,2938,3174,1189,1095,1352,1458,2056,1425,1264,863,"Cullman County, Alabama",0,690,230,584,614,96,72,400,272,557,261,176,586,630,90,341,641,611,515,410,358,530,294,292,230,690,247,621,694,146,246,371,57,564,486,25,654,652,91,206,598,512,412,429,451,513,386,435,445
"G0100490","2016","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",70900,34509,1602,1837,3431,1524,963,698,312,760,2040,2478,1571,3019,2647,2382,2105,1066,1121,860,1436,930,1126,368,233,36391,2349,2383,2087,1896,1204,320,333,974,2195,1858,3025,1714,2149,2374,2376,971,1272,1056,1335,1843,1405,661,611,"DeKalb County, Alabama",0,667,134,679,724,305,464,403,291,532,424,875,583,711,645,274,438,518,469,386,411,318,267,219,200,667,433,664,512,410,644,279,326,418,486,213,694,558,126,222,606,626,487,439,424,743,327,278,289
"G0100510","2016","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",81799,39956,1970,3272,2746,1878,618,468,378,2039,3119,2482,2839,2537,2817,2403,2597,1705,734,678,997,1914,907,367,491,41843,2314,2554,2735,1158,879,840,490,1236,3021,3000,2658,2789,3120,3021,3348,903,1141,634,1294,1899,1291,395,1123,"Elmore County, Alabama",0,873,332,980,817,684,65,382,273,705,561,361,727,644,385,224,652,593,324,284,425,419,307,249,312,873,306,1085,844,679,770,787,491,582,688,768,742,740,693,195,601,427,414,296,408,430,523,236,415
"G0100550","2016","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",102564,49861,2916,2977,3073,2793,1267,1060,1065,1192,3114,2388,3163,2633,3651,3584,4640,795,1554,1332,1850,1895,1439,900,580,52703,2589,2923,3630,1761,1316,518,567,1813,2907,3000,3477,2989,3790,3502,4248,1615,1369,1331,2579,2170,1926,1279,1404,"Etowah County, Alabama",0,790,379,621,632,536,404,723,551,436,408,326,584,614,488,483,799,349,519,467,529,585,388,332,262,790,457,848,960,221,486,369,364,615,293,554,990,896,576,158,693,638,436,520,619,519,582,406,464
"G0100690","2016","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",104056,50015,3217,3479,3814,2292,1198,503,527,1913,3281,3149,3061,2997,3204,3429,3646,1371,1497,984,1882,1767,1316,932,556,54041,3004,3433,3053,2145,1038,575,554,1842,3552,3611,3365,3258,3526,3702,4102,1363,1852,1315,1698,2564,1629,1555,1305,"Houston County, Alabama",0,226,121,352,354,21,139,234,212,298,173,153,420,426,123,100,422,319,362,225,308,259,224,227,171,226,99,405,449,73,88,270,296,324,70,166,369,342,113,95,381,325,378,348,254,369,308,322,333
"G0100730","2016","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",659521,310913,21850,22817,19887,12396,7979,4624,5000,11233,23498,22287,18731,20410,19543,20312,22102,7580,10173,8010,8459,9059,6003,4836,4124,348608,20981,19858,21391,12602,8021,5071,3675,13024,25394,23939,23068,20956,21247,22594,23925,9764,13708,9710,9632,12409,10235,8349,9055,"Jefferson County, Alabama",0,838,196,1987,1991,341,268,1144,1202,1426,286,523,1798,1730,436,445,1715,1148,1494,1038,955,942,945,808,804,838,196,2060,1992,331,308,1144,972,1361,301,639,1935,1969,535,329,1812,1329,1537,1314,1322,1357,1062,1322,1189
"G0100770","2016","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",92318,45121,2904,2898,2558,2130,1312,1287,460,1867,2716,2877,2136,2874,2713,2818,3185,1258,1553,751,1613,2130,1226,1124,731,47197,2040,1990,2494,1911,1457,1136,334,2220,2679,2432,2552,3217,2995,3024,3394,1818,1924,1003,1405,2882,1483,1258,1549,"Lauderdale County, Alabama",0,667,877,621,637,414,313,641,403,711,337,507,517,677,307,227,572,501,470,471,550,485,396,477,345,667,256,584,650,304,373,558,362,657,521,456,785,613,328,190,642,568,545,410,465,613,439,390,475
"G0100810","2016","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",158991,79257,4588,6097,4954,2709,3361,1805,2989,6457,7270,5034,5743,3267,4594,4692,4780,1014,2072,1437,1997,1784,1038,508,1067,79734,4582,4320,3843,2986,4705,3261,2039,5299,6004,5157,4753,4158,5773,4661,4322,1820,2306,1304,2509,2007,2452,986,487,"Lee County, Alabama",0,1333,650,1026,1253,503,407,889,1340,1242,1212,958,1028,733,653,787,656,593,623,587,542,599,383,319,463,1333,730,956,971,784,834,1344,1068,1264,278,1012,1206,1183,1127,202,877,848,719,517,615,596,470,407,286
