GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AGWME001,AGWME002,AGWME003,AGWME004,AGWME005,AGWME006,AGWME007,AGWME008,AGWME009,AGWME010,AGWME011,AGWME012,AGWME013,AGWME014,AGWME015,AGWME016,AGWME017,AGWME018,AGWME019,AGWME020,AGWME021,AGWME022,AGWME023,AGWME024,AGWME025,AGWME026,AGWME027,AGWME028,AGWME029,AGWME030,AGWME031,AGWME032,AGWME033,AGWME034,AGWME035,AGWME036,AGWME037,AGWME038,AGWME039,AGWME040,AGWME041,AGWME042,AGWME043,AGWME044,AGWME045,AGWME046,AGWME047,AGWME048,AGWME049,NAME_M,AGWMM001,AGWMM002,AGWMM003,AGWMM004,AGWMM005,AGWMM006,AGWMM007,AGWMM008,AGWMM009,AGWMM010,AGWMM011,AGWMM012,AGWMM013,AGWMM014,AGWMM015,AGWMM016,AGWMM017,AGWMM018,AGWMM019,AGWMM020,AGWMM021,AGWMM022,AGWMM023,AGWMM024,AGWMM025,AGWMM026,AGWMM027,AGWMM028,AGWMM029,AGWMM030,AGWMM031,AGWMM032,AGWMM033,AGWMM034,AGWMM035,AGWMM036,AGWMM037,AGWMM038,AGWMM039,AGWMM040,AGWMM041,AGWMM042,AGWMM043,AGWMM044,AGWMM045,AGWMM046,AGWMM047,AGWMM048,AGWMM049
"G0100030","2017","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",212628,104698,5860,6011,8022,4780,1969,953,638,3452,6528,6957,6496,5473,6674,6769,7165,2372,4403,3422,3828,5250,3948,1779,1949,107930,5478,6739,5747,3384,2321,1193,873,3171,5704,6236,7672,6908,6982,6895,7654,3071,5576,2809,4056,6186,4222,2970,2083,"Baldwin County, Alabama",0,1519,483,1432,1166,642,344,626,343,733,695,954,1257,1209,599,804,1367,796,1144,1178,1051,1034,735,616,669,1519,378,1016,1090,334,1091,919,907,1204,606,923,1453,1384,857,477,1321,995,1170,655,828,955,924,974,631
"G0100150","2017","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",114728,55339,3469,3098,4112,2182,1652,589,749,2027,4119,3171,3726,3325,3495,3630,3098,1782,2563,1228,1438,2702,1301,1169,714,59389,3335,3196,3249,2359,1588,445,650,2446,4117,3696,4061,3174,3569,3755,4321,1890,2115,1516,1638,3432,1938,1131,1768,"Calhoun County, Alabama",0,651,409,796,770,334,577,399,436,843,665,369,831,743,451,134,681,666,726,471,467,476,430,438,354,651,604,643,654,308,388,300,448,475,468,562,727,739,4,161,731,639,778,462,478,633,437,483,478
"G0100430","2017","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",82755,40972,2313,2292,2741,1939,1028,734,392,1646,2635,2647,1758,3243,2505,3138,3174,788,1398,1180,974,1960,1643,645,199,41783,2299,1924,3060,1524,645,412,326,1564,2834,2281,2250,2877,2766,2779,2909,1081,1977,691,1139,2898,1284,1407,856,"Cullman County, Alabama",0,517,172,651,640,234,178,508,258,677,200,282,597,598,200,491,630,391,500,593,392,578,422,360,185,517,130,610,653,138,381,285,284,509,310,145,599,537,242,114,695,469,644,317,387,475,394,477,397
"G0100490","2017","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",71617,34602,1888,2770,2170,1379,1025,1301,292,887,1951,2033,2104,2489,2210,2137,2468,1071,928,573,1537,1554,883,753,199,37015,2304,2755,2559,1415,1349,334,566,1019,2295,1611,2875,1984,2347,2410,2881,939,907,1142,1202,1336,1650,687,448,"DeKalb County, Alabama",0,1028,473,782,689,201,805,801,265,471,205,368,580,713,260,158,657,546,337,253,525,469,330,322,141,1028,666,619,643,285,643,372,309,433,350,153,673,576,372,260,476,326,381,442,473,504,377,344,195
"G0100510","2017","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",81677,39635,2667,2530,2570,1778,1103,815,418,972,3269,2293,2662,2678,2666,2723,2218,885,1889,880,1052,1450,1238,602,277,42042,2195,2079,2547,1729,1432,1061,666,1333,2237,2558,2956,3071,3188,2828,3852,603,1083,668,1325,1768,1071,1056,736,"Elmore County, Alabama",0,959,443,678,937,768,341,496,349,490,338,380,595,717,380,392,546,370,524,457,452,522,317,292,227,959,529,662,631,602,803,1055,428,933,218,517,1152,519,458,400,508,362,434,375,511,564,369,418,382
"G0100550","2017","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",102755,49230,2895,3783,2548,2022,1527,536,446,1817,3161,2729,2489,3564,3523,3097,2995,1659,2257,772,1846,2590,1426,748,800,53525,3005,3496,2592,1999,1059,581,597,2006,3312,3057,3423,3121,3907,3019,3070,1340,2916,979,2591,2546,1947,2070,892,"Etowah County, Alabama",0,739,305,689,609,398,501,492,423,604,467,242,852,783,446,309,705,587,644,413,630,545,496,431,370,739,337,759,710,331,301,396,427,644,451,589,750,682,311,224,744,471,865,384,623,541,634,613,419
"G0100690","2017","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",104346,50125,3271,3309,3694,2263,1084,538,577,1767,3490,3153,3022,2935,3217,3587,3934,1082,1479,1036,1720,2049,1110,1037,771,54221,3026,3549,2950,2127,1016,655,881,1490,3834,3430,3153,3482,3509,3590,4044,1368,1858,1307,1885,2551,1680,1347,1489,"Houston County, Alabama",0,235,102,440,438,87,40,245,284,320,217,139,416,401,117,273,387,275,299,277,377,292,261,235,222,235,115,366,370,77,54,333,316,373,172,194,449,435,103,131,359,308,323,297,310,347,304,269,297
"G0100730","2017","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",659197,311204,21402,19635,22819,12081,8170,3595,4121,13830,22954,21886,21441,18117,19422,19348,19293,8770,12507,7473,8274,10740,6594,4246,4486,347993,21086,21085,20209,12437,8614,5843,3780,12380,24952,23981,24095,19226,21644,21863,23135,9335,15059,8822,10191,13569,10453,7472,8762,"Jefferson County, Alabama",0,854,472,1920,1977,310,402,1034,1073,1379,409,455,1843,1978,410,393,1833,1466,1667,1205,1094,1295,996,769,841,854,533,1926,1878,348,498,1127,1252,1379,407,626,2092,1917,792,453,1943,1211,1298,1262,1136,1554,1257,1309,1217
"G0100770","2017","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",92538,43447,2486,2210,2589,1542,1418,768,240,2197,2870,2632,2604,2388,2932,2866,2998,838,1806,1154,1533,2090,1237,788,1261,49091,2368,2575,2601,2006,1564,1112,822,2115,2895,2859,2902,2386,2976,2992,3394,1586,1687,1380,1570,2593,2075,1803,830,"Lauderdale County, Alabama",0,520,306,659,611,219,404,552,207,714,551,397,874,622,433,285,635,410,575,394,521,636,409,373,511,520,275,554,565,269,342,693,492,838,456,491,753,585,394,328,701,580,581,481,490,666,481,597,353
"G0100810","2017","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",161604,78585,4002,4099,6047,2699,4239,4532,1806,5369,5475,5302,4529,5113,4614,4405,4505,1335,2088,1022,2052,2437,1151,1052,712,83019,5217,5269,4346,2716,5887,2777,1729,4035,6124,7201,3594,4795,5029,5027,4584,1281,3018,1694,2437,2718,1470,1105,966,"Lee County, Alabama",0,1538,648,1081,1076,936,737,1382,929,1400,786,697,913,1154,689,625,956,594,683,490,691,647,414,490,476,1538,627,1200,1024,533,1390,1012,873,1174,909,1059,1064,899,305,384,708,504,718,580,657,639,478,416,379
