GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AIT3E001,AIT3E002,AIT3E003,AIT3E004,AIT3E005,AIT3E006,AIT3E007,AIT3E008,AIT3E009,AIT3E010,AIT3E011,AIT3E012,AIT3E013,AIT3E014,AIT3E015,AIT3E016,AIT3E017,AIT3E018,AIT3E019,AIT3E020,AIT3E021,AIT3E022,AIT3E023,AIT3E024,AIT3E025,AIT3E026,AIT3E027,AIT3E028,AIT3E029,AIT3E030,AIT3E031,AIT3E032,AIT3E033,AIT3E034,AIT3E035,AIT3E036,AIT3E037,AIT3E038,AIT3E039,AIT3E040,AIT3E041,AIT3E042,AIT3E043,AIT3E044,AIT3E045,AIT3E046,AIT3E047,AIT3E048,AIT3E049,NAME_M,AIT3M001,AIT3M002,AIT3M003,AIT3M004,AIT3M005,AIT3M006,AIT3M007,AIT3M008,AIT3M009,AIT3M010,AIT3M011,AIT3M012,AIT3M013,AIT3M014,AIT3M015,AIT3M016,AIT3M017,AIT3M018,AIT3M019,AIT3M020,AIT3M021,AIT3M022,AIT3M023,AIT3M024,AIT3M025,AIT3M026,AIT3M027,AIT3M028,AIT3M029,AIT3M030,AIT3M031,AIT3M032,AIT3M033,AIT3M034,AIT3M035,AIT3M036,AIT3M037,AIT3M038,AIT3M039,AIT3M040,AIT3M041,AIT3M042,AIT3M043,AIT3M044,AIT3M045,AIT3M046,AIT3M047,AIT3M048,AIT3M049
"G0100030","2018","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",218022,105437,5365,4437,10108,4481,1939,1454,1096,2536,5670,5886,6784,5852,7237,7261,7844,2324,4706,2271,3310,7125,4275,2109,1367,112585,5513,5008,7985,4259,2810,777,383,4180,6231,5711,6181,7173,7766,7853,8725,3517,4527,3069,3939,7438,4825,2255,2460,"Baldwin County, Alabama",0,1410,459,1127,1380,599,191,786,460,864,680,633,1124,1435,777,938,1236,730,939,749,847,951,596,557,567,1410,763,1278,1486,312,740,415,325,1146,669,936,1395,1140,1080,853,1125,809,896,924,912,1075,1123,729,1390
"G0100150","2018","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",114277,55054,3795,3675,2994,1935,2048,705,705,2155,4371,3546,2827,3368,2996,3690,4137,1366,2122,1505,1535,2478,2061,664,376,59223,3347,3483,2974,2281,1122,945,976,1965,4241,4115,2846,3567,3264,3666,4168,2041,2326,1455,2229,3038,2672,1117,1385,"Calhoun County, Alabama",0,779,867,778,720,303,652,421,386,520,181,523,833,684,335,234,754,508,538,558,555,604,425,358,284,779,562,804,819,383,291,499,631,491,709,751,837,683,316,139,595,511,493,602,654,704,623,484,650
"G0100430","2018","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",83442,40794,2447,2136,3002,1719,933,826,553,753,2630,2540,3419,1627,2549,3145,2390,1772,1305,1233,984,2175,1197,1162,297,42648,2882,2662,2224,1820,798,905,618,845,2794,2310,2263,2822,2589,2560,3017,1463,1583,546,1612,2566,1568,1643,558,"Cullman County, Alabama",0,855,277,524,676,301,137,458,381,574,201,214,710,668,123,334,702,703,551,542,440,580,488,515,187,855,588,573,730,400,91,515,448,417,137,145,600,581,134,39,687,533,542,341,461,532,460,593,296
"G0100490","2018","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",71385,35048,2378,1941,3147,1499,1348,238,464,1191,2192,1711,1970,2128,2885,2142,1407,1278,1706,341,1634,1506,1165,575,202,36337,1611,1910,2974,1685,547,123,439,1721,1892,2850,2214,1949,2159,2362,3126,700,1237,701,1293,1902,742,860,1340,"DeKalb County, Alabama",0,478,208,610,569,253,705,199,313,403,425,293,646,491,425,173,616,549,537,251,452,499,383,379,159,478,201,517,675,384,408,142,425,549,177,822,737,576,248,331,588,351,484,334,376,417,367,477,488
"G0100510","2018","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",81887,39988,2677,2740,2658,1879,832,270,778,1427,3067,2857,2983,1951,2354,2946,2390,1204,1437,601,1148,1932,737,558,562,41899,2569,1703,2366,1970,853,156,446,1770,3496,2720,2476,2677,2801,3541,2974,1027,1593,525,1481,1863,1571,898,423,"Elmore County, Alabama",0,1216,608,1040,836,743,337,210,547,745,677,507,764,664,180,534,519,551,610,291,405,462,323,366,356,1216,649,604,687,801,468,217,430,639,722,626,1030,716,627,831,627,476,446,265,465,495,571,433,239
"G0100550","2018","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",102501,48830,2994,3341,2677,1802,958,697,875,2259,3271,2410,3724,2308,3478,3080,2686,1587,2272,1634,1729,1905,1952,634,557,53671,3136,3371,2982,1729,1026,419,497,2369,3379,3200,3025,3175,3509,3355,3260,1525,2493,1300,1836,3115,2198,1135,1637,"Etowah County, Alabama",0,663,277,565,639,345,168,404,461,676,589,263,731,691,444,344,703,570,567,678,475,508,442,363,339,663,506,657,744,311,312,255,323,510,528,452,782,759,335,344,721,554,659,445,539,608,595,416,495
"G0100690","2018","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",104722,50400,3378,3421,3617,2164,1151,651,647,1751,3282,3428,2841,3087,3091,3281,3248,1392,1895,1006,1754,2218,1434,941,722,54322,3034,2869,3433,2205,1038,771,574,1829,3622,3431,2880,3825,3482,3435,3446,1460,2273,1327,1985,2737,2300,1234,1132,"Houston County, Alabama",0,210,122,465,485,71,66,244,288,314,67,158,496,494,17,98,435,331,453,245,277,287,195,208,191,210,124,414,426,132,223,265,243,272,143,159,445,466,72,46,367,369,361,266,299,330,269,237,271
"G0100730","2018","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",659300,312159,20954,22198,20530,12699,7750,5487,2969,12118,24425,21583,21130,19389,18637,18921,19647,8235,11961,8070,9724,10004,6936,4882,3910,347141,20795,20453,20139,11779,8532,4082,3582,13310,25990,23716,20898,22745,21246,21729,21679,10390,14902,8010,11509,14659,11121,8191,7684,"Jefferson County, Alabama",0,974,218,1856,1762,577,197,1515,844,1470,355,201,2110,2151,326,664,1614,1255,1513,1087,1265,1243,1017,821,869,974,218,2094,2004,469,302,1152,968,1194,306,311,2255,2081,611,731,1984,1664,1583,1434,1359,1256,1124,1139,1176
"G0100770","2018","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",92387,45646,2515,3044,2628,2213,1158,1153,500,1745,3235,2427,3191,1925,2701,3107,3196,620,2215,847,1425,2515,1172,1435,679,46741,2405,1389,2855,827,1805,849,575,2323,3052,2603,2438,2546,3091,2819,3940,1495,1383,1826,1594,2153,1857,1433,1483,"Lauderdale County, Alabama",0,684,341,610,593,489,144,713,402,750,467,269,681,761,366,574,630,308,557,373,476,564,448,515,316,684,235,555,543,462,413,514,292,583,389,391,708,627,351,221,627,555,497,692,544,607,559,479,542
"G0100810","2018","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",163941,80832,4700,4126,7015,2106,4756,3851,1856,6149,5408,4727,4643,4657,4315,5340,4175,1922,2075,1237,2371,2636,1175,1118,474,83109,4055,3822,6057,2914,4347,2642,2254,5638,6132,5295,4434,5184,5275,4807,4099,2095,3183,2354,1592,3145,1127,1356,1302,"Lee County, Alabama",0,934,1012,1200,1249,275,808,1817,961,2022,764,747,1212,1095,834,1050,1026,841,828,520,734,670,395,453,338,934,704,1016,1101,770,458,1123,757,1204,302,357,1221,1119,843,939,985,807,982,800,558,572,468,583,527
"G0100830","2018","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"05000US01083","Limestone County, Alabama",96174,49198,2981,3926,3498,1998,1214,808,132,913,3041,4250,4143,2587,3417,3168,3888,1300,1120,1143,954,1978,1198,1145,396,46976,1359,2191,4350,2138,1613,655,305,1127,2618,2906,3817,2872,3029,3460,3137,1711,1407,1551,1296,2144,900,990,1400,"Limestone County, Alabama",0,943,720,1133,1098,272,631,562,133,519,338,483,824,822,351,308,831,763,484,514,429,589,412,446,292,943,604,673,916,471,688,436,255,545,314,402,901,878,335,459,653,881,495,717,451,498,423,393,403
"G0100890","2018","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",366519,178964,10961,12280,10362,7272,4683,3066,2870,6777,13510,12512,12655,9628,10564,12627,14959,5168,4914,3387,3998,7313,4333,3299,1826,187555,10538,10921,10892,6822,5440,2217,1459,7287,13454,12352,10703,12592,12053,13323,15350,4559,6084,4125,5396,8099,5809,4572,3508,"Madison County, Alabama",0,794,316,1163,1136,402,702,817,707,1000,469,507,1855,1793,335,666,1575,1346,1022,901,796,1022,810,660,541,794,351,1170,1171,371,1085,809,751,1352,420,372,1580,1564,551,478,1354,955,1153,853,1072,1184,901,840,732
"G0100950","2018","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"05000US01095","Marshall County, Alabama",96109,47238,3113,2704,4162,2079,1200,139,1047,1892,3009,2247,3271,2969,3276,3016,3281,934,1873,1415,1060,1695,1737,593,526,48871,3736,3192,3155,1818,1119,700,266,1476,3027,2470,2993,2908,3366,2950,2757,1908,1569,1148,1496,2530,1733,1324,1230,"Marshall County, Alabama",0,671,658,618,679,245,385,126,623,668,325,107,892,831,452,460,651,506,596,461,348,444,365,214,257,671,582,632,641,298,329,399,308,433,349,178,703,654,378,257,625,619,520,463,520,546,454,390,409
"G0100970","2018","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"05000US01097","Mobile County, Alabama",413757,197009,13394,12353,15044,8505,5028,3215,1963,8182,14769,13310,11431,11653,11365,12564,13299,6234,6352,5228,5685,6988,6191,2472,1784,216748,13300,12373,13340,8468,4715,1666,2798,9202,15732,14709,12568,13431,13468,13417,15879,5969,7503,5129,6113,10230,6607,4943,5188,"Mobile County, Alabama",0,917,357,1470,1637,623,267,1003,625,1157,345,799,1503,1455,414,708,1401,1324,1122,927,1007,1123,720,589,561,917,394,1671,1647,463,158,730,940,1041,810,713,1813,1694,753,595,1277,995,1026,1011,985,1104,1168,1047,1009
"G0101010","2018","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",225763,106613,7709,7141,7641,4484,3259,1597,1364,4543,8594,7149,5789,7795,6336,6384,6275,2758,3466,2131,3153,3747,2016,1720,1562,119150,7425,7197,6720,4306,3024,1475,1990,4552,9033,8013,7264,7406,7569,7315,8597,3501,3816,3304,3325,4794,3406,2805,2313,"Montgomery County, Alabama",0,571,419,1268,1166,287,160,660,578,728,376,268,1061,1061,211,310,824,681,773,622,647,604,450,485,466,571,486,1331,1294,322,173,575,558,793,261,271,1202,1163,365,341,1076,874,948,660,722,786,695,620,590
"G0101030","2018","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",119089,59216,3854,4072,4137,2752,1647,765,1131,2225,3135,3595,3005,4170,4342,3666,3905,1925,2241,1396,1392,2449,1187,1113,1112,59873,3087,4051,3188,1957,1547,442,386,2472,3307,3717,3637,3981,3372,4570,3989,1308,3047,1282,1758,3773,1671,1896,1435,"Morgan County, Alabama",0,1009,702,958,949,402,751,586,668,719,361,860,709,1076,917,389,743,597,682,442,446,611,399,431,459,1009,690,915,649,238,486,326,344,690,405,803,879,770,271,538,715,534,716,366,532,689,548,493,462
"G0101150","2018","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",88690,44933,2528,3605,2378,2602,1019,599,669,988,3015,2593,2936,2925,3424,2901,3710,797,1624,485,1435,2324,1535,322,519,43757,2755,2616,3334,619,990,260,263,1486,2880,2948,2635,2853,2815,3068,2928,826,2341,1384,1633,1766,1841,699,817,"St. Clair County, Alabama",0,529,319,886,924,477,524,367,521,538,518,242,799,815,486,302,690,430,645,224,502,556,539,324,411,529,415,740,738,455,607,357,279,579,267,306,611,734,271,295,637,558,726,609,618,649,618,513,516
