GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AKRSE001,AKRSE002,AKRSE003,AKRSE004,AKRSE005,AKRSE006,AKRSE007,AKRSE008,AKRSE009,AKRSE010,AKRSE011,AKRSE012,AKRSE013,AKRSE014,AKRSE015,AKRSE016,AKRSE017,AKRSE018,AKRSE019,AKRSE020,AKRSE021,AKRSE022,AKRSE023,AKRSE024,AKRSE025,AKRSE026,AKRSE027,AKRSE028,AKRSE029,AKRSE030,AKRSE031,AKRSE032,AKRSE033,AKRSE034,AKRSE035,AKRSE036,AKRSE037,AKRSE038,AKRSE039,AKRSE040,AKRSE041,AKRSE042,AKRSE043,AKRSE044,AKRSE045,AKRSE046,AKRSE047,AKRSE048,AKRSE049,NAME_M,AKRSM001,AKRSM002,AKRSM003,AKRSM004,AKRSM005,AKRSM006,AKRSM007,AKRSM008,AKRSM009,AKRSM010,AKRSM011,AKRSM012,AKRSM013,AKRSM014,AKRSM015,AKRSM016,AKRSM017,AKRSM018,AKRSM019,AKRSM020,AKRSM021,AKRSM022,AKRSM023,AKRSM024,AKRSM025,AKRSM026,AKRSM027,AKRSM028,AKRSM029,AKRSM030,AKRSM031,AKRSM032,AKRSM033,AKRSM034,AKRSM035,AKRSM036,AKRSM037,AKRSM038,AKRSM039,AKRSM040,AKRSM041,AKRSM042,AKRSM043,AKRSM044,AKRSM045,AKRSM046,AKRSM047,AKRSM048,AKRSM049
"G0100030","2019","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",223234,109192,5735,5849,8901,5219,2451,1302,623,3692,6008,5757,8245,5845,6458,6270,7620,2397,5247,2480,3604,7170,3677,2851,1791,114042,4881,6977,5472,3869,2871,1225,1272,3178,5799,6837,8123,6264,6803,7754,8805,3882,3915,2754,5207,7703,6276,1621,2554,"Baldwin County, Alabama",0,1466,840,1695,2118,1017,583,721,506,998,911,632,1696,1873,621,313,1301,1131,1258,719,830,921,774,937,767,1466,560,1527,1356,559,785,1074,856,955,435,1080,1705,1578,405,906,1395,1288,986,926,1354,1387,1367,783,1078
"G0100150","2019","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",113605,54285,3359,3007,3617,2518,1851,434,306,1654,3659,4153,4400,2947,3160,3032,3164,1859,2422,954,1729,2658,1541,960,901,59320,3340,2527,4157,1949,1223,955,1011,2613,3429,3740,3583,3464,3764,3398,4225,2003,2126,1220,2311,3226,2464,1630,962,"Calhoun County, Alabama",0,701,470,1002,887,391,770,394,221,810,700,793,958,734,333,293,764,715,743,592,565,669,430,474,435,701,475,761,801,278,390,660,469,840,536,348,756,738,325,428,803,628,540,649,685,723,559,556,359
"G0100430","2019","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",83768,40579,2323,2534,2846,1540,862,467,567,1066,2859,2561,2489,2531,2889,2662,2279,1609,1561,578,1095,2596,1411,593,661,43189,2987,2029,3060,1494,695,405,988,1110,2543,2625,1885,3376,3227,2573,2773,825,2105,433,1513,2914,1396,1322,911,"Cullman County, Alabama",0,905,115,615,800,140,87,447,368,457,258,162,832,670,305,79,483,477,576,308,362,419,418,293,432,905,609,575,673,223,405,395,567,584,206,350,602,695,703,169,595,499,467,284,497,573,395,414,293
"G0100490","2019","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",71513,35688,1942,2752,2976,1237,1229,379,745,1603,2082,2483,2019,2095,2185,2203,2011,1287,1101,852,1228,1281,1476,437,85,35825,2636,1540,2543,1808,854,446,679,1137,2199,1672,2275,2628,2152,2231,2995,738,713,781,1028,1915,1589,431,835,"DeKalb County, Alabama",0,884,537,662,811,185,519,314,438,590,285,591,715,486,243,242,593,507,466,451,460,434,279,272,82,884,348,731,861,447,324,578,393,473,340,181,771,613,207,231,611,400,430,373,441,487,416,288,405
"G0100510","2019","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",81209,40060,2445,3459,2390,1637,874,104,269,1400,2654,4156,2869,1910,2739,2238,2189,1129,1885,469,934,2306,883,632,489,41149,1827,3179,1422,1692,693,129,575,1561,3511,2800,2477,2828,3011,2585,2500,1466,1845,584,1537,1915,1447,900,665,"Elmore County, Alabama",0,882,503,870,796,556,228,193,270,205,568,858,707,631,320,261,519,462,494,261,356,518,387,313,389,882,371,994,603,559,182,191,490,366,614,428,724,773,340,350,685,598,693,257,484,470,427,521,373
"G0100550","2019","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",102268,49278,3013,2911,3890,1471,1202,1003,322,1464,3366,2966,2751,3159,3465,3141,3185,1481,1829,1629,1411,2279,1593,1212,535,52990,2636,3012,3538,1518,917,789,621,2217,3010,2944,2671,3353,3389,3588,3287,1905,2260,1439,1925,2675,1904,1692,1700,"Etowah County, Alabama",0,648,413,831,743,120,409,731,263,417,554,426,776,828,207,237,720,593,598,600,518,521,455,412,273,648,377,717,684,238,185,506,498,751,467,445,762,884,327,493,804,698,664,530,760,624,536,650,548
"G0100690","2019","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",105882,50666,3416,2982,3965,2201,1176,600,923,1425,3432,3134,2631,3662,3171,3034,3796,1185,1783,1226,1292,2522,1503,842,765,55216,3221,2865,3580,2056,1190,497,769,1562,3796,3506,3354,3567,3527,3348,4072,1410,2025,1665,1302,3123,1999,1497,1285,"Houston County, Alabama",0,251,146,433,432,111,249,266,405,412,138,126,560,541,112,2,460,259,425,291,304,368,248,246,179,251,141,421,404,76,99,177,249,297,111,110,467,472,90,48,506,411,433,362,256,335,341,322,286
"G0100730","2019","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",658573,310898,21353,19640,22851,12118,7966,4956,3067,12148,23885,21565,21124,18805,18772,18286,18589,8394,12175,7561,9566,11942,6967,5301,3867,347675,20895,19914,20685,11926,8535,5114,3549,12038,25554,24473,21651,22612,21028,20140,22473,11975,12021,8747,10854,16315,9805,8952,8419,"Jefferson County, Alabama",0,947,260,1884,1886,498,298,1385,986,1590,2,614,1855,1904,575,487,1685,1352,1561,1118,1404,1305,1160,1002,921,947,226,1855,1859,499,280,1363,1139,1699,323,446,2352,2172,817,414,1929,1679,1615,1399,1321,1455,1270,1319,1164
"G0100770","2019","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",92729,44783,1982,1999,3349,2106,1239,1191,929,1755,2887,2391,3467,1838,2539,2868,2494,1286,2148,1327,1616,2090,1815,1085,382,47946,1980,1712,3513,1645,1371,936,682,2073,2620,2935,3074,2218,2543,3059,3455,1369,1852,1124,2775,2331,1485,1892,1302,"Lauderdale County, Alabama",0,527,180,711,872,570,594,585,634,742,358,336,747,844,166,392,574,475,613,509,565,699,463,443,261,527,329,526,707,358,769,453,436,790,351,521,682,701,115,494,659,475,614,455,706,605,434,580,540
"G0100810","2019","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",164542,82405,5377,7183,3690,3268,3057,2794,3593,4331,5984,4963,7559,4032,4248,4595,4193,1581,2642,1884,1544,2667,1813,931,476,82137,3135,5479,3813,2775,4940,3726,1746,4309,5792,5780,4816,5994,4422,4551,5119,1274,3036,1136,1524,4045,2576,931,1218,"Lee County, Alabama",0,1018,2423,2022,1349,1048,1260,1091,1162,1380,1109,1104,1796,1453,639,490,847,861,768,706,605,755,463,413,347,1018,347,1365,1168,613,739,860,814,999,700,1571,1309,1657,730,821,1036,614,987,628,636,849,914,378,481
