GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,ANK8E001,ANK8E002,ANK8E003,ANK8E004,ANK8E005,ANK8E006,ANK8E007,ANK8E008,ANK8E009,ANK8E010,ANK8E011,ANK8E012,ANK8E013,ANK8E014,ANK8E015,ANK8E016,ANK8E017,ANK8E018,ANK8E019,ANK8E020,ANK8E021,ANK8E022,ANK8E023,ANK8E024,ANK8E025,ANK8E026,ANK8E027,ANK8E028,ANK8E029,ANK8E030,ANK8E031,ANK8E032,ANK8E033,ANK8E034,ANK8E035,ANK8E036,ANK8E037,ANK8E038,ANK8E039,ANK8E040,ANK8E041,ANK8E042,ANK8E043,ANK8E044,ANK8E045,ANK8E046,ANK8E047,ANK8E048,ANK8E049,NAME_M,ANK8M001,ANK8M002,ANK8M003,ANK8M004,ANK8M005,ANK8M006,ANK8M007,ANK8M008,ANK8M009,ANK8M010,ANK8M011,ANK8M012,ANK8M013,ANK8M014,ANK8M015,ANK8M016,ANK8M017,ANK8M018,ANK8M019,ANK8M020,ANK8M021,ANK8M022,ANK8M023,ANK8M024,ANK8M025,ANK8M026,ANK8M027,ANK8M028,ANK8M029,ANK8M030,ANK8M031,ANK8M032,ANK8M033,ANK8M034,ANK8M035,ANK8M036,ANK8M037,ANK8M038,ANK8M039,ANK8M040,ANK8M041,ANK8M042,ANK8M043,ANK8M044,ANK8M045,ANK8M046,ANK8M047,ANK8M048,ANK8M049
"G0100030","2021","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"0500000US01003","01003","Baldwin County, Alabama",239294,115696,5763,7178,7566,3906,2470,3657,397,2440,6692,6899,7846,5575,7185,7082,9292,2614,4547,3592,3693,8064,3458,3842,1938,123598,6597,5670,9400,4549,2546,1319,802,2138,7727,7118,7636,6446,7329,8441,8820,5152,5375,2990,5804,7633,4130,3553,2423,"Baldwin County, Alabama",,1401,532,1283,1438,167,527,1814,421,1229,1055,1301,1507,1321,1012,231,1496,826,1115,1445,1078,1242,864,1121,789,1401,768,1067,1281,681,660,1062,697,1008,1477,720,1644,1525,736,737,1472,1428,1207,1029,1150,1269,1041,1124,989
"G0100150","2021","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"0500000US01015","01015","Calhoun County, Alabama",115972,55581,3036,3200,3963,2106,2206,281,381,3200,3164,3022,2934,4108,3188,3957,3807,1665,2135,2152,1417,2563,2098,701,297,60391,3442,4174,2721,2409,2059,1305,676,1937,3237,3690,4509,3546,3305,3233,3764,2562,1898,1582,1953,3583,2436,1658,712,"Calhoun County, Alabama",,722,466,794,777,507,630,216,332,792,455,365,877,838,494,603,749,799,632,727,456,666,270,288,194,722,467,672,642,418,638,661,551,529,419,2,1000,746,466,279,1038,847,850,533,504,538,603,623,376
"G0100430","2021","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"0500000US01043","01043","Cullman County, Alabama",89496,44331,2627,1768,3882,1710,1009,1070,962,967,2621,2836,2790,2514,2835,2973,3395,1161,1584,1203,1023,2614,1653,845,289,45165,2395,2647,3072,1585,973,341,1043,1073,2512,2954,3379,2178,2821,2986,3678,295,1975,994,1325,3035,2090,1234,580,"Cullman County, Alabama",,477,187,496,553,125,175,403,393,414,149,92,561,554,250,235,740,514,537,466,454,627,382,451,257,477,344,503,524,136,240,231,470,439,82,273,699,508,178,242,592,243,606,429,476,585,578,502,333
"G0100490","2021","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"0500000US01049","01049","DeKalb County, Alabama",71813,35952,2966,2771,2031,1262,680,300,642,1104,2329,2202,1856,2398,1964,2781,2494,823,1518,808,1402,1615,697,624,685,35861,3114,1919,2048,1436,770,124,850,998,2153,1764,2401,1338,2468,2962,2118,847,1864,851,1072,2035,1200,977,552,"DeKalb County, Alabama",,1069,588,844,898,172,107,234,399,426,839,646,587,883,183,548,626,390,601,400,502,446,326,381,356,1069,1416,772,535,330,388,155,466,526,421,146,535,650,417,428,692,513,679,410,423,483,420,423,346
"G0100510","2021","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"0500000US01051","01051","Elmore County, Alabama",89304,44004,2308,2675,3587,1988,890,394,930,1559,3045,3086,2075,3090,2917,3079,3140,1024,1627,1604,1741,944,884,754,663,45300,2359,2801,2375,1747,1068,150,496,1494,3334,2863,3440,2763,3142,3256,3177,677,1841,1647,1421,1648,1254,1760,587,"Elmore County, Alabama",,785,394,896,865,417,941,309,722,545,605,782,782,813,426,306,765,499,537,560,511,463,419,328,351,785,652,845,924,366,553,163,506,601,594,539,982,1040,534,676,761,443,658,540,566,560,482,728,447
"G0100550","2021","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"0500000US01055","01055","Etowah County, Alabama",103162,49734,3110,3328,3081,1641,2083,516,659,1101,3237,3006,3265,2595,3514,2991,3574,1582,1793,1426,1423,2740,1418,823,828,53428,2907,3130,3132,1977,1039,747,800,1888,2774,3173,3580,2887,3511,3464,3765,504,3082,1407,2471,2781,1778,1194,1437,"Etowah County, Alabama",,434,496,806,727,191,725,382,468,530,576,595,793,1050,546,177,770,601,693,530,444,587,397,318,438,434,384,908,937,295,377,491,538,663,323,466,963,932,470,395,733,319,654,598,591,562,518,499,588
"G0100690","2021","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"0500000US01069","01069","Houston County, Alabama",107458,51800,3431,2847,4269,2353,1147,624,547,1774,3172,3233,3027,3580,3019,3306,2951,2062,1713,1037,1552,2927,1511,983,735,55658,3073,2977,3558,1979,1107,1307,482,1310,3366,3727,3646,3514,3412,3555,2923,2183,2414,1627,1994,2705,2284,1078,1437,"Houston County, Alabama",,140,58,486,486,166,89,245,237,323,116,176,518,518,103,97,455,487,351,258,347,396,253,223,200,140,58,457,413,96,101,379,230,362,101,141,442,403,122,169,500,564,481,464,436,429,459,254,473
"G0100730","2021","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"0500000US01073","01073","Jefferson County, Alabama",667820,317276,21140,25733,18431,12792,8445,3764,5008,10839,22454,23300,19838,20749,19254,19149,19971,7935,11785,7137,10075,13415,7810,4913,3339,350544,19834,18592,23775,12778,8377,4566,4984,12439,23957,25261,21455,24442,20638,20465,21530,9455,13982,8231,12393,17427,9338,8674,7951,"Jefferson County, Alabama",,356,515,2081,2139,126,411,1001,1467,1354,315,510,2251,2270,807,570,1899,1610,1686,1247,1168,1421,995,1033,840,356,294,2070,2075,128,420,1133,1004,1366,416,493,2341,2348,597,333,2149,1396,1837,1474,1647,1767,1507,1369,1125
"G0100770","2021","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"0500000US01077","01077","Lauderdale County, Alabama",94043,45167,2466,2800,2778,1495,829,449,298,3322,3018,2664,3266,1820,2493,3027,2637,1586,1918,585,1122,3362,1700,1034,498,48876,2317,2695,2626,1715,1131,1076,1140,2022,2664,3274,2978,2075,2831,2847,3572,1089,2073,1042,1564,3405,1582,1334,1824,"Lauderdale County, Alabama",,270,330,552,551,129,445,375,324,550,368,326,715,670,264,292,682,747,633,295,420,496,457,427,298,270,242,567,577,112,646,747,964,870,268,566,725,752,317,186,724,506,589,481,678,609,448,442,490
"G0100810","2021","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"0500000US01081","01081","Lee County, Alabama",177218,87082,5233,4610,6610,3190,4229,3524,1472,4962,7168,6260,4970,4278,5174,5446,5190,1679,3003,822,1757,3626,2308,1003,568,90136,4222,3875,6553,2991,4800,2299,1481,6721,5827,6419,6935,5099,4621,5191,5864,1303,3163,1303,3324,3275,2773,666,1431,"Lee County, Alabama",,1304,786,1201,1274,712,623,861,1001,1045,717,972,1014,947,1189,1014,1189,727,1013,482,682,778,717,450,343,1304,863,1192,1490,713,528,1047,957,1148,938,1268,1628,1432,770,286,1026,618,878,649,737,761,732,431,609
