GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,APJME001,APJME002,APJME003,APJME004,APJME005,APJME006,APJME007,APJME008,APJME009,APJME010,APJME011,APJME012,APJME013,APJME014,APJME015,APJME016,APJME017,APJME018,APJME019,APJME020,APJME021,APJME022,APJME023,APJME024,APJME025,APJME026,APJME027,APJME028,APJME029,APJME030,APJME031,APJME032,APJME033,APJME034,APJME035,APJME036,APJME037,APJME038,APJME039,APJME040,APJME041,APJME042,APJME043,APJME044,APJME045,APJME046,APJME047,APJME048,APJME049,NAME_M,APJMM001,APJMM002,APJMM003,APJMM004,APJMM005,APJMM006,APJMM007,APJMM008,APJMM009,APJMM010,APJMM011,APJMM012,APJMM013,APJMM014,APJMM015,APJMM016,APJMM017,APJMM018,APJMM019,APJMM020,APJMM021,APJMM022,APJMM023,APJMM024,APJMM025,APJMM026,APJMM027,APJMM028,APJMM029,APJMM030,APJMM031,APJMM032,APJMM033,APJMM034,APJMM035,APJMM036,APJMM037,APJMM038,APJMM039,APJMM040,APJMM041,APJMM042,APJMM043,APJMM044,APJMM045,APJMM046,APJMM047,APJMM048,APJMM049
"G0100030","2022","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"0500000US01003","01003","Baldwin County, Alabama",246435,120664,6484,7534,7079,5417,2550,989,1197,3781,7051,7067,7299,7323,7325,7673,7941,3667,5604,3679,4024,7313,5236,2337,2094,125771,6069,8047,6626,4013,1792,862,1665,3571,6303,7606,7109,7644,9041,8287,6645,4210,7018,3238,6422,6918,5973,3066,3646,"Baldwin County, Alabama",,1277,750,1546,1470,836,524,740,947,1013,957,1051,1470,1346,846,341,1438,1200,1338,911,1074,1266,976,845,812,1277,787,1125,1338,335,823,614,966,1006,670,741,1564,1537,1152,546,1573,1077,1421,809,1503,1190,1258,961,1199
"G0100150","2022","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"0500000US01015","01015","Calhoun County, Alabama",115788,56554,3769,2406,4396,2290,1424,1947,1232,1647,4091,3388,3280,3338,3686,3148,3797,1271,2230,1299,1874,2763,1859,1089,330,59234,2892,2970,3109,2578,1853,1229,1030,2538,3370,3757,3283,3214,3676,3878,3549,1834,2243,1647,3187,2447,2596,1179,1175,"Calhoun County, Alabama",,791,823,996,1022,381,647,824,760,658,703,579,924,1223,945,505,748,556,650,482,678,593,443,522,217,791,464,839,816,719,405,830,590,849,712,679,784,718,896,607,818,880,635,587,770,650,535,583,434
"G0100430","2022","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"0500000US01043","01043","Cullman County, Alabama",90665,45051,3184,2968,2579,1935,1006,926,355,1406,2796,3072,2215,3178,2750,2945,2258,1583,2166,872,1467,2400,1739,820,431,45614,2265,2817,2625,1797,807,463,369,1690,3140,2922,2448,2911,2733,2913,3612,1123,1332,1055,1841,2412,1512,1609,1218,"Cullman County, Alabama",,622,581,631,655,249,117,461,306,438,151,232,623,667,155,188,588,665,761,410,524,561,346,313,222,622,204,532,629,421,117,448,300,462,507,79,679,706,154,240,608,410,540,406,494,509,444,496,537
"G0100490","2022","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"0500000US01049","01049","DeKalb County, Alabama",71998,36024,2201,2431,2624,1696,1072,739,186,1482,2130,1938,2286,2296,1995,2280,2716,743,1421,1151,911,1635,1590,292,209,35974,1830,2655,1867,1739,815,508,694,1084,2065,1896,2635,2262,1889,2543,1912,648,1957,932,900,2075,1276,1226,566,"DeKalb County, Alabama",,566,429,758,830,363,493,413,195,629,317,214,855,776,231,256,720,437,634,452,421,466,221,164,139,566,231,753,693,611,262,318,398,405,320,159,683,814,122,396,550,318,573,419,357,467,465,354,304
"G0100510","2022","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"0500000US01051","01051","Elmore County, Alabama",89563,43448,2456,1974,3671,1534,726,521,861,1127,3036,3778,3084,2573,2853,2792,2881,1358,1813,1265,1252,1546,1609,455,283,46115,2063,2585,2952,1735,1098,488,912,998,2603,3651,3800,2827,2847,3109,2937,1394,1932,1072,1467,2334,2192,797,322,"Elmore County, Alabama",,541,354,510,521,277,176,528,779,595,762,790,783,746,517,469,537,540,547,434,483,430,299,226,174,541,360,848,877,266,498,480,638,472,505,599,837,860,520,432,703,570,681,530,527,628,410,336,267
"G0100550","2022","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"0500000US01055","01055","Etowah County, Alabama",103088,50443,3230,4341,2387,2035,902,188,201,2318,3171,2971,3209,3479,3002,3463,3645,1176,1759,1148,2823,1803,1791,1079,322,52645,2717,2668,3007,1647,1013,777,1011,1629,3273,3046,2082,4225,3193,3828,4359,1032,1734,1706,2676,2519,2397,1202,904,"Etowah County, Alabama",,769,621,832,700,486,594,178,178,732,486,360,969,873,280,294,688,473,593,617,667,586,433,405,191,769,651,736,594,399,382,391,694,821,459,404,795,634,436,554,726,388,608,718,737,696,498,485,383
"G0100690","2022","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"0500000US01069","01069","Houston County, Alabama",108079,51728,3446,4091,2897,2223,1078,515,710,2156,3173,3197,3008,3570,2769,3480,3439,1048,2264,1257,1842,2264,1693,1122,486,56351,3300,2929,3487,2013,1061,1057,372,1887,3392,3822,3806,3274,3257,3824,3821,1584,2120,880,2411,2975,2112,1561,1406,"Houston County, Alabama",,214,157,535,527,60,248,259,362,459,105,108,534,524,23,184,504,300,383,331,363,384,207,209,155,214,161,422,429,82,128,387,146,363,121,141,535,532,47,214,474,410,376,256,468,451,405,376,319
"G0100730","2022","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"0500000US01073","01073","Jefferson County, Alabama",665409,316006,20731,21246,21668,12704,9059,6278,4600,10622,21706,23036,19090,21885,18607,19291,16810,8388,12590,8354,9965,12230,7422,5233,4491,349403,19292,21066,20331,12726,9514,3938,4790,14968,23267,24944,22059,23718,19605,20338,19307,8949,14600,9887,12564,15694,12330,6952,8564,"Jefferson County, Alabama",,388,357,2281,2282,156,612,1848,1564,2412,549,408,2067,1952,510,567,2178,1341,1790,1479,1137,1435,953,884,1064,388,335,1978,2035,216,509,1367,1460,1844,323,75,2320,2327,469,447,2004,1516,1735,1406,1890,1844,1416,1231,1278
"G0100770","2022","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"0500000US01077","01077","Lauderdale County, Alabama",95878,45733,2017,2709,2922,1883,1485,993,407,2377,3414,2435,2840,2453,2390,2932,2917,1359,1449,1746,2055,1709,1659,999,583,50145,2486,2373,2934,1480,1947,1024,521,2385,2752,3035,2203,3482,2401,3387,2624,1340,2332,1617,1794,3005,2145,1610,1268,"Lauderdale County, Alabama",,507,277,692,690,451,413,553,374,465,599,88,842,720,241,378,637,608,440,612,559,490,350,331,276,507,332,609,752,164,461,444,405,545,305,459,638,682,231,487,574,497,557,494,555,625,558,623,379
"G0100810","2022","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"0500000US01081","01081","Lee County, Alabama",180773,89415,5082,5355,5818,3091,4844,4597,3462,4409,5839,5365,5926,5731,4151,5018,4573,1890,3274,1385,1923,3692,2244,1065,681,91358,4369,5510,4642,3359,4574,2850,2325,5757,5581,6505,6736,5066,4954,5414,5205,2023,3143,2142,1970,4171,2669,1102,1291,"Lee County, Alabama",,1090,651,1155,1077,472,834,1515,1456,1463,891,974,1317,1340,585,250,902,549,890,473,663,696,586,469,358,1090,800,895,815,648,694,897,880,1337,787,425,1068,920,214,242,836,621,823,699,655,820,522,389,507
"G0100830","2022","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"0500000US01083","01083","Limestone County, Alabama",110900,56166,3009,4371,3388,2001,795,290,1181,2387,3399,3925,4097,2767,4973,3602,3888,733,3195,1321,1265,2531,1567,977,504,54734,2621,3741,3879,1442,725,828,315,1121,2593,4189,3088,4673,3542,4648,3896,1488,2273,1261,1828,2222,1938,1240,1183,"Limestone County, Alabama",,1946,626,1201,968,615,101,268,579,690,545,922,1003,950,873,300,979,392,858,612,596,750,392,471,289,1946,576,965,2071,703,87,578,366,419,245,977,1074,1038,688,904,828,805,773,482,588,578,576,620,488
"G0100890","2022","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"0500000US01089","01089","Madison County, Alabama",403565,199367,11717,13370,10845,7866,5927,3298,2322,8952,13968,14631,13113,13680,10775,12594,12355,8370,7349,4650,5902,6741,5628,3729,1585,204198,10588,12466,11507,7298,7078,2374,1451,8984,13390,14280,12950,13885,11522,12310,12096,7713,8313,2926,7388,9616,6655,5170,4238,"Madison County, Alabama",,689,521,1318,1332,429,415,1052,840,1400,431,536,1630,1619,515,572,1680,1449,1205,1006,1091,911,824,763,533,689,521,1491,1472,464,1294,1238,812,1253,249,186,1622,1597,544,168,1164,1130,1215,786,1066,1067,1067,1002,808
"G0100950","2022","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"0500000US01095","01095","Marshall County, Alabama",99423,49035,3534,3089,4066,2180,1296,438,965,1705,2815,3110,3386,2863,2686,3156,3189,868,2217,856,1654,2195,1620,616,531,50388,3448,3556,3370,2097,1216,258,788,1871,2634,3003,2809,3122,3020,3079,3561,1200,1503,1153,1694,2773,2448,918,867,"Marshall County, Alabama",,355,177,721,629,73,286,300,371,566,345,84,823,683,369,328,687,361,685,278,485,427,374,248,237,355,205,700,720,50,60,162,600,638,333,127,622,652,359,222,756,437,519,379,407,480,565,418,269
