        RR5E001:     Total
        RR5E002:     Less than $10,000
        RR5E003:     $10,000 to $14,999
        RR5E004:     $15,000 to $19,999
        RR5E005:     $20,000 to $24,999
        RR5E006:     $25,000 to $29,999
        RR5E007:     $30,000 to $34,999
        RR5E008:     $35,000 to $39,999
        RR5E009:     $40,000 to $49,999
        RR5E010:     $50,000 to $59,999
        RR5E011:     $60,000 to $69,999
        RR5E012:     $70,000 to $79,999
        RR5E013:     $80,000 to $89,999
        RR5E014:     $90,000 to $99,999
        RR5E015:     $100,000 to $124,999
        RR5E016:     $125,000 to $149,999
        RR5E017:     $150,000 to $174,999
        RR5E018:     $175,000 to $199,999
        RR5E019:     $200,000 to $249,999
        RR5E020:     $250,000 to $299,999
        RR5E021:     $300,000 to $399,999
        RR5E022:     $400,000 to $499,999
        RR5E023:     $500,000 to $749,999
        RR5E024:     $750,000 to $999,999
        RR5E025:     $1,000,000 or more
