GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,MGZE001,MGZE002,MGZE003,MGZE004,MGZE005,MGZE006,MGZE007,MGZE008,MGZE009,MGZE010,MGZE011,MGZE012,MGZE013,MGZE014,MGZE015,MGZE016,MGZE017,MGZE018,MGZE019,MGZE020,MGZE021,MGZE022,MGZE023,MGZE024,MGZE025,NAME_M,MGZM001,MGZM002,MGZM003,MGZM004,MGZM005,MGZM006,MGZM007,MGZM008,MGZM009,MGZM010,MGZM011,MGZM012,MGZM013,MGZM014,MGZM015,MGZM016,MGZM017,MGZM018,MGZM019,MGZM020,MGZM021,MGZM022,MGZM023,MGZM024,MGZM025
"G0100030","2011","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",54247,1077,677,517,450,622,439,166,584,1487,1534,1244,1663,1553,5017,4857,6458,5701,6066,6331,3840,1484,1757,461,262,"Baldwin County, Alabama",3398,607,687,375,306,443,530,260,347,709,1102,700,744,642,1229,1581,1552,1873,1721,1840,1008,663,579,367,253
"G0100150","2011","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",30699,1320,603,1336,390,275,428,307,1430,1480,1443,2094,2467,1962,3515,3081,3215,1727,1225,954,869,151,157,270,0,"Calhoun County, Alabama",1773,691,417,691,262,212,277,225,531,547,488,758,674,662,922,826,859,612,436,396,504,177,150,239,190
"G0100430","2011","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",23942,736,723,640,470,496,137,197,958,654,1000,1174,1775,1223,3714,1607,2142,1244,1109,594,1838,235,637,160,479,"Cullman County, Alabama",1498,359,445,417,344,340,157,144,554,299,400,530,743,596,918,630,640,507,510,347,622,183,397,179,420
"G0100490","2011","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",21897,889,207,665,341,110,258,432,651,1954,1487,1215,1686,1476,2884,1261,1619,996,784,1461,1127,58,90,59,187,"DeKalb County, Alabama",1297,564,135,390,311,124,185,439,303,868,565,474,810,652,974,475,714,518,461,631,695,49,148,74,173
"G0100510","2011","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",22520,476,389,295,204,0,282,150,677,601,1163,1101,460,604,2617,2343,3221,1322,2879,1254,1674,152,346,183,127,"Elmore County, Alabama",1374,356,291,232,175,190,342,183,479,418,423,517,325,386,712,769,1055,618,883,629,556,141,288,187,129
"G0100550","2011","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",29577,878,594,511,524,761,1970,1066,1421,1247,1738,1035,1154,1388,3501,2171,2787,2078,1610,1514,599,364,356,143,167,"Etowah County, Alabama",1677,416,345,312,292,385,748,404,481,425,562,369,334,515,920,702,765,739,563,714,330,251,226,116,188
"G0100690","2011","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",25868,785,634,514,197,250,355,420,573,1206,1151,1469,1593,1210,2725,2478,2403,1883,1893,1885,1144,475,382,55,188,"Houston County, Alabama",948,252,210,185,85,120,141,192,149,286,228,272,313,263,380,357,311,371,309,537,305,181,175,41,84
"G0100730","2011","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",163753,2663,1948,841,1623,1182,1638,1350,4824,7404,7304,7323,8425,7732,17727,15377,14142,10838,15557,10470,11567,3886,4817,2669,2446,"Jefferson County, Alabama",4650,863,761,464,680,541,538,435,1176,1200,1036,1398,1309,1291,2077,1691,1614,1790,2032,1562,1712,834,1021,1040,1178
"G0100770","2011","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",28087,822,147,469,210,450,383,587,1214,991,2150,1227,1334,3004,2806,2187,2728,1352,1550,1679,1353,886,355,119,84,"Lauderdale County, Alabama",1626,523,142,464,222,429,250,391,460,466,876,554,534,985,824,748,1105,515,648,644,635,571,279,160,144
"G0100810","2011","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",34167,1230,1426,601,165,305,453,455,366,523,87,1197,1271,1770,2898,3080,4230,2235,3391,2612,3885,761,1045,93,88,"Lee County, Alabama",2042,620,777,372,189,258,378,299,422,358,109,584,580,792,995,1200,1214,869,1075,878,971,439,628,101,151
"G0100830","2011","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"05000US01083","Limestone County, Alabama",24873,222,424,0,642,119,262,61,486,926,652,1314,845,1829,2604,2796,2846,1363,2670,1701,1757,413,634,132,175,"Limestone County, Alabama",1768,280,450,190,451,171,224,107,343,626,402,643,563,799,842,950,1170,582,699,591,759,297,438,162,295
"G0100890","2011","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",91889,1029,681,457,144,776,702,222,1351,1440,2923,4235,4512,4310,9875,7997,11020,7277,9188,7468,8314,4049,2805,557,557,"Madison County, Alabama",2420,559,543,277,118,468,543,187,495,514,1059,1029,1095,830,1516,1199,1837,1323,1345,1311,1508,1172,722,305,274
