        MGZE001:     Total
        MGZE002:     Less than $10,000
        MGZE003:     $10,000 to $14,999
        MGZE004:     $15,000 to $19,999
        MGZE005:     $20,000 to $24,999
        MGZE006:     $25,000 to $29,999
        MGZE007:     $30,000 to $34,999
        MGZE008:     $35,000 to $39,999
        MGZE009:     $40,000 to $49,999
        MGZE010:     $50,000 to $59,999
        MGZE011:     $60,000 to $69,999
        MGZE012:     $70,000 to $79,999
        MGZE013:     $80,000 to $89,999
        MGZE014:     $90,000 to $99,999
        MGZE015:     $100,000 to $124,999
        MGZE016:     $125,000 to $149,999
        MGZE017:     $150,000 to $174,999
        MGZE018:     $175,000 to $199,999
        MGZE019:     $200,000 to $249,999
        MGZE020:     $250,000 to $299,999
        MGZE021:     $300,000 to $399,999
        MGZE022:     $400,000 to $499,999
        MGZE023:     $500,000 to $749,999
        MGZE024:     $750,000 to $999,999
        MGZE025:     $1,000,000 or more
