GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,PGYE001,PGYE002,PGYE003,PGYE004,PGYE005,PGYE006,PGYE007,PGYE008,PGYE009,PGYE010,PGYE011,PGYE012,PGYE013,PGYE014,PGYE015,PGYE016,PGYE017,PGYE018,PGYE019,PGYE020,PGYE021,PGYE022,PGYE023,PGYE024,PGYE025,NAME_M,PGYM001,PGYM002,PGYM003,PGYM004,PGYM005,PGYM006,PGYM007,PGYM008,PGYM009,PGYM010,PGYM011,PGYM012,PGYM013,PGYM014,PGYM015,PGYM016,PGYM017,PGYM018,PGYM019,PGYM020,PGYM021,PGYM022,PGYM023,PGYM024,PGYM025
"G0100030","2012","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",52497,1077,1157,588,497,848,906,140,389,1787,1285,846,2052,1739,3779,5121,6420,4030,5795,4337,5163,2012,1622,488,419,"Baldwin County, Alabama",2529,475,682,419,520,452,520,144,254,885,727,470,793,649,981,1312,1352,911,1140,943,1079,702,599,275,347
"G0100150","2012","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",31455,1015,1148,915,610,355,1104,634,1196,429,1643,2163,1963,1511,4505,2479,2827,1237,1810,1883,1033,279,309,217,190,"Calhoun County, Alabama",1644,469,610,604,313,339,523,362,490,232,539,691,596,455,889,681,807,426,550,691,407,224,288,352,181
"G0100430","2012","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",23792,841,181,777,273,218,558,417,590,708,1356,1566,1771,1462,3216,2179,2185,828,1374,1596,590,187,721,37,161,"Cullman County, Alabama",1540,361,164,552,240,184,478,300,242,391,506,529,642,515,885,770,644,464,384,530,346,181,372,60,142
"G0100490","2012","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",17705,474,146,316,242,115,387,130,1060,1251,786,2172,944,671,1666,2085,1835,905,1114,482,552,124,138,0,110,"DeKalb County, Alabama",1342,289,146,229,165,124,262,118,366,440,448,759,435,352,610,850,506,464,514,282,405,138,109,184,99
"G0100510","2012","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",21707,1279,448,218,840,120,589,352,574,1172,473,613,1104,941,1922,1637,1588,1528,2556,1479,1172,459,385,159,99,"Elmore County, Alabama",1770,796,597,189,443,89,396,228,356,539,277,297,520,402,655,588,598,543,780,640,481,300,226,169,134
"G0100550","2012","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",26132,878,433,698,554,1351,855,288,1318,1462,1724,1812,1640,990,3176,2491,1938,643,1169,1235,625,293,257,78,224,"Etowah County, Alabama",1507,410,223,423,290,426,329,230,515,494,513,462,459,370,818,875,605,284,420,468,299,225,230,98,182
"G0100690","2012","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",25050,624,440,456,310,412,370,417,601,1262,987,1850,1462,1146,2300,2547,2308,1574,2186,1644,1227,362,315,129,121,"Houston County, Alabama",779,251,156,174,125,241,134,160,170,310,220,343,280,265,304,414,386,327,345,428,251,147,103,70,121
"G0100730","2012","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",165485,1894,1678,1443,1214,1378,3033,2010,4742,5310,8117,8318,10013,8316,15458,14480,16914,10181,14623,9226,11720,5928,5003,2268,2218,"Jefferson County, Alabama",3799,583,526,598,426,483,737,689,864,1108,1527,1277,1409,1395,1587,1595,2183,1461,1775,1419,1637,1161,1002,578,690
"G0100770","2012","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",25203,975,198,665,376,371,388,126,769,826,1209,1668,1488,846,2337,1410,2285,2350,2554,1686,1476,274,698,64,164,"Lauderdale County, Alabama",1370,499,200,337,292,246,255,148,423,341,609,573,509,365,710,568,598,789,808,687,604,226,382,107,175
"G0100810","2012","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",34532,486,836,797,481,215,173,343,478,1053,1542,1168,907,777,3361,3807,3908,2423,5158,2024,1971,1018,1129,143,334,"Lee County, Alabama",1974,285,476,357,366,236,157,262,283,526,742,720,424,401,859,1267,985,822,871,666,689,426,565,168,280
