        PGYE001:     Total
        PGYE002:     Less than $10,000
        PGYE003:     $10,000 to $14,999
        PGYE004:     $15,000 to $19,999
        PGYE005:     $20,000 to $24,999
        PGYE006:     $25,000 to $29,999
        PGYE007:     $30,000 to $34,999
        PGYE008:     $35,000 to $39,999
        PGYE009:     $40,000 to $49,999
        PGYE010:     $50,000 to $59,999
        PGYE011:     $60,000 to $69,999
        PGYE012:     $70,000 to $79,999
        PGYE013:     $80,000 to $89,999
        PGYE014:     $90,000 to $99,999
        PGYE015:     $100,000 to $124,999
        PGYE016:     $125,000 to $149,999
        PGYE017:     $150,000 to $174,999
        PGYE018:     $175,000 to $199,999
        PGYE019:     $200,000 to $249,999
        PGYE020:     $250,000 to $299,999
        PGYE021:     $300,000 to $399,999
        PGYE022:     $400,000 to $499,999
        PGYE023:     $500,000 to $749,999
        PGYE024:     $750,000 to $999,999
        PGYE025:     $1,000,000 or more
