GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,S50E001,S50E002,S50E003,S50E004,S50E005,S50E006,S50E007,S50E008,S50E009,S50E010,S50E011,S50E012,S50E013,S50E014,S50E015,S50E016,S50E017,S50E018,S50E019,S50E020,S50E021,S50E022,S50E023,S50E024,S50E025,NAME_M,S50M001,S50M002,S50M003,S50M004,S50M005,S50M006,S50M007,S50M008,S50M009,S50M010,S50M011,S50M012,S50M013,S50M014,S50M015,S50M016,S50M017,S50M018,S50M019,S50M020,S50M021,S50M022,S50M023,S50M024,S50M025
"G0100030","2013","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",48841,1694,223,321,236,442,610,384,729,1053,993,817,1277,1431,4497,4456,7493,3509,5958,3436,4918,1692,926,1119,627,"Baldwin County, Alabama",2480,659,175,413,234,327,502,403,531,566,436,378,621,657,1178,972,1506,1000,1345,961,1201,759,384,537,392
"G0100150","2013","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",29414,1828,651,518,575,105,698,856,1226,1721,1478,2093,2600,1239,3089,2206,2429,1460,1494,1603,800,467,123,57,98,"Calhoun County, Alabama",1902,573,342,374,367,132,374,441,459,606,590,786,824,556,794,637,796,604,558,623,459,405,115,94,166
"G0100430","2013","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",24380,445,383,500,855,98,606,133,1031,1222,516,1845,1871,1179,2158,1847,2284,1734,1790,1401,1064,816,378,148,76,"Cullman County, Alabama",1557,235,261,298,541,104,325,135,420,412,292,636,724,434,729,566,683,813,680,579,410,419,276,167,128
"G0100490","2013","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",16331,602,242,548,262,219,217,431,695,1180,690,827,914,841,1826,1036,1402,977,1506,820,822,50,155,57,12,"DeKalb County, Alabama",1441,320,210,340,192,302,156,332,363,665,362,456,368,462,652,528,487,538,743,385,347,83,176,72,23
"G0100510","2013","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",19811,829,493,551,198,347,302,39,503,680,579,322,951,693,2133,1888,1585,1695,2058,1561,1914,234,48,67,141,"Elmore County, Alabama",1624,454,266,347,164,320,448,65,350,373,336,191,454,441,626,714,557,619,601,570,525,158,65,82,175
"G0100550","2013","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",28911,722,235,263,877,537,1045,739,1650,1709,1878,1153,1963,1451,3062,2819,2572,1500,1729,1101,1301,370,119,0,116,"Etowah County, Alabama",1687,417,170,230,429,283,521,468,608,453,490,371,724,464,678,752,687,499,587,445,512,264,122,192,146
"G0100690","2013","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",25484,737,371,728,271,131,487,392,752,1074,1303,1586,1486,1320,2649,2961,2284,1979,1802,1131,1104,457,305,54,120,"Houston County, Alabama",825,177,128,251,145,88,185,158,220,265,308,395,357,286,373,527,321,459,309,234,307,208,173,35,65
"G0100730","2013","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",160389,4473,1401,1823,1700,1063,1842,1738,4000,5075,7658,8723,8469,7791,13894,14377,15679,9699,14534,10247,10773,6506,4906,2164,1854,"Jefferson County, Alabama",4411,1134,501,584,651,427,620,602,736,1014,1502,1392,1454,1611,1755,2062,1992,1747,1758,1510,1869,1180,1140,606,560
"G0100770","2013","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",26459,990,352,245,294,336,381,173,1063,789,770,1530,1439,1480,4548,2204,2262,1184,1584,2513,1217,420,575,67,43,"Lauderdale County, Alabama",1537,393,273,274,261,204,297,274,475,487,308,628,626,552,908,627,656,425,548,706,635,338,372,83,75
"G0100810","2013","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",32878,1712,155,870,106,687,305,219,1077,568,1225,1177,560,1670,4045,3933,3287,2048,2909,1918,1709,1461,929,184,124,"Lee County, Alabama",1839,727,176,577,136,366,206,219,646,415,666,612,358,806,1179,960,923,685,783,594,641,526,507,149,151
