        S50E001:     Total
        S50E002:     Less than $10,000
        S50E003:     $10,000 to $14,999
        S50E004:     $15,000 to $19,999
        S50E005:     $20,000 to $24,999
        S50E006:     $25,000 to $29,999
        S50E007:     $30,000 to $34,999
        S50E008:     $35,000 to $39,999
        S50E009:     $40,000 to $49,999
        S50E010:     $50,000 to $59,999
        S50E011:     $60,000 to $69,999
        S50E012:     $70,000 to $79,999
        S50E013:     $80,000 to $89,999
        S50E014:     $90,000 to $99,999
        S50E015:     $100,000 to $124,999
        S50E016:     $125,000 to $149,999
        S50E017:     $150,000 to $174,999
        S50E018:     $175,000 to $199,999
        S50E019:     $200,000 to $249,999
        S50E020:     $250,000 to $299,999
        S50E021:     $300,000 to $399,999
        S50E022:     $400,000 to $499,999
        S50E023:     $500,000 to $749,999
        S50E024:     $750,000 to $999,999
        S50E025:     $1,000,000 or more
