GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AA3VE001,AA3VE002,AA3VE003,AA3VE004,AA3VE005,AA3VE006,AA3VE007,AA3VE008,AA3VE009,AA3VE010,AA3VE011,AA3VE012,AA3VE013,AA3VE014,AA3VE015,AA3VE016,AA3VE017,AA3VE018,AA3VE019,AA3VE020,AA3VE021,AA3VE022,AA3VE023,AA3VE024,AA3VE025,NAME_M,AA3VM001,AA3VM002,AA3VM003,AA3VM004,AA3VM005,AA3VM006,AA3VM007,AA3VM008,AA3VM009,AA3VM010,AA3VM011,AA3VM012,AA3VM013,AA3VM014,AA3VM015,AA3VM016,AA3VM017,AA3VM018,AA3VM019,AA3VM020,AA3VM021,AA3VM022,AA3VM023,AA3VM024,AA3VM025
"G0100030","2014","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",51657,1483,412,287,467,204,244,208,496,1327,771,1931,912,933,5095,4773,5347,4557,7172,4919,4369,2382,2270,919,179,"Baldwin County, Alabama",2704,615,280,186,481,208,204,198,343,585,363,677,456,471,1271,1059,1383,1245,1573,1473,1193,969,671,605,171
"G0100150","2014","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",31712,789,917,701,1013,756,1080,150,1118,1221,1125,1760,1938,2003,4956,2887,2848,1536,1427,1626,1355,321,63,67,55,"Calhoun County, Alabama",1684,385,428,446,414,411,474,128,459,455,501,599,638,617,1086,607,799,554,495,526,573,305,85,80,92
"G0100430","2014","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",22670,1244,297,292,264,394,207,209,742,919,1721,1666,1524,1211,1780,2101,2171,862,2100,1181,707,249,535,189,105,"Cullman County, Alabama",1659,424,217,222,182,273,247,270,415,479,639,645,686,465,668,640,675,455,824,502,321,190,298,160,118
"G0100490","2014","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",17702,200,487,943,307,269,1465,270,969,673,1278,691,1261,771,1838,978,1578,736,893,458,679,296,107,90,465,"DeKalb County, Alabama",1319,209,366,504,212,198,775,253,444,332,482,409,518,487,572,477,468,399,405,304,485,321,132,133,301
"G0100510","2014","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",22556,977,308,0,347,556,362,214,644,722,682,321,738,1383,1249,2745,2718,1477,2416,2550,957,470,404,201,115,"Elmore County, Alabama",1368,543,228,189,241,421,263,222,438,398,332,215,381,627,503,853,795,462,694,923,366,524,277,143,131
"G0100550","2014","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",27078,898,307,0,614,651,1505,679,1712,1375,881,1114,1986,1881,3073,2416,2483,1190,1990,684,624,427,219,143,226,"Etowah County, Alabama",1524,343,215,189,332,367,589,374,637,430,360,488,761,633,873,743,785,480,615,316,321,322,177,170,145
"G0100690","2014","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",25392,896,292,444,320,151,349,412,951,947,1250,1448,1595,1402,3275,2199,2324,1476,2077,1376,1556,334,134,120,64,"Houston County, Alabama",753,221,129,149,142,72,130,166,393,250,355,327,306,226,479,309,422,379,368,281,390,173,74,57,49
"G0100730","2014","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",161323,4097,1773,1276,1633,1442,1720,2029,5833,6975,7697,8303,8361,5788,14798,12788,12694,10244,16833,10872,11666,4412,6007,2266,1816,"Jefferson County, Alabama",3354,746,659,489,624,558,659,687,1350,1084,1332,1362,1393,1002,1878,1652,1494,1700,1863,1537,1376,883,1046,619,644
"G0100770","2014","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",25928,497,575,206,340,111,677,732,825,1162,1180,1931,1521,1344,3319,2195,2047,1367,1897,1998,917,361,322,200,204,"Lauderdale County, Alabama",1407,369,320,195,236,140,443,462,414,508,402,593,659,505,833,714,683,594,752,541,378,275,267,225,184
"G0100810","2014","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",33558,1551,1025,743,723,517,439,30,279,1063,837,1312,1214,756,2253,3195,3499,2905,3447,2089,3398,1166,953,66,98,"Lee County, Alabama",1740,575,536,470,453,498,353,52,263,636,382,605,566,423,726,804,856,858,731,576,1066,567,365,105,124
"G0100830","2014","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"05000US01083","Limestone County, Alabama",23727,423,264,720,169,0,362,38,217,499,962,1113,914,651,3320,3062,2153,997,2593,2100,1663,766,591,95,55,"Limestone County, Alabama",1605,315,188,473,163,189,269,67,169,322,509,525,481,341,1015,1047,747,471,820,721,626,464,445,116,96
"G0100890","2014","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",96158,2800,702,313,583,194,911,505,1290,1354,2643,3117,4144,3655,9023,8357,9839,8197,12846,8965,10276,3813,1798,419,414,"Madison County, Alabama",2611,799,365,238,400,173,507,320,543,427,769,870,909,1006,1410,1501,1478,1374,1743,1325,1598,1087,651,229,331
"G0100950","2014","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"05000US01095","Marshall County, Alabama",23474,910,517,623,852,108,430,110,496,941,822,1899,1678,1669,2681,2203,1756,1384,1489,1215,812,426,280,173,0,"Marshall County, Alabama",1392,340,289,472,548,102,260,117,318,453,458,641,641,566,609,633,512,423,482,524,351,330,134,174,189
"G0100970","2014","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"05000US01097","Mobile County, Alabama",100101,2277,1169,982,1602,775,1313,894,3604,3575,6545,5048,5725,5169,13706,10462,10462,4955,8208,5571,4282,1187,1198,575,817,"Mobile County, Alabama",2897,748,479,450,808,349,484,407,888,756,1395,1076,1052,920,1735,1387,1536,1195,1418,1248,908,482,454,358,395
"G0101010","2014","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",52186,1871,230,375,404,324,916,892,2442,1237,2591,2870,3750,3112,4975,6170,3529,3400,4829,2798,2628,1460,1103,120,160,"Montgomery County, Alabama",2457,612,141,300,304,198,400,486,722,424,770,924,850,929,980,1237,853,905,979,709,780,458,513,140,117
"G0101030","2014","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",30778,1240,194,189,887,145,455,470,863,1142,1302,1545,1958,1892,3720,2777,2759,1738,3097,2146,1546,474,108,19,112,"Morgan County, Alabama",1989,489,158,136,426,165,272,376,433,517,520,537,649,584,905,885,739,566,852,663,540,271,142,31,129
"G0101150","2014","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",24376,1336,263,257,396,383,835,202,1022,665,663,1549,2158,316,1730,2922,2744,1959,1627,1602,1214,301,163,0,69,"St. Clair County, Alabama",1624,574,268,236,270,321,570,229,500,361,343,648,761,207,673,782,856,822,630,706,540,260,207,189,116
"G0101170","2014","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",59130,1769,367,422,419,410,597,118,620,1028,686,560,991,919,4451,5540,7491,4758,7691,5677,7062,4165,2128,901,360,"Shelby County, Alabama",2015,610,239,355,249,242,306,129,283,562,325,261,384,416,1021,1084,1076,947,1318,940,1092,976,569,370,216
"G0101210","2014","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",22176,2051,707,264,396,44,1073,327,747,1722,1730,1003,854,612,2143,975,2294,1287,1418,1020,1099,240,46,0,124,"Talladega County, Alabama",1432,731,461,296,329,74,577,219,384,809,705,507,375,301,752,411,835,544,520,467,443,153,83,189,177
"G0101250","2014","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",43484,1730,902,506,309,450,412,343,1359,468,450,1259,1014,1225,4174,6099,5414,3238,5941,2741,2740,1084,1110,230,286,"Tuscaloosa County, Alabama",2228,519,425,286,240,288,233,252,554,349,309,459,375,452,852,1361,1026,806,1170,778,599,343,466,181,281
"G0101270","2014","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,"05000US01127","Walker County, Alabama",18414,1899,886,363,490,557,359,574,949,1157,1314,737,1407,635,1124,816,786,719,1918,669,566,167,246,76,0,"Walker County, Alabama",1084,667,490,282,263,280,206,345,433,430,546,324,554,256,431,342,334,337,612,374,297,198,304,100,189
