        AA3VE001:    Total
        AA3VE002:    Less than $10,000
        AA3VE003:    $10,000 to $14,999
        AA3VE004:    $15,000 to $19,999
        AA3VE005:    $20,000 to $24,999
        AA3VE006:    $25,000 to $29,999
        AA3VE007:    $30,000 to $34,999
        AA3VE008:    $35,000 to $39,999
        AA3VE009:    $40,000 to $49,999
        AA3VE010:    $50,000 to $59,999
        AA3VE011:    $60,000 to $69,999
        AA3VE012:    $70,000 to $79,999
        AA3VE013:    $80,000 to $89,999
        AA3VE014:    $90,000 to $99,999
        AA3VE015:    $100,000 to $124,999
        AA3VE016:    $125,000 to $149,999
        AA3VE017:    $150,000 to $174,999
        AA3VE018:    $175,000 to $199,999
        AA3VE019:    $200,000 to $249,999
        AA3VE020:    $250,000 to $299,999
        AA3VE021:    $300,000 to $399,999
        AA3VE022:    $400,000 to $499,999
        AA3VE023:    $500,000 to $749,999
        AA3VE024:    $750,000 to $999,999
        AA3VE025:    $1,000,000 or more
