GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ADDPE001,ADDPE002,ADDPE003,ADDPE004,ADDPE005,ADDPE006,ADDPE007,ADDPE008,ADDPE009,ADDPE010,ADDPE011,ADDPE012,ADDPE013,ADDPE014,ADDPE015,ADDPE016,ADDPE017,ADDPE018,ADDPE019,ADDPE020,ADDPE021,ADDPE022,ADDPE023,ADDPE024,ADDPE025,ADDPE026,ADDPE027,NAME_M,ADDPM001,ADDPM002,ADDPM003,ADDPM004,ADDPM005,ADDPM006,ADDPM007,ADDPM008,ADDPM009,ADDPM010,ADDPM011,ADDPM012,ADDPM013,ADDPM014,ADDPM015,ADDPM016,ADDPM017,ADDPM018,ADDPM019,ADDPM020,ADDPM021,ADDPM022,ADDPM023,ADDPM024,ADDPM025,ADDPM026,ADDPM027
"G0100030","2015","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",53232,1237,466,659,372,417,352,361,504,980,392,1082,1686,1763,5450,4611,5783,4449,5674,5351,5826,1384,2724,783,411,230,285,"Baldwin County, Alabama",2779,576,369,443,322,304,270,348,305,730,293,546,817,625,1385,1162,1278,1060,1139,1273,1183,547,804,482,297,267,227
"G0100150","2015","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",30753,1169,624,661,783,147,404,39,998,2114,994,2286,1638,1344,4765,2429,2704,2029,2043,1453,1091,282,533,91,15,62,55,"Calhoun County, Alabama",1570,591,455,544,410,145,277,65,437,713,466,620,578,539,1278,688,724,853,764,456,471,202,417,116,27,101,72
"G0100430","2015","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",23054,427,423,455,492,233,124,82,628,804,868,777,2401,913,2608,2027,1694,1363,1976,978,1897,579,957,118,16,0,214,"Cullman County, Alabama",1355,265,285,323,266,182,143,89,343,401,419,347,872,436,741,630,558,631,693,427,550,286,510,114,27,192,286
"G0100490","2015","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",17833,240,427,719,96,641,424,237,699,449,1275,1090,1486,1035,2408,1107,1212,874,817,674,972,269,427,202,53,0,0,"DeKalb County, Alabama",1510,189,347,525,101,366,301,187,390,281,503,496,572,430,825,397,552,432,330,385,572,252,295,292,71,192,192
"G0100510","2015","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",21365,161,582,1318,220,37,0,97,340,548,615,851,504,474,1400,2351,3025,1322,2653,1812,1627,581,470,126,185,24,42,"Elmore County, Alabama",1521,132,394,590,221,63,192,135,269,435,405,533,319,289,511,683,984,414,673,566,585,430,322,161,210,41,72
"G0100550","2015","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",29301,540,290,374,717,553,688,327,2163,1342,2288,2431,1528,1533,3661,2769,2319,853,1886,1272,1224,203,218,40,0,0,82,"Etowah County, Alabama",1346,191,228,253,399,278,348,185,605,528,750,867,641,557,973,581,600,355,591,456,488,162,173,70,192,192,98
"G0100690","2015","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",24860,559,259,533,250,349,201,406,747,1171,804,1492,1355,1121,2409,3248,2162,2002,1864,1497,1207,294,437,331,43,10,109,"Houston County, Alabama",1023,216,146,322,107,169,94,172,201,271,236,256,292,214,376,591,367,388,353,398,229,159,187,222,29,18,99
"G0100730","2015","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",163628,1434,853,911,1347,603,2125,2148,4005,6228,7229,7026,8189,7957,15485,13380,14388,10761,16265,12327,12495,7146,7481,1920,1239,327,359,"Jefferson County, Alabama",4409,490,368,506,503,307,696,682,805,1301,1433,1460,1399,1160,1933,1777,1740,1398,1671,1743,1718,1346,1053,558,433,231,225
"G0100770","2015","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",26651,1140,131,393,287,501,128,95,1212,762,1271,1801,1739,1030,2805,2950,2029,1935,2505,1654,833,561,502,329,10,0,48,"Lauderdale County, Alabama",1577,758,172,335,247,387,111,91,613,395,505,653,679,499,760,772,641,600,782,520,504,486,359,260,17,192,86
"G0100810","2015","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",33789,994,787,1201,372,262,80,60,460,981,482,795,1471,545,2984,2312,4082,2371,4174,3147,3630,1465,850,138,109,0,37,"Lee County, Alabama",2418,587,548,532,436,233,100,74,295,544,325,380,824,346,846,583,994,657,1043,901,985,560,446,168,183,192,63
