        ADDPE001:    Total
        ADDPE002:    Less than $10,000
        ADDPE003:    $10,000 to $14,999
        ADDPE004:    $15,000 to $19,999
        ADDPE005:    $20,000 to $24,999
        ADDPE006:    $25,000 to $29,999
        ADDPE007:    $30,000 to $34,999
        ADDPE008:    $35,000 to $39,999
        ADDPE009:    $40,000 to $49,999
        ADDPE010:    $50,000 to $59,999
        ADDPE011:    $60,000 to $69,999
        ADDPE012:    $70,000 to $79,999
        ADDPE013:    $80,000 to $89,999
        ADDPE014:    $90,000 to $99,999
        ADDPE015:    $100,000 to $124,999
        ADDPE016:    $125,000 to $149,999
        ADDPE017:    $150,000 to $174,999
        ADDPE018:    $175,000 to $199,999
        ADDPE019:    $200,000 to $249,999
        ADDPE020:    $250,000 to $299,999
        ADDPE021:    $300,000 to $399,999
        ADDPE022:    $400,000 to $499,999
        ADDPE023:    $500,000 to $749,999
        ADDPE024:    $750,000 to $999,999
        ADDPE025:    $1,000,000 to $1,499,999
        ADDPE026:    $1,500,000 to $1,999,999
        ADDPE027:    $2,000,000 or more
