GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AFUZE001,AFUZE002,AFUZE003,AFUZE004,AFUZE005,AFUZE006,AFUZE007,AFUZE008,AFUZE009,AFUZE010,AFUZE011,AFUZE012,AFUZE013,AFUZE014,AFUZE015,AFUZE016,AFUZE017,AFUZE018,AFUZE019,AFUZE020,AFUZE021,AFUZE022,AFUZE023,AFUZE024,AFUZE025,AFUZE026,AFUZE027,NAME_M,AFUZM001,AFUZM002,AFUZM003,AFUZM004,AFUZM005,AFUZM006,AFUZM007,AFUZM008,AFUZM009,AFUZM010,AFUZM011,AFUZM012,AFUZM013,AFUZM014,AFUZM015,AFUZM016,AFUZM017,AFUZM018,AFUZM019,AFUZM020,AFUZM021,AFUZM022,AFUZM023,AFUZM024,AFUZM025,AFUZM026,AFUZM027
"G0100030","2016","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",56144,826,480,304,193,249,815,218,482,1030,833,760,1741,984,5076,4368,6747,5277,7849,4878,6983,2803,1339,1223,305,43,338,"Baldwin County, Alabama",2831,544,368,181,174,193,477,143,399,502,435,449,808,568,1391,1102,1396,1163,1757,1411,1333,764,465,506,207,71,317
"G0100150","2016","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",29321,814,455,499,344,519,521,513,773,1214,1407,2315,2181,1313,2869,2394,3509,1464,2049,1742,946,549,473,200,217,0,41,"Calhoun County, Alabama",1746,477,274,337,286,413,363,277,375,484,582,552,617,530,803,675,765,627,580,659,470,369,297,203,173,195,70
"G0100430","2016","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",23306,827,229,121,258,54,173,113,766,823,1416,730,1972,867,2732,1762,2025,2412,2105,1199,1151,865,395,202,28,19,62,"Cullman County, Alabama",1387,503,260,140,193,78,148,101,445,475,581,438,571,447,666,561,735,769,657,448,463,386,312,199,51,32,107
"G0100490","2016","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",18185,1047,392,182,663,530,410,260,698,475,1235,1080,1286,716,1838,1982,1075,963,1471,551,973,31,179,70,0,0,78,"DeKalb County, Alabama",1270,554,326,189,616,517,275,197,468,264,614,444,544,330,509,623,431,418,485,386,596,40,221,92,195,195,78
"G0100510","2016","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",20862,594,157,253,81,47,282,133,81,63,302,760,716,614,2790,2139,1693,1998,2788,1635,2119,799,641,91,86,0,0,"Elmore County, Alabama",1438,436,173,178,137,57,294,154,123,113,228,403,338,346,825,779,541,857,821,659,622,421,346,104,110,195,195
"G0100550","2016","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",27766,488,665,369,266,446,1182,724,1437,1428,1538,1218,1882,862,3676,2515,2141,1750,2181,600,1601,152,485,138,0,0,22,"Etowah County, Alabama",1670,310,513,220,182,207,533,393,438,655,564,471,743,397,946,727,800,687,763,280,559,193,423,111,195,195,38
"G0100690","2016","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",25239,412,263,161,408,268,488,614,767,1023,909,1350,1623,1317,2827,2605,2007,1546,2439,1775,1310,345,543,146,50,18,25,"Houston County, Alabama",834,122,115,126,325,116,220,320,255,321,216,297,334,348,423,521,320,330,470,521,329,166,248,80,42,21,28
"G0100730","2016","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",164444,1842,1260,1087,804,1053,1940,1526,4374,4933,8237,10338,7944,6343,16795,12387,16782,7763,15755,12267,13270,7131,6200,1965,1284,438,726,"Jefferson County, Alabama",4205,600,621,482,329,526,709,600,1087,924,1552,1548,1390,1055,2086,1801,1826,1032,1799,1607,1702,1204,1165,470,495,293,383
"G0100770","2016","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",26444,609,214,281,196,466,48,515,515,322,845,1661,1616,929,3485,2648,2419,2239,2701,2117,1400,621,208,283,34,0,72,"Lauderdale County, Alabama",1668,425,269,267,225,337,79,291,298,243,345,585,651,357,887,822,785,764,675,532,467,386,189,214,46,195,124
"G0100810","2016","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",34720,1274,538,578,627,289,325,50,497,329,1416,1684,1025,999,3210,2465,3834,1731,4216,3108,3555,970,1418,513,0,0,69,"Lee County, Alabama",2259,633,302,384,370,286,357,84,336,293,637,845,604,523,811,870,992,712,1126,986,988,489,614,317,195,195,120
