        AFUZE001:    Total
        AFUZE002:    Less than $10,000
        AFUZE003:    $10,000 to $14,999
        AFUZE004:    $15,000 to $19,999
        AFUZE005:    $20,000 to $24,999
        AFUZE006:    $25,000 to $29,999
        AFUZE007:    $30,000 to $34,999
        AFUZE008:    $35,000 to $39,999
        AFUZE009:    $40,000 to $49,999
        AFUZE010:    $50,000 to $59,999
        AFUZE011:    $60,000 to $69,999
        AFUZE012:    $70,000 to $79,999
        AFUZE013:    $80,000 to $89,999
        AFUZE014:    $90,000 to $99,999
        AFUZE015:    $100,000 to $124,999
        AFUZE016:    $125,000 to $149,999
        AFUZE017:    $150,000 to $174,999
        AFUZE018:    $175,000 to $199,999
        AFUZE019:    $200,000 to $249,999
        AFUZE020:    $250,000 to $299,999
        AFUZE021:    $300,000 to $399,999
        AFUZE022:    $400,000 to $499,999
        AFUZE023:    $500,000 to $749,999
        AFUZE024:    $750,000 to $999,999
        AFUZE025:    $1,000,000 to $1,499,999
        AFUZE026:    $1,500,000 to $1,999,999
        AFUZE027:    $2,000,000 or more
