GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AHP5E001,AHP5E002,AHP5E003,AHP5E004,AHP5E005,AHP5E006,AHP5E007,AHP5E008,AHP5E009,AHP5E010,AHP5E011,AHP5E012,AHP5E013,AHP5E014,AHP5E015,AHP5E016,AHP5E017,AHP5E018,AHP5E019,AHP5E020,AHP5E021,AHP5E022,AHP5E023,AHP5E024,AHP5E025,AHP5E026,AHP5E027,NAME_M,AHP5M001,AHP5M002,AHP5M003,AHP5M004,AHP5M005,AHP5M006,AHP5M007,AHP5M008,AHP5M009,AHP5M010,AHP5M011,AHP5M012,AHP5M013,AHP5M014,AHP5M015,AHP5M016,AHP5M017,AHP5M018,AHP5M019,AHP5M020,AHP5M021,AHP5M022,AHP5M023,AHP5M024,AHP5M025,AHP5M026,AHP5M027
"G0100030","2017","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",58561,459,907,211,533,0,124,31,104,467,730,1663,1827,1203,5141,5205,5300,5429,8133,5096,7386,3656,3157,667,701,148,283,"Baldwin County, Alabama",2912,210,453,235,384,200,146,53,124,359,412,680,792,600,1224,1154,1280,1498,1922,1112,1675,955,982,332,613,223,267
"G0100150","2017","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",31093,1015,439,337,927,781,681,326,1272,1201,1146,967,1751,1463,4586,3292,2578,1043,1802,2936,1365,507,440,180,58,0,0,"Calhoun County, Alabama",1845,547,275,242,475,518,434,242,512,536,472,386,543,541,1130,1042,757,485,583,1065,614,472,378,166,98,200,200
"G0100430","2017","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",21626,564,751,334,218,147,408,109,731,467,894,1541,1173,1044,2563,1601,2312,1901,1254,1325,1123,399,399,113,255,0,0,"Cullman County, Alabama",1536,299,446,336,151,135,332,120,372,281,450,542,461,518,817,550,751,643,482,567,591,280,238,131,327,200,200
"G0100490","2017","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",17966,719,425,345,129,173,355,534,1106,1022,737,977,1164,597,1209,1928,1662,927,1486,1061,626,364,334,58,0,0,28,"DeKalb County, Alabama",1400,359,346,299,150,145,269,330,636,435,374,525,408,457,421,662,549,345,567,596,322,284,289,50,200,200,46
"G0100510","2017","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",21217,145,660,364,266,393,104,128,364,256,348,1046,361,673,2370,2153,2871,760,1917,2157,2312,306,1102,96,65,0,0,"Elmore County, Alabama",1516,153,413,278,242,285,135,130,282,231,238,602,310,514,687,778,872,386,502,794,638,238,594,157,110,200,200
"G0100550","2017","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",26504,674,637,389,224,874,1071,570,1446,1184,1717,2114,922,412,1679,2398,2886,1771,1510,1846,914,415,429,250,89,0,83,"Etowah County, Alabama",1700,297,354,294,157,518,528,335,647,469,638,674,415,253,628,780,901,677,550,627,415,282,417,254,130,200,141
"G0100690","2017","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",26079,504,192,271,264,284,335,342,843,1095,822,1525,1471,1399,2295,2530,3021,1590,2696,2005,1054,657,589,139,118,19,19,"Houston County, Alabama",883,185,103,164,140,148,259,175,302,301,217,356,342,337,370,408,476,349,584,444,169,281,292,74,74,23,24
"G0100730","2017","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",158826,1185,936,629,1016,1940,1482,1247,4305,6481,6724,7313,9187,6035,13170,12993,11657,9904,14595,12459,16138,6530,8351,2177,1527,352,493,"Jefferson County, Alabama",4078,539,385,370,459,615,710,441,887,1416,1217,1327,1666,895,1721,1852,1448,1509,1687,1453,1959,1078,1327,637,459,233,248
"G0100770","2017","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",25120,147,377,0,197,367,157,331,430,893,1212,1332,1576,1446,2688,1780,3882,1311,2267,1660,1175,977,493,181,173,0,68,"Lauderdale County, Alabama",1456,147,248,200,266,387,160,232,241,412,594,549,635,680,939,626,960,515,696,689,388,536,340,174,201,200,112
"G0100810","2017","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",37210,1665,868,670,486,675,248,75,1670,600,590,285,2170,737,3544,2699,3804,1836,3902,3563,3077,1687,1661,410,30,92,166,"Lee County, Alabama",1930,989,620,354,451,481,199,123,852,395,529,219,958,525,1009,767,996,549,899,985,737,831,590,253,57,157,214
