        AHP5E001:    Total
        AHP5E002:    Less than $10,000
        AHP5E003:    $10,000 to $14,999
        AHP5E004:    $15,000 to $19,999
        AHP5E005:    $20,000 to $24,999
        AHP5E006:    $25,000 to $29,999
        AHP5E007:    $30,000 to $34,999
        AHP5E008:    $35,000 to $39,999
        AHP5E009:    $40,000 to $49,999
        AHP5E010:    $50,000 to $59,999
        AHP5E011:    $60,000 to $69,999
        AHP5E012:    $70,000 to $79,999
        AHP5E013:    $80,000 to $89,999
        AHP5E014:    $90,000 to $99,999
        AHP5E015:    $100,000 to $124,999
        AHP5E016:    $125,000 to $149,999
        AHP5E017:    $150,000 to $174,999
        AHP5E018:    $175,000 to $199,999
        AHP5E019:    $200,000 to $249,999
        AHP5E020:    $250,000 to $299,999
        AHP5E021:    $300,000 to $399,999
        AHP5E022:    $400,000 to $499,999
        AHP5E023:    $500,000 to $749,999
        AHP5E024:    $750,000 to $999,999
        AHP5E025:    $1,000,000 to $1,499,999
        AHP5E026:    $1,500,000 to $1,999,999
        AHP5E027:    $2,000,000 or more
