GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AJNQE001,AJNQE002,AJNQE003,AJNQE004,AJNQE005,AJNQE006,AJNQE007,AJNQE008,AJNQE009,AJNQE010,AJNQE011,AJNQE012,AJNQE013,AJNQE014,AJNQE015,AJNQE016,AJNQE017,AJNQE018,AJNQE019,AJNQE020,AJNQE021,AJNQE022,AJNQE023,AJNQE024,AJNQE025,AJNQE026,AJNQE027,NAME_M,AJNQM001,AJNQM002,AJNQM003,AJNQM004,AJNQM005,AJNQM006,AJNQM007,AJNQM008,AJNQM009,AJNQM010,AJNQM011,AJNQM012,AJNQM013,AJNQM014,AJNQM015,AJNQM016,AJNQM017,AJNQM018,AJNQM019,AJNQM020,AJNQM021,AJNQM022,AJNQM023,AJNQM024,AJNQM025,AJNQM026,AJNQM027
"G0100030","2018","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",63010,1210,258,213,398,249,746,215,209,1063,447,1097,2312,1536,4856,4340,7845,5992,8179,4807,8185,3203,3861,956,583,250,0,"Baldwin County, Alabama",3045,604,195,189,444,286,568,192,178,483,283,521,1030,639,1397,975,1436,1288,1562,1075,1564,940,1023,432,312,200,201
"G0100150","2018","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",31036,615,765,388,336,370,429,277,1566,1054,1907,805,1875,1571,4076,3100,3271,1501,2599,1963,1397,478,527,95,71,0,0,"Calhoun County, Alabama",1883,275,427,225,254,232,282,211,699,477,619,382,650,756,979,851,894,697,887,748,601,353,450,168,117,201,201
"G0100430","2018","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",22760,297,413,276,464,271,1021,204,479,1004,981,1077,1305,905,2467,1976,2432,1208,1783,1347,1341,895,199,206,9,121,79,"Cullman County, Alabama",1481,230,273,178,407,194,590,219,386,395,498,483,548,390,725,685,626,498,765,550,524,517,174,181,15,215,133
"G0100490","2018","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",19171,293,769,848,581,1024,239,171,335,953,520,750,946,1046,2307,964,2261,563,1481,729,1529,300,212,291,59,0,0,"DeKalb County, Alabama",1366,256,551,476,448,646,228,138,300,530,328,412,444,512,803,532,754,303,677,301,468,269,177,215,99,201,201
"G0100510","2018","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",22169,577,332,41,185,0,55,240,725,420,466,1064,611,803,1690,2210,2557,1104,2692,2902,2078,953,264,37,92,71,0,"Elmore County, Alabama",1472,404,314,71,182,201,92,242,657,348,303,616,416,428,596,702,814,432,833,895,748,460,197,63,120,85,201
"G0100550","2018","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",27383,506,255,228,564,352,817,74,1289,2605,1222,889,1141,1035,2441,2428,2790,2168,2435,1622,1624,168,295,234,152,0,49,"Etowah County, Alabama",1637,237,268,220,384,288,459,85,513,706,545,425,475,440,776,997,795,768,811,554,750,160,298,367,206,201,80
"G0100690","2018","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",26166,449,210,288,156,190,342,218,729,1494,1024,1200,1253,1764,2938,2673,2531,1564,2422,1874,1621,394,361,216,203,10,42,"Houston County, Alabama",910,146,113,141,73,90,137,123,361,438,288,253,352,499,540,363,317,311,455,478,360,132,130,128,158,16,36
"G0100730","2018","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",161306,1075,1323,1003,1326,2024,1678,1083,5815,4307,6477,8179,6764,5910,14611,10434,12756,8389,17732,14762,13936,7643,8343,3402,1376,520,438,"Jefferson County, Alabama",3860,532,548,459,450,772,718,418,1450,1009,1210,1640,1529,1302,2169,1534,1701,1330,2395,1711,1986,1190,1163,920,565,335,230
"G0100770","2018","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",25516,85,102,219,29,288,282,144,999,779,313,659,851,880,2773,3290,3435,2035,2325,2163,1861,910,662,344,88,0,0,"Lauderdale County, Alabama",1628,98,115,190,38,246,178,179,550,389,211,332,400,432,790,858,796,886,697,601,639,476,356,307,146,201,201
"G0100810","2018","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",36498,1557,677,219,687,278,191,66,1434,563,813,618,939,1180,2403,2755,2714,3774,4312,3990,3416,1734,1605,573,0,0,0,"Lee County, Alabama",2153,838,500,226,466,331,274,114,815,524,642,516,439,642,870,1104,847,1096,980,1290,1028,763,577,441,201,201,201
