        AJNQE001:    Total
        AJNQE002:    Less than $10,000
        AJNQE003:    $10,000 to $14,999
        AJNQE004:    $15,000 to $19,999
        AJNQE005:    $20,000 to $24,999
        AJNQE006:    $25,000 to $29,999
        AJNQE007:    $30,000 to $34,999
        AJNQE008:    $35,000 to $39,999
        AJNQE009:    $40,000 to $49,999
        AJNQE010:    $50,000 to $59,999
        AJNQE011:    $60,000 to $69,999
        AJNQE012:    $70,000 to $79,999
        AJNQE013:    $80,000 to $89,999
        AJNQE014:    $90,000 to $99,999
        AJNQE015:    $100,000 to $124,999
        AJNQE016:    $125,000 to $149,999
        AJNQE017:    $150,000 to $174,999
        AJNQE018:    $175,000 to $199,999
        AJNQE019:    $200,000 to $249,999
        AJNQE020:    $250,000 to $299,999
        AJNQE021:    $300,000 to $399,999
        AJNQE022:    $400,000 to $499,999
        AJNQE023:    $500,000 to $749,999
        AJNQE024:    $750,000 to $999,999
        AJNQE025:    $1,000,000 to $1,499,999
        AJNQE026:    $1,500,000 to $1,999,999
        AJNQE027:    $2,000,000 or more
