GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ALLGE001,ALLGE002,ALLGE003,ALLGE004,ALLGE005,ALLGE006,ALLGE007,ALLGE008,ALLGE009,ALLGE010,ALLGE011,ALLGE012,ALLGE013,ALLGE014,ALLGE015,ALLGE016,ALLGE017,ALLGE018,ALLGE019,ALLGE020,ALLGE021,ALLGE022,ALLGE023,ALLGE024,ALLGE025,ALLGE026,ALLGE027,NAME_M,ALLGM001,ALLGM002,ALLGM003,ALLGM004,ALLGM005,ALLGM006,ALLGM007,ALLGM008,ALLGM009,ALLGM010,ALLGM011,ALLGM012,ALLGM013,ALLGM014,ALLGM015,ALLGM016,ALLGM017,ALLGM018,ALLGM019,ALLGM020,ALLGM021,ALLGM022,ALLGM023,ALLGM024,ALLGM025,ALLGM026,ALLGM027
"G0100030","2019","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",65297,981,766,511,294,106,866,38,629,1763,1400,421,620,1296,2552,3772,7464,4457,10187,5851,9794,3925,4460,1405,1229,117,393,"Baldwin County, Alabama",3301,576,665,328,239,131,534,65,357,1000,1119,296,378,544,833,1075,1571,1128,2178,1512,1895,1348,1326,654,745,85,372
"G0100150","2019","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",31479,1059,298,218,1099,335,263,545,857,873,1154,2822,1946,810,4005,4672,1647,1891,2575,1002,1875,247,1011,190,85,0,0,"Calhoun County, Alabama",2175,472,230,238,647,253,206,385,448,408,611,902,789,411,1115,1284,697,560,827,487,725,166,684,253,121,206,206
"G0100430","2019","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",24314,654,186,664,656,266,193,0,816,581,399,1270,1403,1149,2365,3094,2201,1555,1868,1312,1502,1357,566,54,203,0,0,"Cullman County, Alabama",1581,351,192,367,471,221,148,206,581,393,249,577,559,343,664,982,814,491,525,586,665,689,329,90,204,206,206
"G0100490","2019","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",17793,422,212,119,211,244,795,188,1021,877,655,1452,1507,400,1301,1332,2061,756,2221,934,974,9,9,0,6,87,0,"DeKalb County, Alabama",1391,203,226,118,245,189,428,136,590,372,337,628,717,256,425,461,853,460,833,481,412,16,16,206,11,137,206
"G0100510","2019","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",22863,1136,221,11,353,192,372,0,228,274,471,555,1011,477,1227,2198,2583,2666,2628,1782,2712,540,1061,65,0,65,35,"Elmore County, Alabama",1637,737,206,21,263,276,263,206,199,265,437,471,733,238,509,981,892,744,937,634,959,397,530,82,206,84,59
"G0100550","2019","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",29176,427,594,490,296,492,598,771,1216,1221,1954,1028,1745,943,2426,3874,3166,1848,3721,457,1225,238,357,18,0,0,71,"Etowah County, Alabama",1965,280,493,358,287,351,292,395,513,538,775,363,600,410,818,962,906,712,950,244,441,193,253,31,206,206,90
"G0100690","2019","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",25807,498,305,208,186,81,186,511,598,851,810,1140,1203,1062,1904,2714,2881,1807,2520,2477,1939,949,706,81,91,0,99,"Houston County, Alabama",1022,163,148,166,104,47,83,327,192,224,268,296,338,254,305,535,428,318,522,519,389,453,340,61,53,206,78
"G0100730","2019","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",161480,1245,1075,1159,335,976,1042,1200,3300,6285,6675,5740,6109,6461,14646,11944,15683,9027,17303,13312,14486,7518,8893,4230,1745,681,410,"Jefferson County, Alabama",3568,548,557,551,238,488,471,446,914,1533,1291,1121,1395,1335,2327,2037,2142,1225,2407,1890,1689,1232,1441,1198,604,259,260
"G0100770","2019","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",24944,324,125,130,395,154,133,25,190,634,443,1462,1989,1287,2027,2991,2684,1985,3084,1356,2127,371,550,289,0,106,83,"Lauderdale County, Alabama",1622,412,159,146,416,143,109,36,137,446,252,704,905,458,612,897,790,723,861,544,705,263,301,211,206,159,133
"G0100810","2019","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",43362,2651,642,162,1370,202,442,0,1753,594,193,1255,618,271,3398,2881,4216,3229,5072,3525,5272,2620,1339,1072,402,0,183,"Lee County, Alabama",2225,965,477,288,785,236,349,206,863,522,227,805,413,247,1085,1181,1326,1021,1315,1379,1304,881,802,588,331,206,210
"G0100830","2019","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"05000US01083","Limestone County, Alabama",25166,591,291,119,83,174,207,161,385,274,144,683,698,655,2681,1906,3064,1372,4044,1883,2680,1204,578,798,256,107,128,"Limestone County, Alabama",1564,479,260,145,140,174,171,229,292,269,118,525,374,262,841,665,932,501,1049,746,724,672,329,560,306,186,132
"G0100890","2019","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",103919,976,673,355,211,793,932,286,872,1060,2117,2114,3292,3454,7177,8790,11226,10084,15063,12348,12101,5138,3106,998,432,0,321,"Madison County, Alabama",3198,521,566,229,230,505,584,238,452,409,766,705,948,1116,1390,1689,1868,1806,1807,2035,1763,1029,744,546,374,206,287
"G0100950","2019","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"05000US01095","Marshall County, Alabama",24884,130,239,231,206,445,233,13,768,558,760,1476,773,1649,3875,2553,2577,1962,1920,2029,1007,364,834,230,45,0,7,"Marshall County, Alabama",1537,108,225,165,158,330,241,18,389,336,394,555,287,603,936,845,702,870,723,730,369,299,423,199,60,206,12
"G0100970","2019","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"05000US01097","Mobile County, Alabama",98897,1343,1362,810,834,949,749,1457,3266,3661,4711,3914,5146,5223,9796,10632,12436,7286,9774,5789,4270,2415,1986,715,137,164,72,"Mobile County, Alabama",3313,640,616,412,415,626,398,602,917,910,1255,1211,1164,1096,1589,1638,1634,1444,1412,1354,1099,806,597,312,154,119,90
"G0101010","2019","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",52039,1197,230,286,593,126,864,581,1760,1775,1436,2799,3300,2308,6418,6308,2661,3085,4085,3689,5097,1572,1181,500,25,0,163,"Montgomery County, Alabama",2421,449,232,157,320,132,431,378,587,668,536,769,1081,678,1742,1296,750,878,1066,896,1057,620,358,302,44,206,166
"G0101030","2019","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",34777,534,350,461,33,189,247,239,632,881,976,2200,2449,1682,3279,2940,4580,2673,3573,3035,2228,792,407,330,67,0,0,"Morgan County, Alabama",1986,278,338,355,55,236,214,294,375,419,468,790,1060,640,979,899,1081,978,1074,886,834,375,340,272,83,206,206
"G0101150","2019","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",25631,766,131,837,337,47,1014,278,413,1236,253,232,697,1338,1522,2119,2724,1641,3107,1441,3467,991,702,338,0,0,0,"St. Clair County, Alabama",1714,627,130,476,441,82,861,322,311,703,252,285,505,998,664,883,886,551,940,573,1074,477,430,303,206,206,206
"G0101170","2019","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",68557,933,255,205,340,52,459,45,438,306,517,611,1321,567,3009,6020,6527,7112,9387,7149,10942,5886,4506,1562,197,148,63,"Shelby County, Alabama",1868,435,194,169,369,67,327,75,373,254,298,307,827,335,662,1192,1272,1459,1415,1217,1308,1137,1009,581,170,233,76
"G0101210","2019","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",22560,787,554,379,110,407,512,681,880,469,1327,1250,1034,1051,2359,1981,2340,2162,1753,1052,645,386,163,278,0,0,0,"Talladega County, Alabama",1655,356,463,282,116,303,291,487,500,298,668,608,653,620,835,743,823,865,727,509,401,282,189,200,206,206,206
"G0101250","2019","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",46998,2176,517,171,487,347,407,64,442,645,691,440,1218,777,4092,3402,6630,5223,6709,4346,3341,1698,1922,1098,25,63,67,"Tuscaloosa County, Alabama",2067,680,408,165,291,270,354,81,276,351,457,238,598,460,955,988,1787,1332,1271,1056,822,585,667,551,45,109,111
"G0101270","2019","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,"05000US01127","Walker County, Alabama",19645,392,383,220,1090,348,185,211,779,908,884,680,952,563,1440,1856,2867,1153,1454,1663,880,20,406,113,198,0,0,"Walker County, Alabama",1325,221,273,181,476,229,159,197,344,502,528,352,386,350,530,695,853,560,615,612,474,38,461,180,208,206,206
"G0200200","2019","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality, Alaska",64218,357,266,157,343,82,0,117,860,96,178,48,726,167,1574,2054,2422,2063,7231,10585,19120,7010,6617,1581,348,78,138,"Anchorage Municipality, Alaska",2853,331,233,196,376,141,163,194,461,162,215,80,731,214,535,961,1045,816,1462,1797,1799,1120,1132,590,247,90,164
"G0200900","2019","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough, Alaska",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fairbanks North Star Borough, Alaska",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0201700","2019","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,"05000US02170","Matanuska-Susitna Borough, Alaska",24952,258,28,0,185,117,20,197,212,351,271,166,173,219,607,1079,1689,1543,4514,3602,5369,2551,1377,252,154,0,18,"Matanuska-Susitna Borough, Alaska",926,146,33,163,119,138,33,143,165,170,144,102,131,139,277,334,470,413,668,618,796,628,349,171,149,163,31
"G0400010","2019","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,"05000US04001","Apache County, Arizona",16717,1629,524,139,1662,972,354,128,1304,473,555,1403,1303,115,1293,199,1097,983,555,630,544,725,130,0,0,0,0,"Apache County, Arizona",1015,374,217,105,446,602,174,93,333,441,226,498,327,123,488,179,454,555,285,359,325,549,89,218,218,218,218
"G0400030","2019","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,"05000US04003","Cochise County, Arizona",35253,257,164,351,274,402,264,835,990,1194,866,998,1608,2063,4466,2337,3461,3087,4726,2444,2533,1361,426,146,0,0,0,"Cochise County, Arizona",1800,207,147,247,197,335,211,571,648,557,338,484,711,696,1287,686,828,999,1174,711,640,552,304,194,218,218,218
