        ALLGE001:    Total
        ALLGE002:    Less than $10,000
        ALLGE003:    $10,000 to $14,999
        ALLGE004:    $15,000 to $19,999
        ALLGE005:    $20,000 to $24,999
        ALLGE006:    $25,000 to $29,999
        ALLGE007:    $30,000 to $34,999
        ALLGE008:    $35,000 to $39,999
        ALLGE009:    $40,000 to $49,999
        ALLGE010:    $50,000 to $59,999
        ALLGE011:    $60,000 to $69,999
        ALLGE012:    $70,000 to $79,999
        ALLGE013:    $80,000 to $89,999
        ALLGE014:    $90,000 to $99,999
        ALLGE015:    $100,000 to $124,999
        ALLGE016:    $125,000 to $149,999
        ALLGE017:    $150,000 to $174,999
        ALLGE018:    $175,000 to $199,999
        ALLGE019:    $200,000 to $249,999
        ALLGE020:    $250,000 to $299,999
        ALLGE021:    $300,000 to $399,999
        ALLGE022:    $400,000 to $499,999
        ALLGE023:    $500,000 to $749,999
        ALLGE024:    $750,000 to $999,999
        ALLGE025:    $1,000,000 to $1,499,999
        ALLGE026:    $1,500,000 to $1,999,999
        ALLGE027:    $2,000,000 or more
