        AMV9E001:    Total
        AMV9E002:    Less than $10,000
        AMV9E003:    $10,000 to $14,999
        AMV9E004:    $15,000 to $19,999
        AMV9E005:    $20,000 to $24,999
        AMV9E006:    $25,000 to $29,999
        AMV9E007:    $30,000 to $34,999
        AMV9E008:    $35,000 to $39,999
        AMV9E009:    $40,000 to $49,999
        AMV9E010:    $50,000 to $59,999
        AMV9E011:    $60,000 to $69,999
        AMV9E012:    $70,000 to $79,999
        AMV9E013:    $80,000 to $89,999
        AMV9E014:    $90,000 to $99,999
        AMV9E015:    $100,000 to $124,999
        AMV9E016:    $125,000 to $149,999
        AMV9E017:    $150,000 to $174,999
        AMV9E018:    $175,000 to $199,999
        AMV9E019:    $200,000 to $249,999
        AMV9E020:    $250,000 to $299,999
        AMV9E021:    $300,000 to $399,999
        AMV9E022:    $400,000 to $499,999
        AMV9E023:    $500,000 to $749,999
        AMV9E024:    $750,000 to $999,999
        AMV9E025:    $1,000,000 to $1,499,999
        AMV9E026:    $1,500,000 to $1,999,999
        AMV9E027:    $2,000,000 or more
