GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,AN8XE001,AN8XE002,AN8XE003,AN8XE004,AN8XE005,AN8XE006,AN8XE007,AN8XE008,AN8XE009,AN8XE010,AN8XE011,AN8XE012,AN8XE013,AN8XE014,AN8XE015,AN8XE016,AN8XE017,AN8XE018,AN8XE019,AN8XE020,AN8XE021,AN8XE022,AN8XE023,AN8XE024,AN8XE025,AN8XE026,AN8XE027,NAME_M,AN8XM001,AN8XM002,AN8XM003,AN8XM004,AN8XM005,AN8XM006,AN8XM007,AN8XM008,AN8XM009,AN8XM010,AN8XM011,AN8XM012,AN8XM013,AN8XM014,AN8XM015,AN8XM016,AN8XM017,AN8XM018,AN8XM019,AN8XM020,AN8XM021,AN8XM022,AN8XM023,AN8XM024,AN8XM025,AN8XM026,AN8XM027
"G0100030","2021","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"0500000US01003","01003","Baldwin County, Alabama",71380,583,659,785,590,18,411,316,887,500,705,948,932,796,2217,2840,3609,5812,12098,8481,13262,4537,7140,2110,969,0,175,"Baldwin County, Alabama",3609,587,453,915,386,31,334,242,627,453,543,524,499,597,957,958,1216,1711,2314,1565,2494,1291,1751,930,616,216,185
"G0100150","2021","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"0500000US01015","01015","Calhoun County, Alabama",32470,1365,279,438,568,570,724,180,624,933,1551,1422,1493,1113,3329,2861,3288,3421,2698,2694,1489,904,324,87,0,115,0,"Calhoun County, Alabama",1757,597,194,429,417,448,367,164,393,404,545,630,776,577,1116,783,974,1284,894,877,627,540,228,147,216,141,216
"G0100430","2021","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"0500000US01043","01043","Cullman County, Alabama",26688,770,810,342,200,303,67,182,537,309,1383,1017,641,735,2471,1635,3061,1722,3765,1440,2454,1426,1093,25,51,0,249,"Cullman County, Alabama",1691,431,535,353,172,299,88,281,344,193,759,479,452,593,828,663,905,819,929,638,906,721,587,22,85,216,343
"G0100490","2021","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"0500000US01049","01049","DeKalb County, Alabama",19663,261,464,116,532,378,385,225,1090,1526,1284,610,1330,1021,1371,1032,2131,888,1636,1354,1186,356,231,256,0,0,0,"DeKalb County, Alabama",1126,167,309,107,426,295,353,191,577,670,597,409,640,512,503,398,592,369,504,578,557,161,220,306,216,216,216
"G0100510","2021","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"0500000US01051","01051","Elmore County, Alabama",22990,1050,139,370,128,113,292,58,189,1007,576,157,574,287,1229,1820,2442,1432,2913,3100,2817,1150,539,380,228,0,0,"Elmore County, Alabama",1867,712,168,335,142,133,262,72,204,565,313,159,363,273,559,755,1207,571,842,983,859,608,397,377,203,216,216
"G0100550","2021","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"0500000US01055","01055","Etowah County, Alabama",27864,462,171,225,196,864,523,601,1094,775,1521,1061,1360,623,3778,2043,3180,1338,2594,1824,1861,1349,304,117,0,0,0,"Etowah County, Alabama",1689,315,139,163,145,484,287,417,583,378,578,542,615,408,1118,563,910,641,718,648,723,674,221,192,216,216,216
"G0100690","2021","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"0500000US01069","01069","Houston County, Alabama",28246,280,284,527,488,347,80,164,462,1203,1398,701,1167,836,2717,2751,3262,2195,2530,2134,2393,1232,837,114,111,17,16,"Houston County, Alabama",958,119,148,234,199,204,58,126,198,474,559,253,369,274,479,599,565,388,477,676,539,482,446,88,122,29,27
"G0100730","2021","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"0500000US01073","01073","Jefferson County, Alabama",173994,1825,1372,763,953,628,1396,1018,2423,3953,7208,6077,6245,4141,15793,10403,16377,10071,16416,15111,21632,12338,9851,4091,2531,831,547,"Jefferson County, Alabama",4091,573,531,367,501,320,636,566,924,1314,1466,1394,1235,1038,2489,1989,2306,1895,2135,2318,2559,1996,1579,1007,837,439,283
"G0100770","2021","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"0500000US01077","01077","Lauderdale County, Alabama",25600,695,145,97,222,49,48,65,712,610,410,979,2128,657,1955,1282,2720,1924,3014,2207,3420,1158,281,589,225,0,8,"Lauderdale County, Alabama",1692,435,143,111,227,84,85,99,469,360,261,541,831,396,775,520,852,735,1020,891,1011,600,231,447,276,216,14
"G0100810","2021","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"0500000US01081","01081","Lee County, Alabama",43635,648,851,1058,981,375,103,50,1619,760,1046,625,512,817,2474,4198,3307,2059,4775,3713,7490,2693,1820,1108,335,0,218,"Lee County, Alabama",2507,474,607,652,700,364,125,65,981,460,592,516,416,631,1125,1314,1214,850,1393,956,1557,915,751,647,351,216,268
