        AN8XE001:    Total
        AN8XE002:    Less than $10,000
        AN8XE003:    $10,000 to $14,999
        AN8XE004:    $15,000 to $19,999
        AN8XE005:    $20,000 to $24,999
        AN8XE006:    $25,000 to $29,999
        AN8XE007:    $30,000 to $34,999
        AN8XE008:    $35,000 to $39,999
        AN8XE009:    $40,000 to $49,999
        AN8XE010:    $50,000 to $59,999
        AN8XE011:    $60,000 to $69,999
        AN8XE012:    $70,000 to $79,999
        AN8XE013:    $80,000 to $89,999
        AN8XE014:    $90,000 to $99,999
        AN8XE015:    $100,000 to $124,999
        AN8XE016:    $125,000 to $149,999
        AN8XE017:    $150,000 to $174,999
        AN8XE018:    $175,000 to $199,999
        AN8XE019:    $200,000 to $249,999
        AN8XE020:    $250,000 to $299,999
        AN8XE021:    $300,000 to $399,999
        AN8XE022:    $400,000 to $499,999
        AN8XE023:    $500,000 to $749,999
        AN8XE024:    $750,000 to $999,999
        AN8XE025:    $1,000,000 to $1,499,999
        AN8XE026:    $1,500,000 to $1,999,999
        AN8XE027:    $2,000,000 or more
