        AQDXE001:    Total
        AQDXE002:    Less than $10,000
        AQDXE003:    $10,000 to $14,999
        AQDXE004:    $15,000 to $19,999
        AQDXE005:    $20,000 to $24,999
        AQDXE006:    $25,000 to $29,999
        AQDXE007:    $30,000 to $34,999
        AQDXE008:    $35,000 to $39,999
        AQDXE009:    $40,000 to $49,999
        AQDXE010:    $50,000 to $59,999
        AQDXE011:    $60,000 to $69,999
        AQDXE012:    $70,000 to $79,999
        AQDXE013:    $80,000 to $89,999
        AQDXE014:    $90,000 to $99,999
        AQDXE015:    $100,000 to $124,999
        AQDXE016:    $125,000 to $149,999
        AQDXE017:    $150,000 to $174,999
        AQDXE018:    $175,000 to $199,999
        AQDXE019:    $200,000 to $249,999
        AQDXE020:    $250,000 to $299,999
        AQDXE021:    $300,000 to $399,999
        AQDXE022:    $400,000 to $499,999
        AQDXE023:    $500,000 to $749,999
        AQDXE024:    $750,000 to $999,999
        AQDXE025:    $1,000,000 to $1,499,999
        AQDXE026:    $1,500,000 to $1,999,999
        AQDXE027:    $2,000,000 or more
