GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,RNGE001,RNGE002,RNGE003,RNGE004,RNGE005,RNGE006,RNGE007,RNGE008,RNGE009,RNGE010,RNGE011,RNGE012,RNGE013,RNGE014,RNGE015,RNGE016,RNGE017,NAME_M,RNGM001,RNGM002,RNGM003,RNGM004,RNGM005,RNGM006,RNGM007,RNGM008,RNGM009,RNGM010,RNGM011,RNGM012,RNGM013,RNGM014,RNGM015,RNGM016,RNGM017
"G0100010","2005-2009","AL",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01001","Autauga County, Alabama",18288,1261,979,811,835,1139,905,1089,964,931,1661,1950,2760,1317,825,605,256,"Autauga County, Alabama",278,197,170,174,168,226,206,187,225,169,253,228,246,182,141,151,89
"G0100030","2005-2009","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",68497,3730,3406,3758,4495,4416,3949,3942,4141,3137,5968,7281,8275,5120,2541,2201,2137,"Baldwin County, Alabama",1123,529,440,455,584,544,488,491,503,402,549,687,587,435,387,291,285
"G0100050","2005-2009","AL",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01005","Barbour County, Alabama",10645,2094,918,728,708,597,580,780,527,411,1078,812,695,340,139,155,83,"Barbour County, Alabama",372,258,210,162,160,144,178,171,163,131,284,155,154,114,65,58,52
"G0100070","2005-2009","AL",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01007","Bibb County, Alabama",7525,612,565,443,525,656,406,469,379,319,836,826,704,394,271,104,16,"Bibb County, Alabama",342,160,157,132,180,220,142,158,150,184,243,211,161,173,129,80,29
"G0100090","2005-2009","AL",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01009","Blount County, Alabama",19228,1470,1333,1420,1020,1029,1099,1094,1051,1045,1921,2327,2054,1243,426,442,254,"Blount County, Alabama",455,246,235,228,191,213,232,190,204,250,265,337,234,230,143,123,95
"G0100110","2005-2009","AL",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01011","Bullock County, Alabama",3929,914,250,420,264,245,379,100,127,147,269,183,351,132,24,45,79,"Bullock County, Alabama",225,238,116,158,142,146,186,68,73,114,119,116,166,82,37,49,54
"G0100130","2005-2009","AL",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01013","Butler County, Alabama",8056,1102,893,712,608,551,543,469,468,319,555,708,600,209,139,113,67,"Butler County, Alabama",346,200,175,159,153,121,142,118,126,93,151,158,153,81,73,90,44
"G0100150","2005-2009","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",47046,5676,3831,3149,3128,2759,3214,2555,2381,2060,3872,4664,4655,2364,1062,961,715,"Calhoun County, Alabama",738,520,350,319,401,385,427,318,346,311,426,457,404,327,185,206,177
"G0100170","2005-2009","AL",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01017","Chambers County, Alabama",13672,1544,1382,1138,1216,1048,820,941,726,490,1229,1236,1062,564,149,71,56,"Chambers County, Alabama",401,228,210,209,226,255,149,188,138,132,218,219,208,141,63,47,34
"G0100190","2005-2009","AL",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01019","Cherokee County, Alabama",10261,1043,927,636,792,652,548,495,732,498,921,913,1253,431,127,203,90,"Cherokee County, Alabama",407,218,230,162,191,201,170,155,144,176,251,223,265,128,73,95,64
