GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,L33E001,L33E002,L33E003,L33E004,L33E005,L33E006,L33E007,L33E008,L33E009,L33E010,L33E011,L33E012,L33E013,L33E014,L33E015,L33E016,L33E017,NAME_M,L33M001,L33M002,L33M003,L33M004,L33M005,L33M006,L33M007,L33M008,L33M009,L33M010,L33M011,L33M012,L33M013,L33M014,L33M015,L33M016,L33M017
"G0100030","2011","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",74460,4116,3805,4115,4545,4900,2929,4241,3773,4158,4974,8474,9373,5055,3936,4017,2049,"Baldwin County, Alabama",4575,1070,1603,1521,1421,1354,920,1843,1344,1648,1344,2369,1849,1370,1252,1341,838
"G0100150","2011","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",44722,5155,3652,3445,3005,2970,2391,2190,2052,2715,3620,5283,3894,2259,945,512,634,"Calhoun County, Alabama",1678,1131,827,902,786,840,731,798,669,762,827,1175,850,777,479,280,360
"G0100430","2011","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",31954,3836,2198,2858,2240,1396,2055,1383,1467,1018,2873,3540,3366,1972,755,742,255,"Cullman County, Alabama",1234,988,759,894,745,522,707,533,531,547,877,792,900,635,490,451,197
"G0100490","2011","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",27139,2807,2881,1484,1980,2145,1586,2056,1312,1763,2149,2155,2899,492,346,358,726,"DeKalb County, Alabama",1036,776,960,488,1054,696,736,683,602,611,896,543,790,282,266,220,800
"G0100510","2011","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",28469,2427,1431,1098,1481,1749,543,1233,1831,891,2994,3393,4062,2652,975,1042,667,"Elmore County, Alabama",1549,940,613,552,619,615,373,579,799,452,997,925,1103,636,433,555,418
"G0100550","2011","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",40443,4673,3850,3634,3567,2670,2387,1604,1355,1200,4062,3021,3849,2091,1424,617,439,"Etowah County, Alabama",1530,879,805,652,1017,797,661,555,476,442,1000,694,805,647,598,374,299
"G0100690","2011","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",39118,3752,2432,3198,2393,3001,2152,2532,1576,1925,3247,3834,3799,2163,1096,892,1126,"Houston County, Alabama",1099,465,393,465,375,447,326,369,323,394,485,582,600,429,308,272,308
"G0100730","2011","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",255059,26113,17560,16049,17754,16190,14122,13206,12944,9829,18890,22913,25964,16763,8642,8434,9686,"Jefferson County, Alabama",4014,2563,2155,2112,1822,2306,1736,1901,2126,1542,2217,2553,2619,1828,1307,1472,1483
"G0100770","2011","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",39331,4141,2957,1889,2611,3353,2704,1953,2099,1958,2711,4636,4171,2018,698,1086,346,"Lauderdale County, Alabama",1217,1012,920,621,801,904,692,819,779,746,830,1243,1359,620,397,488,280
"G0100810","2011","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",56274,8108,4235,2293,3726,2870,2881,1908,4051,2987,3850,5474,6112,3680,1598,1308,1193,"Lee County, Alabama",1821,1627,1388,902,1351,1009,1043,739,1303,990,1179,1343,1405,970,804,723,649
"G0100830","2011","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"05000US01083","Limestone County, Alabama",32648,2152,3008,1228,2646,1777,1751,1551,1290,2723,2914,2101,4131,1961,916,1685,814,"Limestone County, Alabama",1787,1050,884,635,1016,772,586,568,603,997,962,703,1028,741,481,854,409
"G0100890","2011","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",133173,9038,7222,7820,7996,6911,5833,6014,6239,4748,9244,12646,14463,13542,7016,7851,6590,"Madison County, Alabama",2522,1386,1445,1151,1559,1179,1378,1109,1239,1014,1597,1693,1841,1908,1109,1693,1241
