GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,O34E001,O34E002,O34E003,O34E004,O34E005,O34E006,O34E007,O34E008,O34E009,O34E010,O34E011,O34E012,O34E013,O34E014,O34E015,O34E016,O34E017,NAME_M,O34M001,O34M002,O34M003,O34M004,O34M005,O34M006,O34M007,O34M008,O34M009,O34M010,O34M011,O34M012,O34M013,O34M014,O34M015,O34M016,O34M017
"G0100030","2012","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",77978,5803,4615,4458,5063,4192,4190,4277,3645,4228,5557,7364,10310,6087,2894,3434,1861,"Baldwin County, Alabama",3040,1279,1129,1419,1186,1104,1076,1326,1020,1366,1205,1703,1788,1173,899,996,800
"G0100150","2012","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",45986,5015,3441,3687,2991,2890,2857,2406,2905,2529,3793,4197,3584,2761,1328,962,640,"Calhoun County, Alabama",1290,1324,849,1002,773,833,955,751,774,723,1074,822,1020,679,435,446,326
"G0100430","2012","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",31450,2997,3430,1740,1779,2219,2389,2411,2242,1382,2073,2959,3658,751,662,281,477,"Cullman County, Alabama",1372,751,873,556,594,609,883,642,752,486,591,682,844,360,306,184,306
"G0100490","2012","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",23776,1995,1999,1647,1658,1818,1155,2492,1581,763,2272,2257,2222,1044,474,214,185,"DeKalb County, Alabama",1491,547,591,555,564,618,443,911,733,328,662,593,580,496,426,171,180
"G0100510","2012","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",28246,1626,1338,1104,1145,1490,1616,1653,1388,1615,2332,4096,3900,2107,1732,958,146,"Elmore County, Alabama",1253,700,502,407,659,565,732,500,496,654,718,1037,1136,710,675,450,130
"G0100550","2012","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",39031,3637,3602,4020,3544,2255,2748,1783,1329,1809,3276,3989,4138,1015,944,269,673,"Etowah County, Alabama",1477,821,913,761,868,653,717,567,439,565,777,955,998,502,462,168,309
"G0100690","2012","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",38571,3724,3535,2342,2606,2200,2878,1849,1895,1613,2821,3293,3851,2185,1255,1447,1077,"Houston County, Alabama",888,467,478,333,436,469,569,390,345,324,436,399,564,378,372,498,257
"G0100730","2012","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",258192,27538,18727,14402,14636,12531,15922,14365,13065,10126,19166,23050,27404,20283,8620,9260,9097,"Jefferson County, Alabama",4179,2321,2252,1740,1573,1680,2279,1777,1469,1593,1889,2369,2588,2270,1441,1525,1289
"G0100770","2012","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",36791,4314,2832,3322,1828,1836,1627,1836,1599,1475,2806,4242,3575,2171,1412,1170,746,"Lauderdale County, Alabama",1390,964,824,862,717,707,624,609,558,555,775,891,970,615,659,552,315
"G0100810","2012","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",55520,8131,3014,3239,3878,2260,2688,2559,1972,2130,3558,5723,7090,4173,1676,1893,1536,"Lee County, Alabama",2186,1401,959,941,980,848,867,913,580,746,948,1492,1449,1187,688,678,566
