        O34E001:     Total
        O34E002:     Less than $10,000
        O34E003:     $10,000 to $14,999
        O34E004:     $15,000 to $19,999
        O34E005:     $20,000 to $24,999
        O34E006:     $25,000 to $29,999
        O34E007:     $30,000 to $34,999
        O34E008:     $35,000 to $39,999
        O34E009:     $40,000 to $44,999
        O34E010:     $45,000 to $49,999
        O34E011:     $50,000 to $59,999
        O34E012:     $60,000 to $74,999
        O34E013:     $75,000 to $99,999
        O34E014:     $100,000 to $124,999
        O34E015:     $125,000 to $149,999
        O34E016:     $150,000 to $199,999
        O34E017:     $200,000 or more
