GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,SUYE001,SUYE002,SUYE003,SUYE004,SUYE005,SUYE006,SUYE007,SUYE008,SUYE009,SUYE010,SUYE011,SUYE012,SUYE013,SUYE014,SUYE015,SUYE016,SUYE017,NAME_M,SUYM001,SUYM002,SUYM003,SUYM004,SUYM005,SUYM006,SUYM007,SUYM008,SUYM009,SUYM010,SUYM011,SUYM012,SUYM013,SUYM014,SUYM015,SUYM016,SUYM017
"G0100030","2013","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",70259,4657,3723,4967,5254,3820,3958,3598,5274,2941,5772,5871,8010,4270,3016,2401,2727,"Baldwin County, Alabama",2730,1553,961,1407,1334,1064,1171,1197,1553,927,1267,1248,1518,979,905,991,941
"G0100150","2013","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",43851,6133,3215,2294,3054,2756,3975,2189,2515,2085,3306,4194,3835,2076,836,780,608,"Calhoun County, Alabama",1874,1276,881,682,894,795,1342,707,731,701,822,1016,805,568,535,390,414
"G0100430","2013","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",32225,3881,1789,2066,1943,1679,1916,2864,2067,1308,2473,3205,3063,1889,780,705,597,"Cullman County, Alabama",1220,983,581,642,825,647,667,1009,704,494,742,763,990,767,307,321,336
"G0100490","2013","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",22754,1910,1518,1968,1648,1226,1308,1675,911,2107,1846,2691,2137,1215,247,210,137,"DeKalb County, Alabama",1532,555,534,744,538,480,538,646,409,924,583,982,696,593,168,187,114
"G0100510","2013","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",28292,1962,1526,1164,1408,1640,2127,1509,1153,1492,2605,3382,3881,2714,659,552,518,"Elmore County, Alabama",1265,771,631,535,558,676,869,613,542,621,752,848,1085,897,377,324,325
"G0100550","2013","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",40135,3873,3038,3307,3339,3238,1395,2044,2207,1731,3015,4664,3866,2502,841,670,405,"Etowah County, Alabama",1398,830,861,961,968,839,512,571,721,534,809,978,771,702,366,320,235
"G0100690","2013","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",40448,3991,3062,3323,2452,2447,2754,2627,2007,2029,2825,3332,4934,1755,1160,722,1028,"Houston County, Alabama",776,495,447,414,404,436,491,407,413,447,465,474,707,337,254,165,222
"G0100730","2013","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",257398,27067,16296,15901,14240,15613,12802,15353,11399,9568,20502,24828,24702,19020,9285,9976,10846,"Jefferson County, Alabama",4051,2633,1931,2136,1587,1675,2016,2117,1646,1202,2104,2581,2497,2442,1257,1578,1540
"G0100770","2013","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",39433,3457,3209,2249,2898,1574,2089,1636,3540,2092,3395,4454,3790,2175,1445,647,783,"Lauderdale County, Alabama",1143,900,888,785,764,556,716,665,1054,720,906,936,940,752,686,312,475
"G0100810","2013","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",56840,6940,3125,4085,3217,2693,3267,2330,2311,2186,4219,4387,6596,5693,2574,1497,1720,"Lee County, Alabama",1864,1145,938,1187,975,813,904,734,930,712,1132,974,1267,1285,915,528,652
