        SUYE001:     Total
        SUYE002:     Less than $10,000
        SUYE003:     $10,000 to $14,999
        SUYE004:     $15,000 to $19,999
        SUYE005:     $20,000 to $24,999
        SUYE006:     $25,000 to $29,999
        SUYE007:     $30,000 to $34,999
        SUYE008:     $35,000 to $39,999
        SUYE009:     $40,000 to $44,999
        SUYE010:     $45,000 to $49,999
        SUYE011:     $50,000 to $59,999
        SUYE012:     $60,000 to $74,999
        SUYE013:     $75,000 to $99,999
        SUYE014:     $100,000 to $124,999
        SUYE015:     $125,000 to $149,999
        SUYE016:     $150,000 to $199,999
        SUYE017:     $200,000 or more
