GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AAS5E001,AAS5E002,AAS5E003,AAS5E004,AAS5E005,AAS5E006,AAS5E007,AAS5E008,AAS5E009,AAS5E010,AAS5E011,AAS5E012,AAS5E013,AAS5E014,AAS5E015,AAS5E016,AAS5E017,NAME_M,AAS5M001,AAS5M002,AAS5M003,AAS5M004,AAS5M005,AAS5M006,AAS5M007,AAS5M008,AAS5M009,AAS5M010,AAS5M011,AAS5M012,AAS5M013,AAS5M014,AAS5M015,AAS5M016,AAS5M017
"G0100030","2014","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",71307,4912,4366,4771,4110,4132,3012,4406,3456,3523,5546,8629,7111,4573,3373,2545,2842,"Baldwin County, Alabama",3086,1470,1203,1277,849,1126,1036,1168,1020,1111,1372,1549,1462,1211,856,961,1030
"G0100150","2014","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",46087,5796,3878,2626,2535,2620,2671,1995,2460,2184,4350,4653,3866,3168,1389,1086,810,"Calhoun County, Alabama",1647,905,947,841,748,676,744,724,747,718,1145,1039,945,850,527,519,390
"G0100430","2014","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",30424,2431,1897,3059,2250,2849,1840,1595,1968,1584,2670,2423,2232,1703,606,740,577,"Cullman County, Alabama",1303,731,710,1006,766,853,655,660,762,573,855,738,652,646,343,340,313
"G0100490","2014","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",24720,3301,1972,1513,2653,1859,1058,940,975,826,2549,2333,2291,932,524,702,292,"DeKalb County, Alabama",1328,1021,646,471,830,578,437,493,476,455,723,810,777,399,267,382,202
"G0100510","2014","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",28352,1914,1383,1959,1492,1452,1026,1402,1006,1469,2339,2757,4946,2452,1321,611,823,"Elmore County, Alabama",1287,725,518,716,723,524,478,642,448,454,857,806,981,752,642,359,354
"G0100550","2014","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",39714,3246,3944,2617,3997,1558,1609,2629,1919,1717,3432,4885,3213,2565,1017,873,493,"Etowah County, Alabama",1503,811,879,555,898,536,623,811,656,522,972,1061,695,690,491,467,304
"G0100690","2014","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",38825,3953,3243,2996,2330,2210,2229,2600,1981,1815,2993,3514,3640,2177,1175,1059,910,"Houston County, Alabama",833,450,566,499,409,382,472,494,379,297,373,480,484,413,248,271,196
"G0100730","2014","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",261980,25309,16535,18116,15856,17080,14160,12163,12472,10688,19483,25694,28207,16845,9982,10270,9120,"Jefferson County, Alabama",3474,2066,1896,2329,1985,2105,1966,1683,1579,1484,2221,2680,2516,2136,1366,1508,1260
"G0100770","2014","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",38093,3962,2782,3103,2895,2178,1912,2063,1682,2169,3516,3229,3534,2620,993,606,849,"Lauderdale County, Alabama",1293,984,819,788,844,757,614,619,760,750,743,841,753,823,352,374,461
"G0100810","2014","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",57880,8582,4931,2365,3575,3361,2607,3551,2973,2109,3942,4200,5684,3163,1849,2678,2310,"Lee County, Alabama",2012,1607,1293,740,1095,891,912,1070,944,824,1033,1021,1159,907,707,740,775
"G0100830","2014","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"05000US01083","Limestone County, Alabama",31638,1802,1973,2335,1597,1914,1887,1150,1678,1568,2100,2494,4646,1999,1728,1813,954,"Limestone County, Alabama",1357,731,693,814,539,626,767,466,579,605,876,684,1072,722,513,712,450
"G0100890","2014","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",140771,11310,7835,5981,5741,6069,8216,6017,5797,4870,9656,13216,17692,12041,9263,9331,7736,"Madison County, Alabama",2234,1783,1521,1160,1100,1402,1603,1348,1475,1104,1550,1650,2118,1635,1571,1374,1154
"G0100950","2014","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"05000US01095","Marshall County, Alabama",34872,3125,3373,2449,4273,2261,2522,1746,1887,954,2170,2521,3183,2156,781,977,494,"Marshall County, Alabama",1287,969,844,777,867,806,837,588,603,394,558,787,746,558,447,446,211
"G0100970","2014","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"05000US01097","Mobile County, Alabama",153450,14788,9229,11152,10903,9290,8217,8011,6692,7667,11864,13658,16462,11161,6053,4935,3368,"Mobile County, Alabama",2729,1671,1301,1835,1592,1303,1579,1657,1271,1441,1687,1403,2042,1711,1341,1001,874
"G0101010","2014","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",89415,9049,6373,5860,4709,6286,5248,4200,3898,3893,7493,7254,9368,6308,3609,3527,2340,"Montgomery County, Alabama",1703,1381,1204,1186,1125,1093,1143,944,1008,862,1187,1144,1427,1199,1073,772,550
"G0101030","2014","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",45016,3561,2596,2786,2904,2638,2666,2280,3257,2397,3067,5191,4498,3930,1360,1031,854,"Morgan County, Alabama",1420,921,744,838,1042,876,951,810,1007,825,693,1193,875,965,477,395,337
"G0101150","2014","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",32267,2719,1729,2007,1566,1496,2072,1302,1241,1928,2894,4586,4178,1791,1209,1314,235,"St. Clair County, Alabama",1254,833,714,725,737,613,941,580,505,777,888,1189,1014,677,737,581,205
"G0101170","2014","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",75714,3251,2768,2834,4703,3249,3800,2184,3689,3182,5795,6020,11407,7523,5271,5872,4166,"Shelby County, Alabama",1580,772,912,771,1145,818,893,624,885,875,1222,1277,1499,1145,1088,1099,751
"G0101210","2014","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",30649,3500,2997,1544,2379,1670,1576,1669,1609,2133,2774,2742,3197,1356,983,326,194,"Talladega County, Alabama",1481,919,788,603,765,706,684,546,671,741,793,808,872,483,539,252,161
"G0101250","2014","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",68320,7021,3821,4035,4287,3791,3049,3158,3205,3060,5108,7524,8631,4186,3519,1999,1926,"Tuscaloosa County, Alabama",2407,1446,911,953,1046,879,774,1050,912,1002,874,1310,1297,935,997,455,627
