        AAS5E001:    Total
        AAS5E002:    Less than $10,000
        AAS5E003:    $10,000 to $14,999
        AAS5E004:    $15,000 to $19,999
        AAS5E005:    $20,000 to $24,999
        AAS5E006:    $25,000 to $29,999
        AAS5E007:    $30,000 to $34,999
        AAS5E008:    $35,000 to $39,999
        AAS5E009:    $40,000 to $44,999
        AAS5E010:    $45,000 to $49,999
        AAS5E011:    $50,000 to $59,999
        AAS5E012:    $60,000 to $74,999
        AAS5E013:    $75,000 to $99,999
        AAS5E014:    $100,000 to $124,999
        AAS5E015:    $125,000 to $149,999
        AAS5E016:    $150,000 to $199,999
        AAS5E017:    $200,000 or more
