GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AC2YE001,AC2YE002,AC2YE003,AC2YE004,AC2YE005,AC2YE006,AC2YE007,AC2YE008,AC2YE009,AC2YE010,AC2YE011,AC2YE012,AC2YE013,AC2YE014,AC2YE015,AC2YE016,AC2YE017,NAME_M,AC2YM001,AC2YM002,AC2YM003,AC2YM004,AC2YM005,AC2YM006,AC2YM007,AC2YM008,AC2YM009,AC2YM010,AC2YM011,AC2YM012,AC2YM013,AC2YM014,AC2YM015,AC2YM016,AC2YM017
"G0100030","2015","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",72269,3787,4331,3475,4431,3288,4869,3895,2594,3361,8187,6156,8219,4869,3718,3065,4024,"Baldwin County, Alabama",2478,1038,1406,1447,1266,1141,1272,1039,990,987,1603,1385,1375,1409,1124,965,962
"G0100150","2015","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",44323,3537,3162,3579,3085,2664,2614,1840,2931,1249,4244,4423,5048,2926,1736,1111,174,"Calhoun County, Alabama",1860,844,805,1017,854,727,775,598,844,557,947,1003,1109,936,608,535,154
"G0100430","2015","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",30798,3413,1971,2901,1607,2194,1504,2932,1952,928,1976,3043,3214,1383,461,775,544,"Cullman County, Alabama",1373,876,666,956,531,725,497,896,577,398,644,923,851,512,224,458,376
"G0100490","2015","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",26247,3245,1827,2266,1855,1519,1867,1438,1390,1179,2209,2655,2916,870,272,272,467,"DeKalb County, Alabama",1210,941,594,740,675,603,672,573,628,460,715,860,873,440,168,246,265
"G0100510","2015","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",29615,2110,1139,1254,1814,1860,2237,995,1448,1236,2131,2848,3560,3561,961,1629,832,"Elmore County, Alabama",1069,848,570,549,628,645,913,396,577,497,741,856,853,972,401,590,452
"G0100550","2015","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",39332,2527,2361,4000,2740,2689,2070,1989,2129,1890,3984,3610,5147,2486,653,670,387,"Etowah County, Alabama",1467,650,691,986,602,619,516,691,611,636,1137,947,931,658,374,326,248
"G0100690","2015","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",38870,3338,2622,2663,2309,2222,2419,2342,2107,2141,3076,3859,3577,2501,1100,1168,1426,"Houston County, Alabama",945,404,535,468,383,432,428,444,349,512,421,624,458,428,251,356,305
"G0100730","2015","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",264781,24993,16463,15472,16940,12899,13806,12878,13215,8454,21345,24739,29741,19468,10666,11644,12058,"Jefferson County, Alabama",3811,2496,2005,2222,1957,1838,2124,2160,1837,1377,2296,2445,2444,2449,1654,1975,1463
"G0100770","2015","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",38762,2517,3956,2371,2535,2361,2539,1416,2847,1460,3389,4076,3470,1764,1340,1610,1111,"Lauderdale County, Alabama",1292,834,951,767,771,797,788,661,883,503,918,931,879,603,498,680,530
"G0100810","2015","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",58191,7752,3614,3972,3173,1863,2734,2346,2819,2359,3972,6191,6743,3608,2328,2886,1831,"Lee County, Alabama",1704,1366,883,1069,896,719,1032,823,1114,914,1136,1374,1380,844,830,835,821
