        AC2YE001:    Total
        AC2YE002:    Less than $10,000
        AC2YE003:    $10,000 to $14,999
        AC2YE004:    $15,000 to $19,999
        AC2YE005:    $20,000 to $24,999
        AC2YE006:    $25,000 to $29,999
        AC2YE007:    $30,000 to $34,999
        AC2YE008:    $35,000 to $39,999
        AC2YE009:    $40,000 to $44,999
        AC2YE010:    $45,000 to $49,999
        AC2YE011:    $50,000 to $59,999
        AC2YE012:    $60,000 to $74,999
        AC2YE013:    $75,000 to $99,999
        AC2YE014:    $100,000 to $124,999
        AC2YE015:    $125,000 to $149,999
        AC2YE016:    $150,000 to $199,999
        AC2YE017:    $200,000 or more
