GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AFJ8E001,AFJ8E002,AFJ8E003,AFJ8E004,AFJ8E005,AFJ8E006,AFJ8E007,AFJ8E008,AFJ8E009,AFJ8E010,AFJ8E011,AFJ8E012,AFJ8E013,AFJ8E014,AFJ8E015,AFJ8E016,AFJ8E017,NAME_M,AFJ8M001,AFJ8M002,AFJ8M003,AFJ8M004,AFJ8M005,AFJ8M006,AFJ8M007,AFJ8M008,AFJ8M009,AFJ8M010,AFJ8M011,AFJ8M012,AFJ8M013,AFJ8M014,AFJ8M015,AFJ8M016,AFJ8M017
"G0100030","2016","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",76779,4574,4559,3420,3883,2943,3809,3770,4499,2617,6137,7428,10124,7969,4081,3414,3552,"Baldwin County, Alabama",3010,1312,1295,1279,1103,817,1118,1000,1343,1082,1450,1572,1497,1688,1182,1017,915
"G0100150","2016","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",43972,3834,2879,3249,3101,2240,2840,2921,2338,1072,4079,4255,5475,2701,1296,750,942,"Calhoun County, Alabama",1687,863,903,935,780,697,819,941,796,403,1005,1171,1314,849,577,321,465
"G0100430","2016","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",30299,2924,1556,1977,2354,2219,1545,2826,1266,1371,2426,3010,2466,2162,723,940,534,"Cullman County, Alabama",1234,807,671,739,833,564,549,646,456,573,726,704,646,792,400,402,327
"G0100490","2016","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",25383,2977,2134,956,1525,2487,2224,1914,1237,1067,2368,1983,2229,898,594,375,415,"DeKalb County, Alabama",1190,858,832,348,536,856,856,783,575,549,702,643,652,415,275,301,280
"G0100510","2016","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",29350,1764,1671,1751,1950,1067,1154,1489,1725,971,2132,2884,3981,3046,1425,1098,1242,"Elmore County, Alabama",1102,934,731,854,912,603,500,727,627,451,666,911,956,793,617,439,738
"G0100550","2016","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",38766,3658,2453,2625,2693,2635,2207,2536,2012,1344,3096,4198,4063,2161,1092,909,1084,"Etowah County, Alabama",1489,927,822,782,788,854,763,739,846,525,983,971,1003,578,499,578,624
"G0100690","2016","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",39167,3588,2745,3074,2796,1956,2267,2176,1743,1573,3144,3529,4660,2364,1194,1238,1120,"Houston County, Alabama",959,613,445,638,438,322,403,363,418,352,453,627,599,370,339,299,214
"G0100730","2016","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",261904,23915,15036,15380,12884,13442,14537,13747,11558,9986,19397,25679,29976,19403,11230,12198,13536,"Jefferson County, Alabama",4316,2415,2033,2004,1483,1716,2002,1994,1519,1686,2144,2433,2681,1850,1565,1568,1524
"G0100770","2016","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",37875,3262,2387,2075,2591,3059,1246,1989,2881,1694,2226,3529,5421,2076,1375,1436,628,"Lauderdale County, Alabama",1391,897,820,653,795,882,510,629,948,537,831,985,1083,753,546,629,344
"G0100810","2016","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",59354,6579,3386,3637,3012,2232,2499,3186,2775,3682,5081,6307,5194,5144,2160,2720,1760,"Lee County, Alabama",1783,1331,1122,995,977,736,887,1526,959,1275,1281,1545,1108,1159,633,958,662
"G0100830","2016","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"05000US01083","Limestone County, Alabama",31880,2969,1337,1776,1704,1368,1717,1067,1740,1860,2598,2718,4728,1793,1540,1324,1641,"Limestone County, Alabama",1214,1174,549,725,798,646,618,478,677,709,740,780,1085,618,493,464,635
"G0100890","2016","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",143669,9380,7623,7028,7789,6779,5450,6385,5120,5330,10514,12076,15953,13609,9237,11718,9678,"Madison County, Alabama",2833,1501,1485,1489,1412,1547,1126,1348,1083,1198,1847,1898,1845,1835,1466,1595,1346
"G0100950","2016","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"05000US01095","Marshall County, Alabama",34726,2646,2632,2123,2109,2972,2409,1515,2159,2245,2908,2026,4050,2225,1057,573,1077,"Marshall County, Alabama",1047,769,866,800,733,864,868,484,947,769,801,553,1060,688,557,266,451
"G0100970","2016","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"05000US01097","Mobile County, Alabama",157141,15701,10296,10595,8741,8968,8802,7140,7316,7497,12220,15638,16684,11040,5485,6109,4909,"Mobile County, Alabama",2741,2025,1472,1610,1273,1722,1638,1284,1320,1496,1860,2097,1923,1497,1132,1130,962
"G0101010","2016","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",90827,8841,5824,6742,4555,5799,5895,3649,3774,3939,7617,7655,9211,7627,2994,3494,3211,"Montgomery County, Alabama",1963,1536,1215,1344,1130,1396,1274,906,983,1007,1302,1199,1514,1379,886,793,698
"G0101030","2016","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",44816,4587,2663,3254,2342,3691,2608,1917,1484,1339,4092,4511,5954,2762,1412,1454,746,"Morgan County, Alabama",1847,1091,1056,1103,693,1031,742,574,487,631,992,977,1104,755,555,603,310
"G0101150","2016","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",31615,2014,1346,1413,1264,1178,2106,1180,1198,1424,2603,3947,5632,3525,1142,1291,352,"St. Clair County, Alabama",1367,740,552,712,516,645,784,492,498,697,775,962,1268,1066,610,652,294
"G0101170","2016","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",76059,2612,3188,2597,3066,2652,2662,2848,2918,2323,5232,8811,12835,8140,5884,4989,5302,"Shelby County, Alabama",1692,680,965,856,793,761,739,689,867,710,1109,1399,1703,1290,1182,979,1078
"G0101210","2016","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",31517,3503,1962,2530,2369,2027,2062,1471,1615,1639,2988,2600,3152,1742,792,704,361,"Talladega County, Alabama",1635,918,779,889,686,939,765,631,659,749,1036,831,756,614,504,399,223
"G0101250","2016","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",73825,6087,4403,4468,4461,4927,3748,3638,3210,3332,6555,6332,8863,5240,2470,3721,2370,"Tuscaloosa County, Alabama",2003,1495,1403,917,1222,1137,1070,1085,952,802,1377,1188,1502,1238,544,803,719
"G0101270","2016","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,"05000US01127","Walker County, Alabama",23863,2325,1971,1284,1914,892,1706,2173,1476,1058,1843,1824,3163,1340,354,276,264,"Walker County, Alabama",1316,652,597,522,571,389,569,743,578,461,631,628,890,499,284,188,191
"G0200200","2016","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality, Alaska",105249,2257,2797,2030,3008,3146,3199,2431,3515,4082,7600,11200,15469,12744,9651,11374,10746,"Anchorage Municipality, Alaska",1864,632,1006,622,783,1027,885,871,1016,1187,1375,1649,1880,2052,1769,1586,1492
"G0200900","2016","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough, Alaska",33770,1237,758,770,1126,1000,1509,1280,1128,1283,3732,2561,5104,5709,1892,3237,1444,"Fairbanks North Star Borough, Alaska",1901,765,421,587,599,557,649,616,608,733,1151,728,1068,1496,722,1061,513
"G0201700","2016","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,"05000US02170","Matanuska-Susitna Borough, Alaska",30305,1654,949,1293,1270,1190,1177,1104,1261,1159,1966,2932,4218,3417,2157,2543,2015,"Matanuska-Susitna Borough, Alaska",769,462,365,387,313,393,352,355,373,328,441,576,580,672,451,542,409
"G0400010","2016","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,"05000US04001","Apache County, Arizona",20018,4325,1667,1227,998,804,1034,761,877,1091,1448,1595,2195,906,609,428,53,"Apache County, Arizona",884,533,360,282,292,267,340,258,373,572,452,491,680,343,307,280,52
"G0400030","2016","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,"05000US04003","Cochise County, Arizona",50147,4098,4196,3344,3615,3150,1977,1810,2597,3041,4342,5419,6729,2404,1477,1021,927,"Cochise County, Arizona",2119,1116,908,1100,1079,1006,654,589,675,923,966,1063,1076,666,501,374,399
"G0400050","2016","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,"05000US04005","Coconino County, Arizona",47408,4334,2772,2163,2501,2146,2515,1803,1998,1732,3347,5897,7109,3329,2512,1668,1582,"Coconino County, Arizona",1957,947,671,757,684,771,689,652,658,616,734,1143,1166,732,542,543,566
"G0400130","2016","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,"05000US04013","Maricopa County, Arizona",1521131,98556,61516,57244,70829,71064,72744,72344,75640,61764,132460,152636,194832,132645,83477,89547,93833,"Maricopa County, Arizona",9246,4852,4200,3216,3877,3725,3370,4688,4259,4027,5525,5810,5609,5750,3956,4587,4517
"G0400150","2016","AZ",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,"05000US04015","Mohave County, Arizona",84876,6604,5862,6196,5753,5788,4371,4782,5165,4776,8110,8344,9185,4755,1761,1695,1729,"Mohave County, Arizona",2775,1217,1441,1106,1005,1253,1196,1022,1086,1391,1489,1627,1555,1264,679,620,570
"G0400170","2016","AZ",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,"05000US04017","Navajo County, Arizona",33587,4707,2673,2443,1798,2656,1588,1960,1858,1158,2349,2873,3776,1834,311,1241,362,"Navajo County, Arizona",1656,837,708,721,530,756,504,778,534,355,660,826,778,538,173,533,201
"G0400190","2016","AZ",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,"05000US04019","Pima County, Arizona",400835,31990,23781,25001,23345,20628,21530,20192,23110,17740,34141,38579,45828,27808,15384,17341,14437,"Pima County, Arizona",4105,2597,2626,1898,2579,2130,2703,2197,2056,2183,3033,3234,3049,2145,1928,2296,1492
"G0400210","2016","AZ",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,"05000US04021","Pinal County, Arizona",132352,10367,6684,6366,7500,7890,5800,7847,5140,4976,13135,14771,16484,11115,5802,5399,3076,"Pinal County, Arizona",3221,1872,1211,1476,1386,1545,1330,1475,1130,1174,1963,1820,1842,1606,1328,1192,998
"G0400250","2016","AZ",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,"05000US04025","Yavapai County, Arizona",94962,7654,5355,5500,5085,5287,5078,4944,3805,4248,9347,9639,12645,7135,3668,3070,2502,"Yavapai County, Arizona",2874,1475,1557,1312,1345,1125,1321,1169,1023,1118,1750,1660,2504,1680,923,923,746
"G0400270","2016","AZ",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,"05000US04027","Yuma County, Arizona",73072,5915,4321,3642,4361,6283,4244,4087,4883,2981,5523,7371,10739,3830,1700,1962,1230,"Yuma County, Arizona",2001,1257,1008,1078,936,1425,1186,935,1444,844,1133,1265,1588,981,699,668,408
"G0500070","2016","AR",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,"05000US05007","Benton County, Arkansas",94494,4161,2871,3846,4133,3186,5059,3553,4681,4075,8159,11609,12089,9184,6200,5476,6212,"Benton County, Arkansas",1606,1181,749,922,1006,869,1173,868,960,839,1364,1990,1556,1444,1450,1183,918
"G0500310","2016","AR",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,"05000US05031","Craighead County, Arkansas",39813,3110,3275,2357,3015,2134,2134,2167,2293,2303,3018,3564,4502,1986,1558,1290,1107,"Craighead County, Arkansas",1369,1037,1068,786,1110,776,805,647,888,972,858,1007,966,798,707,552,590
"G0500450","2016","AR",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,"05000US05045","Faulkner County, Arkansas",43964,3927,2856,1988,1960,2870,2562,2717,1858,1581,4093,3971,6201,2841,1867,1548,1124,"Faulkner County, Arkansas",1306,1025,1020,595,677,1083,772,776,763,560,982,936,1178,815,670,550,435
"G0500510","2016","AR",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,,"05000US05051","Garland County, Arkansas",39309,3016,3053,2797,3088,1725,2281,2010,2075,2613,4068,3887,3084,1623,1574,1715,700,"Garland County, Arkansas",2140,944,960,1143,1066,616,806,662,778,955,1238,944,942,861,542,703,436
"G0500690","2016","AR",,,"Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,,,,,"05000US05069","Jefferson County, Arkansas",26750,2903,3115,2139,1367,1268,1826,1103,1528,1103,2458,2770,1838,1330,466,810,726,"Jefferson County, Arkansas",1509,834,939,709,504,503,649,438,678,512,730,829,603,447,304,404,524
