        AFJ8E001:    Total
        AFJ8E002:    Less than $10,000
        AFJ8E003:    $10,000 to $14,999
        AFJ8E004:    $15,000 to $19,999
        AFJ8E005:    $20,000 to $24,999
        AFJ8E006:    $25,000 to $29,999
        AFJ8E007:    $30,000 to $34,999
        AFJ8E008:    $35,000 to $39,999
        AFJ8E009:    $40,000 to $44,999
        AFJ8E010:    $45,000 to $49,999
        AFJ8E011:    $50,000 to $59,999
        AFJ8E012:    $60,000 to $74,999
        AFJ8E013:    $75,000 to $99,999
        AFJ8E014:    $100,000 to $124,999
        AFJ8E015:    $125,000 to $149,999
        AFJ8E016:    $150,000 to $199,999
        AFJ8E017:    $200,000 or more
