GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AHFCE001,AHFCE002,AHFCE003,AHFCE004,AHFCE005,AHFCE006,AHFCE007,AHFCE008,AHFCE009,AHFCE010,AHFCE011,AHFCE012,AHFCE013,AHFCE014,AHFCE015,AHFCE016,AHFCE017,NAME_M,AHFCM001,AHFCM002,AHFCM003,AHFCM004,AHFCM005,AHFCM006,AHFCM007,AHFCM008,AHFCM009,AHFCM010,AHFCM011,AHFCM012,AHFCM013,AHFCM014,AHFCM015,AHFCM016,AHFCM017
"G0100030","2017","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",79120,3275,4596,3032,3242,3428,5515,4009,4512,2807,7085,7455,11158,6587,5603,3665,3151,"Baldwin County, Alabama",2586,1088,1138,1003,1052,1047,1363,1303,1454,828,1607,1339,2071,1511,1457,843,732
"G0100150","2017","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",44507,3494,4366,1991,2095,2667,2635,2212,1811,2218,4467,3764,4676,3421,1670,1950,1070,"Calhoun County, Alabama",1715,966,1049,622,730,769,769,581,684,772,1050,1012,1100,1120,678,871,487
"G0100430","2017","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",30740,2346,2456,1905,1746,1333,1855,2577,1135,1441,2702,3303,3840,2292,751,737,321,"Cullman County, Alabama",1568,762,776,660,546,629,662,790,511,507,824,854,859,713,391,399,229
"G0100490","2017","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",25848,2008,1943,2982,1692,1636,1748,1014,1649,1075,1898,2096,2446,2114,399,486,662,"DeKalb County, Alabama",1206,653,740,865,648,599,666,422,525,500,627,634,793,798,257,296,312
"G0100510","2017","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",29176,2328,1536,964,1173,563,1459,1170,968,954,3319,3088,4127,2764,2464,1003,1296,"Elmore County, Alabama",1426,1084,1046,437,555,365,780,504,524,528,1135,1073,1002,815,863,438,499
"G0100550","2017","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",37091,3371,3063,3744,2320,1067,2227,1842,2132,1047,2876,2983,5000,2051,1502,1133,733,"Etowah County, Alabama",1718,873,805,1103,726,452,724,685,634,467,783,741,1070,700,633,594,314
"G0100690","2017","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",39106,3031,2421,2545,2369,1916,2590,2386,2506,1418,2745,3691,4509,2779,1566,1229,1405,"Houston County, Alabama",969,393,399,336,397,382,495,390,509,270,399,552,655,463,404,265,354
"G0100730","2017","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",259324,21819,15861,14615,14295,12900,13869,12358,11681,10090,20434,23332,29381,20982,11304,12090,14313,"Jefferson County, Alabama",4069,2444,1629,1714,1873,1857,1868,1992,2118,1744,2354,2642,2641,2314,1572,1642,1551
"G0100770","2017","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",38215,2041,1919,3298,2375,2953,2447,2385,1579,1448,2712,4760,5229,1964,1186,876,1043,"Lauderdale County, Alabama",1422,679,613,981,884,956,781,727,726,526,1005,1218,1087,663,516,505,468
"G0100810","2017","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",58555,6846,1793,2507,3304,4575,2845,1471,2252,2539,3718,6373,7251,5060,3026,3029,1966,"Lee County, Alabama",1892,1674,735,871,1091,1732,1032,670,874,936,1021,1402,1344,1076,934,877,685
"G0100830","2017","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"05000US01083","Limestone County, Alabama",32816,2411,1200,2104,1774,1396,1607,1566,1411,1067,2655,3396,3940,3634,1462,1707,1486,"Limestone County, Alabama",1154,874,466,740,734,543,837,677,571,414,740,924,1055,1115,550,657,482
"G0100890","2017","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",147892,7342,9620,7662,5935,6209,7535,6424,6398,4238,9980,13218,17255,15579,11448,9932,9117,"Madison County, Alabama",2670,1561,1947,1352,1494,1186,1588,1595,1482,1330,1773,1858,2069,2258,1850,1619,1339
"G0100950","2017","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"05000US01095","Marshall County, Alabama",34083,3371,2941,2402,2528,1002,1878,2707,1028,1528,2384,2933,3579,2242,1937,560,1063,"Marshall County, Alabama",1546,933,835,906,894,429,598,760,373,609,765,856,825,616,620,267,389
"G0100970","2017","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"05000US01097","Mobile County, Alabama",154683,16102,8257,12879,9179,6769,9247,6845,6873,5966,12754,14957,16574,11152,7024,4833,5272,"Mobile County, Alabama",2623,2191,1357,1952,1629,1384,1718,1480,1356,1403,1851,1797,2160,2003,1298,1027,1139
"G0101010","2017","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",88554,9167,5605,5604,5383,4744,4160,4562,4476,4286,5883,9604,9120,6394,3494,3109,2963,"Montgomery County, Alabama",2328,1529,1091,1136,1309,1101,961,1116,1248,1204,1147,1521,1524,1157,772,690,715
"G0101030","2017","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",45360,2841,3160,2266,3391,2610,3251,2122,1706,1828,3802,4510,5298,3777,1691,1875,1232,"Morgan County, Alabama",1666,1011,985,706,1187,845,1115,754,587,764,1026,946,1148,857,492,551,475
"G0101150","2017","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",33241,2316,2041,2219,2161,1667,1122,1920,1880,717,3875,3054,5173,2299,1239,1017,541,"St. Clair County, Alabama",1228,826,792,1126,890,729,539,942,764,440,1205,1111,1238,824,650,450,320
"G0101170","2017","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",78666,3187,2648,2926,2556,2400,2507,3227,3344,2722,5908,9249,9874,9700,6496,5701,6221,"Shelby County, Alabama",1740,760,939,922,811,740,1014,971,1060,920,1081,1372,1231,1504,1293,1200,1004
"G0101210","2017","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",31759,2933,1656,2648,3084,1763,2007,1850,1414,1479,2819,2451,4067,1669,756,644,519,"Talladega County, Alabama",1666,846,795,1115,953,745,793,881,552,715,869,780,1006,685,479,443,262
"G0101250","2017","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",72243,6916,3089,3454,3979,3526,2321,2711,3365,3794,6912,7832,9024,6213,3781,3276,2050,"Tuscaloosa County, Alabama",2156,1250,791,995,1088,846,823,801,1036,1119,1466,1541,1456,1326,983,866,645
"G0101270","2017","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,"05000US01127","Walker County, Alabama",25231,2607,1995,1726,1117,1405,1811,1110,1449,686,2155,2498,3003,2026,454,614,575,"Walker County, Alabama",1131,702,614,643,526,628,608,427,668,346,600,696,689,706,293,342,394
"G0200200","2017","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality, Alaska",107373,3897,1871,2080,4157,4153,2720,3699,4667,3082,7780,13443,14033,12705,9102,10570,9414,"Anchorage Municipality, Alaska",1962,1236,663,677,1218,1185,898,1088,1418,776,1374,1982,1831,1834,1565,1763,1350
"G0200900","2017","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough, Alaska",35046,968,750,429,1222,1905,2033,557,1227,2096,2852,3224,4934,4751,2989,2717,2392,"Fairbanks North Star Borough, Alaska",1911,574,458,365,747,982,868,430,627,1078,792,932,1360,1137,849,962,883
"G0201700","2017","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,"05000US02170","Matanuska-Susitna Borough, Alaska",29443,1904,887,1355,1181,1211,999,1085,996,979,2444,2621,3797,3598,2445,2278,1663,"Matanuska-Susitna Borough, Alaska",714,467,315,397,360,361,297,299,281,287,468,492,498,559,449,429,366
"G0400010","2017","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,"05000US04001","Apache County, Arizona",20550,4134,1814,1353,1479,1068,1317,610,669,955,1450,1971,1794,831,749,296,60,"Apache County, Arizona",889,456,384,330,438,333,407,224,243,381,512,466,492,396,368,183,53
"G0400030","2017","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,"05000US04003","Cochise County, Arizona",48939,2852,3706,1974,2433,1696,4126,1616,2737,2718,3744,5296,7502,4056,1612,1288,1583,"Cochise County, Arizona",2023,901,946,534,678,540,1108,603,858,814,829,1121,1230,928,636,437,623
"G0400050","2017","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,"05000US04005","Coconino County, Arizona",47977,5015,2042,2264,1946,3043,1722,2651,2427,1512,3399,4535,7609,3338,1556,2027,2891,"Coconino County, Arizona",2031,984,603,767,697,1090,630,919,794,526,872,1068,1438,760,608,578,885
"G0400130","2017","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,"05000US04013","Maricopa County, Arizona",1536579,84620,54348,57650,72074,64912,70596,70671,75614,61257,122424,164587,200405,149998,88743,94662,104018,"Maricopa County, Arizona",7831,5033,3788,4181,4238,3919,4382,4611,5237,4150,5339,7078,5674,6561,4808,4580,4571
"G0400150","2017","AZ",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,"05000US04015","Mohave County, Arizona",87565,6721,5748,5621,6472,6374,4798,4467,5862,3749,8735,7195,9628,3559,3777,2773,2086,"Mohave County, Arizona",2751,1247,1281,1209,1452,1562,1135,1267,1534,1194,1700,1548,1855,1039,1029,980,704
"G0400170","2017","AZ",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,"05000US04017","Navajo County, Arizona",36094,4979,2820,1893,2324,1756,1522,2176,1836,2078,2400,2996,3687,2090,1349,1685,503,"Navajo County, Arizona",1644,763,725,509,575,528,663,676,566,688,632,734,705,635,507,753,271
"G0400190","2017","AZ",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,"05000US04019","Pima County, Arizona",403574,32603,20139,22267,22327,21011,20401,21000,18341,17598,32999,40891,47997,33298,18135,16671,17896,"Pima County, Arizona",3977,2598,2158,2465,2226,2220,2471,2198,2106,1951,2794,3302,3044,2712,1646,2047,1908
"G0400210","2017","AZ",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,"05000US04021","Pinal County, Arizona",139097,12860,5380,6122,6161,6794,6789,7395,6697,7483,13035,14859,20440,11101,5104,5589,3288,"Pinal County, Arizona",3499,1753,1135,1300,1250,1376,1296,1569,1399,1523,2041,2043,2452,1615,1136,1346,763
"G0400250","2017","AZ",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,"05000US04025","Yavapai County, Arizona",98369,6700,3909,5630,7703,5250,3948,4893,6239,4869,8771,11939,10535,7252,5029,3079,2623,"Yavapai County, Arizona",2960,1959,1138,1573,1864,1334,1101,1129,1530,1239,1595,1963,1900,1315,1268,982,704
"G0400270","2017","AZ",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,"05000US04027","Yuma County, Arizona",74620,5892,3607,6304,4395,4092,4561,3053,3726,3453,6838,9482,7469,5059,3317,2210,1162,"Yuma County, Arizona",2261,1166,818,1312,1273,1015,1125,905,982,924,1467,1823,1428,1295,1012,675,480
"G0500070","2017","AR",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,"05000US05007","Benton County, Arkansas",97134,3684,3456,3223,4620,4585,2712,4261,5889,4061,8161,11518,13434,6906,5809,8595,6220,"Benton County, Arkansas",1708,946,753,950,1180,1152,765,1107,1185,891,1391,1664,1856,1229,1166,1638,968
"G0500310","2017","AR",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,"05000US05031","Craighead County, Arkansas",42115,2601,2594,1782,2883,3013,1422,3017,1474,2048,4342,3984,3899,4699,1376,1511,1470,"Craighead County, Arkansas",1290,856,925,819,1099,896,646,1180,588,797,1143,1442,885,1334,625,686,537
"G0500450","2017","AR",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,"05000US05045","Faulkner County, Arkansas",44870,2983,2075,2342,2446,2783,3398,2813,1698,2432,2597,4760,5700,3559,1817,1953,1514,"Faulkner County, Arkansas",1319,778,843,817,711,829,978,769,599,1050,643,1023,1177,886,720,635,669
"G0500510","2017","AR",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,,"05000US05051","Garland County, Arkansas",38594,3388,2243,2290,2963,1944,2131,1530,2586,2593,2256,3653,4699,2162,1414,1709,1033,"Garland County, Arkansas",1792,979,938,751,814,852,697,659,755,1081,867,1096,1032,780,695,660,567
"G0500690","2017","AR",,,"Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,,,,,"05000US05069","Jefferson County, Arkansas",26537,3202,1952,1146,1704,2376,1236,2182,1445,1306,1693,2988,2002,1651,967,331,356,"Jefferson County, Arkansas",1657,927,584,509,688,778,560,690,596,567,623,874,593,544,530,251,264
"G0500850","2017","AR",,,"Arkansas","05","Lonoke County","085",,,,,,,,,,,,,,,,,,"05000US05085","Lonoke County, Arkansas",27121,1828,1250,1116,1941,1404,1415,1936,794,1381,2911,2427,3556,1491,1318,1603,750,"Lonoke County, Arkansas",809,663,603,524,818,538,615,793,355,536,914,833,918,502,495,547,343
