GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AJCTE001,AJCTE002,AJCTE003,AJCTE004,AJCTE005,AJCTE006,AJCTE007,AJCTE008,AJCTE009,AJCTE010,AJCTE011,AJCTE012,AJCTE013,AJCTE014,AJCTE015,AJCTE016,AJCTE017,NAME_M,AJCTM001,AJCTM002,AJCTM003,AJCTM004,AJCTM005,AJCTM006,AJCTM007,AJCTM008,AJCTM009,AJCTM010,AJCTM011,AJCTM012,AJCTM013,AJCTM014,AJCTM015,AJCTM016,AJCTM017
"G0100030","2018","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",83501,4888,2686,2914,5143,4601,5406,3806,4086,3033,7824,8499,10105,6448,3883,5023,5156,"Baldwin County, Alabama",2931,1302,853,1120,1679,1211,1481,1172,1296,884,1669,1798,1759,1378,1025,962,1357
"G0100150","2018","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",44264,4247,2536,3263,3703,2498,1826,1402,2382,1141,3701,4259,5763,3253,1814,1521,955,"Calhoun County, Alabama",1834,929,936,746,1069,802,735,500,704,531,997,1145,1164,837,700,652,551
"G0100430","2018","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",30323,2104,2167,1664,1888,2148,1859,1603,1931,1405,2319,2731,3303,1877,1129,1282,913,"Cullman County, Alabama",1437,600,731,594,814,605,723,515,766,688,674,787,837,580,623,451,556
"G0100490","2018","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",26462,2714,2143,1930,1992,1913,2009,1308,1029,793,1563,2584,2934,1537,640,575,798,"DeKalb County, Alabama",1458,886,754,853,710,707,784,601,435,450,523,694,899,554,389,406,413
"G0100510","2018","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",30155,1911,1164,2007,1085,1119,1529,572,1563,1204,2688,3816,5183,2351,1911,1138,914,"Elmore County, Alabama",1094,719,533,917,538,610,629,406,650,581,1021,1081,1111,714,711,639,446
"G0100550","2018","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",38625,2174,2165,2388,3061,2096,3493,1928,1588,1869,1981,3775,5158,2880,2289,916,864,"Etowah County, Alabama",1544,629,695,893,871,772,1051,646,539,612,514,787,1236,758,771,481,442
"G0100690","2018","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",38861,3495,2495,2563,2018,1805,2270,1975,2010,1321,2873,3750,4103,3487,1840,1641,1215,"Houston County, Alabama",1098,508,536,468,346,342,559,400,386,266,475,546,557,564,480,304,248
"G0100730","2018","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",255940,21288,13647,13000,13322,11256,12597,10798,10415,9078,22553,22234,32106,22092,12476,13799,15279,"Jefferson County, Alabama",3851,2486,1700,1879,1721,1778,1886,2066,1892,1407,2451,2551,3033,2639,1654,1970,1591
"G0100770","2018","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",38670,2569,2298,2265,2149,2083,1669,2689,2337,1608,3279,3987,4264,3180,1782,890,1621,"Lauderdale County, Alabama",1735,613,859,819,737,883,598,740,1050,639,944,912,1175,881,650,497,688
"G0100810","2018","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",59336,8077,3359,3381,3401,3094,3093,2356,2239,1832,3103,4342,6739,5694,2388,3118,3120,"Lee County, Alabama",1847,1702,1086,1130,914,1101,1119,950,890,648,882,1166,1436,1198,819,794,939
"G0100830","2018","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"05000US01083","Limestone County, Alabama",32333,1378,1450,2158,1352,1536,1540,689,1308,1647,1683,3766,5778,3413,1893,1615,1127,"Limestone County, Alabama",1294,476,598,858,643,604,558,295,607,763,650,1044,1118,832,669,792,528
